Date,Low,Open,Volume,High,Close,Adjusted Close
17-03-1980,2.9166669845581055,0.0,6600,3.1666669845581055,2.9166669845581055,1.0923871994018555
18-03-1980,2.9166669845581055,2.9166669845581055,0,2.9166669845581055,2.9166669845581055,1.0923871994018555
19-03-1980,2.9166669845581055,2.9166669845581055,0,2.9166669845581055,2.9166669845581055,1.0923871994018555
20-03-1980,2.9166669845581055,2.9166669845581055,0,2.9166669845581055,2.9166669845581055,1.0923871994018555
21-03-1980,2.9166669845581055,0.0,6000,3.1666669845581055,2.9166669845581055,1.0923871994018555
24-03-1980,2.9166669845581055,0.0,3000,3.1666669845581055,2.9166669845581055,1.0923871994018555
25-03-1980,2.9166669845581055,2.9166669845581055,0,2.9166669845581055,2.9166669845581055,1.0923871994018555
26-03-1980,2.9166669845581055,0.0,600,3.1666669845581055,2.9166669845581055,1.0923871994018555
27-03-1980,2.9166669845581055,2.9166669845581055,0,2.9166669845581055,2.9166669845581055,1.0923871994018555
28-03-1980,2.8333330154418945,0.0,1800,3.0833330154418945,2.8333330154418945,1.0611761808395386
31-03-1980,2.8333330154418945,2.8333330154418945,0,2.8333330154418945,2.8333330154418945,1.0611761808395386
01-04-1980,2.8333330154418945,0.0,8400,3.0833330154418945,2.8333330154418945,1.0611761808395386
02-04-1980,2.8333330154418945,2.8333330154418945,0,2.8333330154418945,2.8333330154418945,1.0611761808395386
03-04-1980,2.8333330154418945,0.0,9000,3.0833330154418945,2.8333330154418945,1.0611761808395386
07-04-1980,2.8333330154418945,0.0,5400,3.0833330154418945,2.8333330154418945,1.0611761808395386
08-04-1980,2.75,0.0,3000,3.0,2.75,1.029964566230774
09-04-1980,2.75,2.75,0,2.75,2.75,1.029964566230774
10-04-1980,2.75,2.75,0,2.75,2.75,1.029964566230774
11-04-1980,2.6666669845581055,0.0,4200,2.9166669845581055,2.6666669845581055,0.9987538456916809
14-04-1980,2.6666669845581055,2.6666669845581055,0,2.6666669845581055,2.6666669845581055,0.9987538456916809
15-04-1980,2.6666669845581055,2.6666669845581055,0,2.6666669845581055,2.6666669845581055,0.9987538456916809
16-04-1980,2.6666669845581055,2.6666669845581055,0,2.6666669845581055,2.6666669845581055,0.9987538456916809
17-04-1980,2.5,0.0,7800,2.75,2.5,0.9363318085670471
18-04-1980,2.5833330154418945,0.0,9000,2.8333330154418945,2.5833330154418945,0.9675427079200745
21-04-1980,2.5833330154418945,2.5833330154418945,0,2.5833330154418945,2.5833330154418945,0.9675427079200745
22-04-1980,2.5833330154418945,0.0,1200,2.8333330154418945,2.5833330154418945,0.9675427079200745
23-04-1980,2.5833330154418945,2.5833330154418945,0,2.5833330154418945,2.5833330154418945,0.9675427079200745
24-04-1980,2.5833330154418945,0.0,3000,2.8333330154418945,2.5833330154418945,0.9675427079200745
25-04-1980,2.5833330154418945,0.0,15000,2.8333330154418945,2.5833330154418945,0.9675427079200745
28-04-1980,2.5833330154418945,0.0,600,2.8333330154418945,2.5833330154418945,0.9675427079200745
29-04-1980,2.5833330154418945,0.0,1800,2.8333330154418945,2.5833330154418945,0.9675427079200745
30-04-1980,2.5833330154418945,2.5833330154418945,0,2.5833330154418945,2.5833330154418945,0.9675427079200745
01-05-1980,2.5833330154418945,0.0,600,2.8333330154418945,2.5833330154418945,0.9675427079200745
02-05-1980,2.5833330154418945,2.5833330154418945,0,2.5833330154418945,2.5833330154418945,0.9675427079200745
05-05-1980,2.6666669845581055,0.0,1800,2.9166669845581055,2.6666669845581055,0.9987538456916809
06-05-1980,2.6666669845581055,2.6666669845581055,0,2.6666669845581055,2.6666669845581055,0.9987538456916809
07-05-1980,2.6666669845581055,2.6666669845581055,0,2.6666669845581055,2.6666669845581055,0.9987538456916809
08-05-1980,2.6666669845581055,2.6666669845581055,0,2.6666669845581055,2.6666669845581055,0.9987538456916809
09-05-1980,2.6666669845581055,2.6666669845581055,0,2.6666669845581055,2.6666669845581055,0.9987538456916809
12-05-1980,2.6666669845581055,0.0,1200,2.9166669845581055,2.6666669845581055,0.9987538456916809
13-05-1980,2.6666669845581055,0.0,5400,2.9166669845581055,2.6666669845581055,0.9987538456916809
14-05-1980,2.6666669845581055,0.0,2400,2.9166669845581055,2.6666669845581055,0.9987538456916809
15-05-1980,2.6666669845581055,0.0,12000,2.9166669845581055,2.6666669845581055,0.9987538456916809
16-05-1980,2.6666669845581055,0.0,6000,2.9166669845581055,2.6666669845581055,0.9987538456916809
19-05-1980,2.6666669845581055,2.6666669845581055,0,2.6666669845581055,2.6666669845581055,0.9987538456916809
20-05-1980,2.6666669845581055,2.6666669845581055,0,2.6666669845581055,2.6666669845581055,0.9987538456916809
21-05-1980,2.6666669845581055,2.6666669845581055,0,2.6666669845581055,2.6666669845581055,0.9987538456916809
22-05-1980,2.75,0.0,2400,3.0,2.75,1.029964566230774
23-05-1980,2.75,2.75,0,2.75,2.75,1.029964566230774
27-05-1980,2.75,0.0,1200,3.0,2.75,1.029964566230774
28-05-1980,2.75,0.0,600,3.0,2.75,1.029964566230774
29-05-1980,2.75,0.0,3000,3.0,2.75,1.029964566230774
30-05-1980,2.75,0.0,3000,3.0,2.75,1.029964566230774
02-06-1980,2.75,2.75,0,2.75,2.75,1.029964566230774
03-06-1980,2.75,2.75,0,2.75,2.75,1.029964566230774
04-06-1980,2.75,2.75,0,2.75,2.75,1.029964566230774
05-06-1980,2.75,2.75,0,2.75,2.75,1.029964566230774
06-06-1980,2.75,2.75,0,2.75,2.75,1.029964566230774
09-06-1980,2.75,2.75,0,2.75,2.75,1.029964566230774
10-06-1980,2.75,2.75,0,2.75,2.75,1.029964566230774
11-06-1980,2.6666669845581055,0.0,3600,2.9166669845581055,2.6666669845581055,0.9987538456916809
12-06-1980,2.6666669845581055,0.0,2400,2.9166669845581055,2.6666669845581055,0.9987538456916809
13-06-1980,2.6666669845581055,0.0,600,2.9166669845581055,2.6666669845581055,0.9987538456916809
16-06-1980,2.6666669845581055,2.6666669845581055,0,2.6666669845581055,2.6666669845581055,0.9987538456916809
17-06-1980,2.6666669845581055,2.6666669845581055,0,2.6666669845581055,2.6666669845581055,0.9987538456916809
18-06-1980,2.6666669845581055,0.0,600,2.9166669845581055,2.6666669845581055,0.9987538456916809
19-06-1980,2.6666669845581055,2.6666669845581055,0,2.6666669845581055,2.6666669845581055,0.9987538456916809
20-06-1980,2.6666669845581055,0.0,600,2.9166669845581055,2.6666669845581055,0.9987538456916809
23-06-1980,2.6666669845581055,2.6666669845581055,0,2.6666669845581055,2.6666669845581055,0.9987538456916809
24-06-1980,2.6666669845581055,2.6666669845581055,0,2.6666669845581055,2.6666669845581055,0.9987538456916809
25-06-1980,2.6666669845581055,2.6666669845581055,0,2.6666669845581055,2.6666669845581055,0.9987538456916809
26-06-1980,2.6666669845581055,2.6666669845581055,0,2.6666669845581055,2.6666669845581055,0.9987538456916809
27-06-1980,2.6666669845581055,0.0,6000,2.9166669845581055,2.6666669845581055,0.9987538456916809
30-06-1980,2.6666669845581055,0.0,3000,2.9166669845581055,2.6666669845581055,0.9987538456916809
01-07-1980,2.6666669845581055,2.6666669845581055,0,2.6666669845581055,2.6666669845581055,0.9987538456916809
02-07-1980,2.6666669845581055,2.6666669845581055,0,2.6666669845581055,2.6666669845581055,0.9987538456916809
03-07-1980,2.5833330154418945,0.0,3000,2.8333330154418945,2.5833330154418945,0.9675427079200745
07-07-1980,2.5833330154418945,2.5833330154418945,0,2.5833330154418945,2.5833330154418945,0.9675427079200745
08-07-1980,2.5833330154418945,2.5833330154418945,0,2.5833330154418945,2.5833330154418945,0.9675427079200745
09-07-1980,2.5833330154418945,2.5833330154418945,0,2.5833330154418945,2.5833330154418945,0.9675427079200745
10-07-1980,2.5833330154418945,2.5833330154418945,0,2.5833330154418945,2.5833330154418945,0.9675427079200745
11-07-1980,2.5833330154418945,0.0,3000,2.8333330154418945,2.5833330154418945,0.9675427079200745
14-07-1980,2.5833330154418945,2.5833330154418945,0,2.5833330154418945,2.5833330154418945,0.9675427079200745
15-07-1980,2.5833330154418945,0.0,9000,2.8333330154418945,2.5833330154418945,0.9675427079200745
16-07-1980,2.5833330154418945,0.0,7200,2.8333330154418945,2.5833330154418945,0.9675427079200745
17-07-1980,2.6666669845581055,0.0,1800,2.8333330154418945,2.6666669845581055,0.9987538456916809
18-07-1980,2.6666669845581055,0.0,4200,2.9166669845581055,2.6666669845581055,0.9987538456916809
21-07-1980,2.6666669845581055,2.6666669845581055,0,2.6666669845581055,2.6666669845581055,0.9987538456916809
22-07-1980,2.6666669845581055,2.6666669845581055,0,2.6666669845581055,2.6666669845581055,0.9987538456916809
23-07-1980,2.8333330154418945,0.0,10800,3.0833330154418945,2.8333330154418945,1.0611761808395386
24-07-1980,2.8333330154418945,2.8333330154418945,0,2.8333330154418945,2.8333330154418945,1.0611761808395386
25-07-1980,2.8333330154418945,2.8333330154418945,0,2.8333330154418945,2.8333330154418945,1.0611761808395386
28-07-1980,2.8333330154418945,2.8333330154418945,0,2.8333330154418945,2.8333330154418945,1.0611761808395386
29-07-1980,2.8333330154418945,2.8333330154418945,0,2.8333330154418945,2.8333330154418945,1.0611761808395386
30-07-1980,2.8333330154418945,2.8333330154418945,0,2.8333330154418945,2.8333330154418945,1.0611761808395386
31-07-1980,2.8333330154418945,2.8333330154418945,0,2.8333330154418945,2.8333330154418945,1.0611761808395386
01-08-1980,2.8333330154418945,0.0,1200,3.0,2.8333330154418945,1.0611761808395386
04-08-1980,2.8333330154418945,2.8333330154418945,0,2.8333330154418945,2.8333330154418945,1.0611761808395386
05-08-1980,2.8333330154418945,2.8333330154418945,0,2.8333330154418945,2.8333330154418945,1.0611761808395386
06-08-1980,2.8333330154418945,2.8333330154418945,0,2.8333330154418945,2.8333330154418945,1.0611761808395386
07-08-1980,2.8333330154418945,2.8333330154418945,0,2.8333330154418945,2.8333330154418945,1.0611761808395386
08-08-1980,2.75,0.0,3000,3.0,2.75,1.029964566230774
11-08-1980,2.8333330154418945,0.0,4800,3.0,2.8333330154418945,1.0611761808395386
12-08-1980,2.75,0.0,6600,3.0,2.75,1.029964566230774
13-08-1980,2.75,2.75,0,2.75,2.75,1.029964566230774
14-08-1980,2.75,2.75,0,2.75,2.75,1.029964566230774
15-08-1980,2.75,2.75,0,2.75,2.75,1.029964566230774
18-08-1980,2.75,2.75,0,2.75,2.75,1.029964566230774
19-08-1980,2.75,0.0,6000,2.9166669845581055,2.75,1.029964566230774
20-08-1980,2.75,2.75,0,2.75,2.75,1.029964566230774
21-08-1980,2.75,0.0,6000,2.8333330154418945,2.75,1.029964566230774
22-08-1980,2.5833330154418945,0.0,6000,2.8333330154418945,2.5833330154418945,0.9675427079200745
25-08-1980,2.5833330154418945,2.5833330154418945,0,2.5833330154418945,2.5833330154418945,0.9675427079200745
26-08-1980,2.5833330154418945,2.5833330154418945,0,2.5833330154418945,2.5833330154418945,0.9675427079200745
27-08-1980,2.5833330154418945,2.5833330154418945,0,2.5833330154418945,2.5833330154418945,0.9675427079200745
28-08-1980,2.5833330154418945,2.5833330154418945,0,2.5833330154418945,2.5833330154418945,0.9675427079200745
