,Date,Low,Open,Volume,High,Close,Adjusted Close,SYMBOL
0,30-01-2001,16.25,18.125,812300,18.1875,16.875,16.875,ALGN
1,31-01-2001,13.4375,17.125,1212700,17.1875,13.5,13.5,ALGN
2,01-02-2001,13.0,13.125,669100,14.375,14.1875,14.1875,ALGN
3,02-02-2001,13.75,14.0,775000,14.5625,14.125,14.125,ALGN
4,05-02-2001,13.875,14.4375,489400,14.5,14.125,14.125,ALGN
5,06-02-2001,13.875,14.015625,737900,14.0625,14.0,14.0,ALGN
6,07-02-2001,13.0,14.0,1361000,14.0625,13.0625,13.0625,ALGN
7,08-02-2001,13.0,13.125,712000,13.1875,13.0625,13.0625,ALGN
8,09-02-2001,11.875,13.046875,1100800,13.0625,12.0,12.0,ALGN
9,12-02-2001,10.9375,12.046875,552000,12.125,11.0625,11.0625,ALGN
10,13-02-2001,11.0,11.0,304300,11.5625,11.4375,11.4375,ALGN
11,14-02-2001,11.0,11.421875,136900,11.75,11.625,11.625,ALGN
12,15-02-2001,12.046875,12.0625,1568600,13.0,12.8125,12.8125,ALGN
13,16-02-2001,12.5,12.84375,161500,13.0625,13.0625,13.0625,ALGN
14,20-02-2001,12.625,13.625,411200,13.6875,12.75,12.75,ALGN
15,21-02-2001,12.25,12.59375,219000,13.125,12.3125,12.3125,ALGN
16,22-02-2001,11.5,12.0,712500,12.5,12.109375,12.109375,ALGN
17,23-02-2001,10.625,12.125,217800,12.25,11.0625,11.0625,ALGN
18,26-02-2001,8.75,10.65625,839200,11.375,9.0,9.0,ALGN
19,27-02-2001,7.125,9.40625,865200,9.5,7.5625,7.5625,ALGN
20,28-02-2001,7.375,8.09375,503600,8.125,7.5,7.5,ALGN
21,01-03-2001,7.3125,7.484375,464200,7.625,7.5625,7.5625,ALGN
22,02-03-2001,7.3125,7.5625,277800,7.625,7.5,7.5,ALGN
23,05-03-2001,6.125,7.59375,697900,7.625,6.6875,6.6875,ALGN
24,06-03-2001,6.5,6.515625,1922300,7.625,7.5,7.5,ALGN
25,07-03-2001,7.4375,7.96875,321800,8.0,7.8125,7.8125,ALGN
26,08-03-2001,7.625,7.8125,242900,8.5,8.46875,8.46875,ALGN
27,09-03-2001,8.0,8.5625,165700,8.625,8.125,8.125,ALGN
28,12-03-2001,7.9375,8.375,276100,8.625,8.5,8.5,ALGN
29,13-03-2001,8.4375,8.5,128100,9.9375,9.5,9.5,ALGN
30,14-03-2001,9.125,9.75,215200,10.484375,10.25,10.25,ALGN
31,15-03-2001,9.4375,10.4375,224600,10.5,9.4375,9.4375,ALGN
32,16-03-2001,8.0,9.4375,580300,9.75,8.25,8.25,ALGN
33,19-03-2001,8.25,8.5,161300,9.46875,8.875,8.875,ALGN
34,20-03-2001,8.1875,8.6875,138100,8.9375,8.1875,8.1875,ALGN
35,21-03-2001,8.0,8.484375,139400,8.5,8.1875,8.1875,ALGN
36,22-03-2001,7.625,8.046875,129200,8.0625,7.75,7.75,ALGN
37,23-03-2001,7.75,7.96875,58900,8.0,7.8125,7.8125,ALGN
38,26-03-2001,7.25,8.0,104300,8.25,7.5,7.5,ALGN
39,27-03-2001,7.25,7.25,35700,7.5625,7.40625,7.40625,ALGN
40,28-03-2001,7.25,7.53125,187200,8.09375,7.5625,7.5625,ALGN
41,29-03-2001,6.8125,7.625,246400,7.875,7.25,7.25,ALGN
42,30-03-2001,7.1875,7.46875,527400,7.625,7.25,7.25,ALGN
43,02-04-2001,7.1875,7.296875,513800,7.8125,7.25,7.25,ALGN
44,03-04-2001,6.25,7.25,129700,7.25,6.6875,6.6875,ALGN
45,04-04-2001,6.5,6.515625,55600,6.78125,6.5625,6.5625,ALGN
46,05-04-2001,6.5,6.71875,75800,6.875,6.5625,6.5625,ALGN
47,06-04-2001,6.5,6.734375,44800,7.21875,6.625,6.625,ALGN
48,09-04-2001,6.5,6.809999942779541,49100,6.989999771118164,6.550000190734862,6.550000190734862,ALGN
49,10-04-2001,6.75,6.75,115800,7.269999980926514,7.1500000953674325,7.1500000953674325,ALGN
50,11-04-2001,6.519999980926514,7.28000020980835,95300,7.75,6.5999999046325675,6.5999999046325675,ALGN
51,12-04-2001,5.75,6.6599998474121085,144100,6.980000019073486,6.0,6.0,ALGN
52,16-04-2001,5.349999904632568,6.75,93400,6.75,5.449999809265137,5.449999809265137,ALGN
53,17-04-2001,5.5,5.5,32900,5.889999866485597,5.800000190734862,5.800000190734862,ALGN
54,18-04-2001,5.6500000953674325,5.989999771118164,157400,7.699999809265138,7.28000020980835,7.28000020980835,ALGN
55,19-04-2001,6.75,7.739999771118164,94100,7.75,7.1500000953674325,7.1500000953674325,ALGN
56,20-04-2001,6.0,7.0999999046325675,73300,7.0999999046325675,6.1500000953674325,6.1500000953674325,ALGN
57,23-04-2001,6.050000190734862,6.0999999046325675,97100,7.1500000953674325,6.6500000953674325,6.6500000953674325,ALGN
58,24-04-2001,6.25,6.5,180800,8.5,8.329999923706055,8.329999923706055,ALGN
59,25-04-2001,7.550000190734862,8.319999694824219,220400,8.329999923706055,8.0,8.0,ALGN
60,26-04-2001,7.800000190734862,7.9000000953674325,395900,9.199999809265137,8.800000190734863,8.800000190734863,ALGN
61,27-04-2001,8.399999618530272,9.130000114440918,260500,9.149999618530273,8.75,8.75,ALGN
62,30-04-2001,8.520000457763674,8.680000305175781,325800,9.399999618530273,8.75,8.75,ALGN
63,01-05-2001,8.25,9.0,344800,9.050000190734863,8.5,8.5,ALGN
64,02-05-2001,8.399999618530272,8.5,195500,9.0,8.75,8.75,ALGN
65,03-05-2001,8.119999885559082,8.890000343322754,163200,8.899999618530273,8.699999809265138,8.699999809265138,ALGN
66,04-05-2001,7.9000000953674325,8.789999961853027,163700,8.789999961853027,8.600000381469728,8.600000381469728,ALGN
67,07-05-2001,8.0,8.109999656677246,243000,8.800000190734863,8.800000190734863,8.800000190734863,ALGN
68,08-05-2001,8.329999923706055,8.770000457763674,1355500,9.699999809265137,9.5,9.5,ALGN
69,09-05-2001,9.0,9.600000381469727,376300,9.600000381469727,9.149999618530273,9.149999618530273,ALGN
70,10-05-2001,8.399999618530272,9.050000190734863,399000,9.270000457763672,8.890000343322754,8.890000343322754,ALGN
71,11-05-2001,8.300000190734862,8.989999771118164,185800,9.100000381469727,8.800000190734863,8.800000190734863,ALGN
72,14-05-2001,8.550000190734862,8.649999618530272,251100,9.199999809265137,9.199999809265137,9.199999809265137,ALGN
73,15-05-2001,9.199999809265137,9.25,556100,10.199999809265137,9.800000190734863,9.800000190734863,ALGN
74,16-05-2001,9.510000228881836,9.899999618530273,439800,10.199999809265137,10.130000114440918,10.130000114440918,ALGN
75,17-05-2001,10.130000114440918,10.130000114440918,936200,12.449999809265135,10.960000038146973,10.960000038146973,ALGN
76,18-05-2001,10.949999809265137,11.25,116300,11.34000015258789,11.050000190734863,11.050000190734863,ALGN
77,21-05-2001,11.300000190734865,11.449999809265135,280900,12.100000381469727,11.949999809265135,11.949999809265135,ALGN
78,22-05-2001,11.3100004196167,12.050000190734865,298400,12.06999969482422,12.06999969482422,12.06999969482422,ALGN
79,23-05-2001,11.220000267028807,11.93000030517578,171900,12.050000190734865,12.010000228881836,12.010000228881836,ALGN
80,24-05-2001,11.5600004196167,11.949999809265135,128900,12.050000190734865,11.5600004196167,11.5600004196167,ALGN
81,25-05-2001,10.0,11.949999809265135,315400,11.949999809265135,10.149999618530273,10.149999618530273,ALGN
82,29-05-2001,9.699999809265137,10.5600004196167,199600,10.5600004196167,9.949999809265137,9.949999809265137,ALGN
83,30-05-2001,9.0,9.68000030517578,362300,9.8100004196167,9.25,9.25,ALGN
84,31-05-2001,9.300000190734863,9.300000190734863,474000,10.149999618530273,10.0,10.0,ALGN
85,01-06-2001,10.0,10.0,50700,10.149999618530273,10.050000190734863,10.050000190734863,ALGN
86,04-06-2001,9.949999809265137,10.06999969482422,175600,10.220000267028807,10.149999618530273,10.149999618530273,ALGN
87,05-06-2001,10.170000076293944,10.220000267028807,90600,10.529999732971193,10.25,10.25,ALGN
88,06-06-2001,9.800000190734863,10.25,123400,10.479999542236328,9.899999618530273,9.899999618530273,ALGN
89,07-06-2001,9.300000190734863,10.119999885559082,320000,10.119999885559082,9.550000190734863,9.550000190734863,ALGN
90,08-06-2001,9.0,9.449999809265137,48500,9.470000267028807,9.300000190734863,9.300000190734863,ALGN
91,11-06-2001,9.149999618530273,9.34000015258789,818800,9.34000015258789,9.260000228881836,9.260000228881836,ALGN
92,12-06-2001,8.859999656677246,9.15999984741211,86400,9.15999984741211,8.880000114440918,8.880000114440918,ALGN
