,Date,Low,Open,Volume,High,Close,Adjusted Close,SYMBOL
0,04-11-1993,1.875,1.875,1406400,1.9375,1.875,1.875,INCY
1,05-11-1993,1.875,1.875,802000,2.0,1.96875,1.96875,INCY
2,08-11-1993,1.96875,2.0,430400,2.0625,1.96875,1.96875,INCY
3,09-11-1993,1.96875,1.96875,142000,2.0,1.96875,1.96875,INCY
4,10-11-1993,1.96875,1.96875,90800,2.0,2.0,2.0,INCY
5,11-11-1993,2.0,2.0,408800,2.125,2.03125,2.03125,INCY
6,12-11-1993,2.03125,2.03125,393200,2.15625,2.09375,2.09375,INCY
7,15-11-1993,2.09375,2.15625,602800,2.375,2.3125,2.3125,INCY
8,16-11-1993,2.3125,2.3125,455200,2.5,2.4375,2.4375,INCY
9,17-11-1993,2.375,2.46875,165600,2.5,2.375,2.375,INCY
10,18-11-1993,2.3125,2.375,299200,2.375,2.3125,2.3125,INCY
11,19-11-1993,2.3125,2.3125,58800,2.34375,2.34375,2.34375,INCY
12,22-11-1993,2.09375,2.28125,244400,2.28125,2.25,2.25,INCY
13,23-11-1993,2.21875,2.21875,259200,2.4375,2.40625,2.40625,INCY
14,24-11-1993,2.34375,2.40625,48400,2.46875,2.34375,2.34375,INCY
15,26-11-1993,2.375,2.375,16800,2.40625,2.375,2.375,INCY
16,29-11-1993,2.25,2.375,92000,2.375,2.25,2.25,INCY
17,30-11-1993,2.21875,2.21875,89200,2.3125,2.25,2.25,INCY
18,01-12-1993,2.1875,2.28125,98400,2.28125,2.1875,2.1875,INCY
19,02-12-1993,2.21875,2.21875,612400,2.59375,2.59375,2.59375,INCY
20,03-12-1993,2.4375,2.75,494800,2.96875,2.5625,2.5625,INCY
21,06-12-1993,2.40625,2.53125,74400,2.5625,2.40625,2.40625,INCY
22,07-12-1993,2.34375,2.40625,88000,2.40625,2.34375,2.34375,INCY
23,08-12-1993,2.375,2.40625,64800,2.4375,2.375,2.375,INCY
24,09-12-1993,2.34375,2.40625,10800,2.40625,2.34375,2.34375,INCY
25,10-12-1993,2.3125,2.375,16000,2.375,2.3125,2.3125,INCY
26,13-12-1993,2.1875,2.3125,96400,2.3125,2.21875,2.21875,INCY
27,14-12-1993,2.15625,2.21875,236000,2.21875,2.1875,2.1875,INCY
28,15-12-1993,2.125,2.15625,60800,2.25,2.21875,2.21875,INCY
29,16-12-1993,2.21875,2.25,52000,2.28125,2.21875,2.21875,INCY
30,17-12-1993,2.15625,2.25,23200,2.25,2.15625,2.15625,INCY
31,20-12-1993,2.15625,2.15625,29600,2.25,2.21875,2.21875,INCY
32,21-12-1993,2.1875,2.1875,20800,2.1875,2.1875,2.1875,INCY
33,22-12-1993,2.1875,2.21875,40800,2.21875,2.1875,2.1875,INCY
34,23-12-1993,2.25,2.25,42800,2.3125,2.28125,2.28125,INCY
35,27-12-1993,2.3125,2.34375,22000,2.34375,2.3125,2.3125,INCY
36,28-12-1993,2.25,2.34375,58800,2.34375,2.28125,2.28125,INCY
37,29-12-1993,2.25,2.25,12000,2.25,2.25,2.25,INCY
38,30-12-1993,2.21875,2.25,17600,2.25,2.21875,2.21875,INCY
39,31-12-1993,2.25,2.25,7200,2.25,2.25,2.25,INCY
40,03-01-1994,2.1875,2.21875,22400,2.25,2.1875,2.1875,INCY
41,04-01-1994,2.15625,2.1875,57600,2.1875,2.15625,2.15625,INCY
42,05-01-1994,2.1875,2.1875,23200,2.21875,2.21875,2.21875,INCY
43,06-01-1994,2.1875,2.21875,27200,2.21875,2.21875,2.21875,INCY
44,07-01-1994,2.15625,2.1875,25200,2.1875,2.1875,2.1875,INCY
45,10-01-1994,2.15625,2.15625,5200,2.15625,2.15625,2.15625,INCY
46,11-01-1994,2.15625,2.1875,39600,2.21875,2.15625,2.15625,INCY
47,12-01-1994,2.1875,2.1875,4000,2.1875,2.1875,2.1875,INCY
48,13-01-1994,2.0,2.1875,466400,2.1875,2.125,2.125,INCY
