,Date,Low,Open,Volume,High,Close,Adjusted Close,SYMBOL
0,23-04-1993,2.34375,2.4375,16484800,2.4375,2.40625,2.40625,ORLY
1,26-04-1993,2.34375,2.375,3334400,2.40625,2.34375,2.34375,ORLY
2,27-04-1993,2.28125,2.375,2046400,2.375,2.3125,2.3125,ORLY
3,28-04-1993,2.28125,2.34375,897600,2.34375,2.28125,2.28125,ORLY
4,29-04-1993,2.28125,2.28125,844800,2.34375,2.3125,2.3125,ORLY
5,30-04-1993,2.3125,2.34375,1180800,2.40625,2.34375,2.34375,ORLY
6,03-05-1993,2.3125,2.40625,623200,2.40625,2.34375,2.34375,ORLY
7,04-05-1993,2.3125,2.375,555200,2.40625,2.375,2.375,ORLY
8,05-05-1993,2.375,2.375,900800,2.4375,2.4375,2.4375,ORLY
9,06-05-1993,2.375,2.4375,635200,2.46875,2.453125,2.453125,ORLY
10,07-05-1993,2.40625,2.40625,170400,2.46875,2.40625,2.40625,ORLY
11,10-05-1993,2.40625,2.46875,438400,2.5,2.4375,2.4375,ORLY
12,11-05-1993,2.4375,2.4375,312800,2.53125,2.46875,2.46875,ORLY
13,12-05-1993,2.4375,2.5,907200,2.53125,2.53125,2.53125,ORLY
14,13-05-1993,2.46875,2.53125,608000,2.59375,2.59375,2.59375,ORLY
15,14-05-1993,2.53125,2.59375,774400,2.78125,2.734375,2.734375,ORLY
16,17-05-1993,2.625,2.78125,349600,2.78125,2.6875,2.6875,ORLY
17,18-05-1993,2.59375,2.625,555200,2.6875,2.65625,2.65625,ORLY
18,19-05-1993,2.5625,2.65625,408800,2.65625,2.609375,2.609375,ORLY
19,20-05-1993,2.5625,2.625,428000,2.625,2.5625,2.5625,ORLY
20,21-05-1993,2.5625,2.5625,144000,2.625,2.59375,2.59375,ORLY
21,24-05-1993,2.5625,2.625,16800,2.625,2.5625,2.5625,ORLY
22,25-05-1993,2.5625,2.5625,62400,2.625,2.59375,2.59375,ORLY
23,26-05-1993,2.5625,2.625,206400,2.625,2.5625,2.5625,ORLY
24,27-05-1993,2.5625,2.59375,196800,2.625,2.625,2.625,ORLY
25,28-05-1993,2.5625,2.625,175200,2.65625,2.65625,2.65625,ORLY
26,01-06-1993,2.65625,2.65625,525600,2.75,2.65625,2.65625,ORLY
27,02-06-1993,2.65625,2.71875,302400,2.78125,2.78125,2.78125,ORLY
28,03-06-1993,2.75,2.8125,341600,2.8125,2.8125,2.8125,ORLY
29,04-06-1993,2.75,2.8125,86400,2.8125,2.75,2.75,ORLY
30,07-06-1993,2.75,2.8125,288000,2.8125,2.8125,2.8125,ORLY
31,08-06-1993,2.75,2.8125,616800,2.8125,2.8125,2.8125,ORLY
32,09-06-1993,2.75,2.75,96800,2.8125,2.8125,2.8125,ORLY
33,10-06-1993,2.78125,2.78125,1295200,2.90625,2.84375,2.84375,ORLY
34,11-06-1993,2.84375,2.875,213600,2.90625,2.875,2.875,ORLY
35,14-06-1993,2.84375,2.90625,80800,2.90625,2.84375,2.84375,ORLY
36,15-06-1993,2.75,2.90625,663200,2.90625,2.8125,2.8125,ORLY
37,16-06-1993,2.75,2.75,353600,2.8125,2.75,2.75,ORLY
38,17-06-1993,2.75,2.75,135200,2.8125,2.75,2.75,ORLY
39,18-06-1993,2.75,2.8125,132800,2.90625,2.875,2.875,ORLY
40,21-06-1993,2.84375,2.84375,365600,2.9375,2.890625,2.890625,ORLY
41,22-06-1993,2.875,2.9375,92000,2.9375,2.9375,2.9375,ORLY
42,23-06-1993,2.875,2.9375,132000,2.9375,2.9375,2.9375,ORLY
43,24-06-1993,2.875,2.9375,39200,2.9375,2.9375,2.9375,ORLY
44,25-06-1993,2.84375,2.9375,167200,2.9375,2.9375,2.9375,ORLY
45,28-06-1993,2.84375,2.9375,244800,2.96875,2.96875,2.96875,ORLY
46,29-06-1993,2.90625,2.90625,301600,3.125,3.03125,3.03125,ORLY
47,30-06-1993,2.9375,3.09375,194400,3.09375,3.0,3.0,ORLY
48,01-07-1993,2.90625,3.0,49600,3.0,2.90625,2.90625,ORLY
49,02-07-1993,2.875,2.90625,37600,2.96875,2.9375,2.9375,ORLY
50,06-07-1993,2.9375,2.9375,18400,2.9375,2.9375,2.9375,ORLY
51,07-07-1993,2.875,2.9375,44000,2.9375,2.9375,2.9375,ORLY
52,08-07-1993,2.9375,2.9375,62400,3.0,2.9375,2.9375,ORLY
53,09-07-1993,2.9375,3.0,6400,3.0,3.0,3.0,ORLY
54,12-07-1993,2.9375,3.0,53600,3.0,3.0,3.0,ORLY
55,13-07-1993,2.9375,2.9375,44800,3.0,2.96875,2.96875,ORLY
56,14-07-1993,3.0,3.0,4000,3.0,3.0,3.0,ORLY
57,15-07-1993,2.9375,3.0,4800,3.0,2.9375,2.9375,ORLY
58,16-07-1993,2.9375,3.0,30400,3.0,2.9375,2.9375,ORLY
59,19-07-1993,2.90625,2.9375,161600,2.96875,2.90625,2.90625,ORLY
60,20-07-1993,2.90625,2.96875,148800,2.96875,2.90625,2.90625,ORLY
61,21-07-1993,2.90625,2.90625,13600,3.0,3.0,3.0,ORLY
62,22-07-1993,2.90625,3.0,78400,3.0,2.90625,2.90625,ORLY
63,23-07-1993,2.90625,2.96875,100800,2.96875,2.9375,2.9375,ORLY
64,26-07-1993,2.9375,2.9375,34400,2.96875,2.9375,2.9375,ORLY
65,27-07-1993,2.9375,2.9375,33600,2.96875,2.9375,2.9375,ORLY
66,28-07-1993,2.9375,3.0,139200,3.0,2.9375,2.9375,ORLY
67,29-07-1993,2.9375,3.0,11200,3.0,2.9375,2.9375,ORLY
68,30-07-1993,2.9375,2.9375,220000,3.03125,2.96875,2.96875,ORLY
69,02-08-1993,2.90625,2.9375,129600,2.96875,2.96875,2.96875,ORLY
70,03-08-1993,2.90625,2.96875,192000,2.96875,2.96875,2.96875,ORLY
71,04-08-1993,2.90625,2.96875,71200,2.96875,2.90625,2.90625,ORLY
72,05-08-1993,2.90625,2.96875,160800,2.96875,2.9375,2.9375,ORLY
73,06-08-1993,2.90625,2.96875,338400,2.96875,2.90625,2.90625,ORLY
74,09-08-1993,2.875,2.875,67200,2.9375,2.890625,2.890625,ORLY
75,10-08-1993,2.875,2.875,638400,2.921875,2.875,2.875,ORLY
76,11-08-1993,2.875,2.9375,16800,2.9375,2.9375,2.9375,ORLY
77,12-08-1993,2.875,2.875,301600,2.96875,2.96875,2.96875,ORLY
78,13-08-1993,2.90625,2.90625,52000,3.0,3.0,3.0,ORLY
79,16-08-1993,2.90625,3.0,320800,3.0,2.9375,2.9375,ORLY
80,17-08-1993,2.90625,3.0,72800,3.0,3.0,3.0,ORLY
81,18-08-1993,2.90625,2.90625,40800,3.0,2.953125,2.953125,ORLY
82,19-08-1993,2.90625,2.90625,19200,3.0,2.90625,2.90625,ORLY
83,20-08-1993,2.90625,3.0,34400,3.0,2.90625,2.90625,ORLY
84,23-08-1993,2.90625,2.90625,412000,2.921875,2.90625,2.90625,ORLY
85,24-08-1993,2.90625,2.90625,554400,2.96875,2.96875,2.96875,ORLY
86,25-08-1993,2.90625,2.96875,159200,2.96875,2.921875,2.921875,ORLY
87,26-08-1993,2.90625,2.90625,35200,2.96875,2.96875,2.96875,ORLY
88,27-08-1993,2.96875,2.96875,3200,2.96875,2.96875,2.96875,ORLY
89,30-08-1993,2.875,2.90625,187200,2.96875,2.875,2.875,ORLY
90,31-08-1993,2.875,2.875,5600,2.9375,2.9375,2.9375,ORLY
91,01-09-1993,2.84375,2.875,496800,2.921875,2.875,2.875,ORLY
92,02-09-1993,2.8125,2.90625,72800,2.90625,2.84375,2.84375,ORLY
93,03-09-1993,2.84375,2.90625,21600,2.90625,2.90625,2.90625,ORLY
94,07-09-1993,2.84375,2.90625,38400,2.90625,2.84375,2.84375,ORLY
95,08-09-1993,2.796875,2.84375,150400,2.875,2.84375,2.84375,ORLY
96,09-09-1993,2.78125,2.78125,176000,2.84375,2.84375,2.84375,ORLY
97,10-09-1993,2.8125,2.84375,145600,2.90625,2.90625,2.90625,ORLY
98,13-09-1993,2.84375,2.90625,10400,2.90625,2.84375,2.84375,ORLY
99,14-09-1993,2.84375,2.84375,108800,2.9375,2.9375,2.9375,ORLY
100,15-09-1993,2.875,2.875,31200,2.9375,2.9375,2.9375,ORLY
101,16-09-1993,2.875,2.9375,40800,2.9375,2.9375,2.9375,ORLY
102,17-09-1993,2.875,2.9375,24800,2.9375,2.9375,2.9375,ORLY
103,20-09-1993,2.875,2.9375,144800,2.96875,2.96875,2.96875,ORLY
104,21-09-1993,2.9375,2.96875,152000,3.0,3.0,3.0,ORLY
105,22-09-1993,2.9375,2.9375,208000,3.0,2.9375,2.9375,ORLY
106,23-09-1993,2.9375,3.0,478400,3.0625,3.03125,3.03125,ORLY
107,24-09-1993,3.03125,3.125,47200,3.125,3.03125,3.03125,ORLY
108,27-09-1993,3.03125,3.09375,85600,3.09375,3.03125,3.03125,ORLY
109,28-09-1993,3.03125,3.03125,664000,3.09375,3.09375,3.09375,ORLY
110,29-09-1993,3.03125,3.09375,144800,3.09375,3.03125,3.03125,ORLY
111,30-09-1993,2.875,3.09375,970400,3.09375,2.90625,2.90625,ORLY
112,01-10-1993,2.90625,2.96875,132800,2.96875,2.96875,2.96875,ORLY
