,Date,Low,Open,Volume,High,Close,Adjusted Close,SYMBOL
0,02-04-1991,20.75,22.0,2294100,23.25,21.125,21.125,REGN
1,03-04-1991,17.0,21.25,1716100,21.25,18.25,18.25,REGN
2,04-04-1991,17.75,18.25,810600,19.5,18.0,18.0,REGN
3,05-04-1991,17.75,18.5,238200,18.5,17.75,17.75,REGN
4,08-04-1991,17.5,18.0,200100,18.0,17.625,17.625,REGN
5,09-04-1991,16.0,18.0,319000,18.0,16.0,16.0,REGN
6,10-04-1991,15.5,16.0,582100,16.25,15.875,15.875,REGN
7,11-04-1991,14.75,16.0,319400,16.5,14.75,14.75,REGN
8,12-04-1991,14.75,14.75,329700,16.5,16.25,16.25,REGN
9,15-04-1991,16.0,16.5,171400,16.75,16.125,16.125,REGN
10,16-04-1991,16.0,16.375,130500,16.375,16.125,16.125,REGN
11,17-04-1991,15.25,16.375,187600,16.375,15.25,15.25,REGN
12,18-04-1991,14.5,15.5,320300,15.5,15.25,15.25,REGN
13,19-04-1991,14.625,15.25,68900,15.25,14.875,14.875,REGN
14,22-04-1991,14.125,14.875,79000,14.875,14.125,14.125,REGN
15,23-04-1991,14.125,14.125,335000,14.75,14.25,14.25,REGN
16,24-04-1991,14.375,14.625,90500,14.75,14.75,14.75,REGN
17,25-04-1991,14.375,14.375,115400,14.75,14.5,14.5,REGN
18,26-04-1991,14.0,14.5,122600,14.5,14.375,14.375,REGN
19,29-04-1991,12.375,14.375,183700,14.375,12.5,12.5,REGN
20,30-04-1991,12.0,13.0,330000,13.0,12.625,12.625,REGN
21,01-05-1991,12.5,12.75,237800,13.875,13.5,13.5,REGN
22,02-05-1991,13.25,14.0,153900,14.125,13.5,13.5,REGN
23,03-05-1991,13.0,13.25,65300,13.625,13.375,13.375,REGN
24,06-05-1991,12.75,13.375,163700,13.625,13.625,13.625,REGN
25,07-05-1991,13.375,13.875,146100,14.125,13.375,13.375,REGN
26,08-05-1991,13.25,14.0,162600,14.125,13.25,13.25,REGN
27,09-05-1991,13.25,13.625,25700,13.625,13.625,13.625,REGN
28,10-05-1991,12.75,13.25,125200,13.625,12.75,12.75,REGN
29,13-05-1991,11.375,13.0,137900,13.0,11.5,11.5,REGN
30,14-05-1991,11.5,11.75,173200,12.125,11.875,11.875,REGN
31,15-05-1991,10.25,12.125,186200,12.125,10.75,10.75,REGN
32,16-05-1991,10.375,10.75,230000,11.5,11.25,11.25,REGN
33,17-05-1991,11.125,11.625,75000,12.125,11.75,11.75,REGN
34,20-05-1991,11.0,11.75,83000,11.875,11.375,11.375,REGN
35,21-05-1991,11.25,11.375,139700,12.25,12.25,12.25,REGN
36,22-05-1991,11.625,11.875,184200,12.375,12.125,12.125,REGN
37,23-05-1991,11.875,12.5,135900,12.75,11.875,11.875,REGN
38,24-05-1991,11.875,11.875,14600,12.25,12.25,12.25,REGN
39,28-05-1991,11.875,12.25,16900,12.25,12.0,12.0,REGN
40,29-05-1991,12.0,12.0,245700,12.75,12.625,12.625,REGN
41,30-05-1991,12.125,12.875,253200,13.25,12.25,12.25,REGN
42,31-05-1991,12.125,12.5,85200,12.5,12.25,12.25,REGN
43,03-06-1991,11.5,12.5,102400,12.5,11.75,11.75,REGN
44,04-06-1991,11.625,12.0,59800,12.125,12.125,12.125,REGN
45,05-06-1991,11.875,12.125,48900,12.125,11.875,11.875,REGN
46,06-06-1991,11.875,11.875,13200,12.125,11.875,11.875,REGN
47,07-06-1991,11.5,12.125,32500,12.125,11.625,11.625,REGN
48,10-06-1991,11.125,11.5,69400,11.875,11.625,11.625,REGN
49,11-06-1991,11.125,11.625,26800,11.625,11.625,11.625,REGN
50,12-06-1991,10.75,11.5,113400,11.5,11.0,11.0,REGN
51,13-06-1991,10.25,11.0,59600,11.0,10.375,10.375,REGN
52,14-06-1991,10.375,10.75,152800,11.0,11.0,11.0,REGN
53,17-06-1991,10.875,10.875,20400,11.25,10.875,10.875,REGN
54,18-06-1991,10.875,10.875,130100,11.5,11.25,11.25,REGN
55,19-06-1991,11.25,11.5,27700,11.5,11.5,11.5,REGN
56,20-06-1991,11.0,11.5,58900,12.0,12.0,12.0,REGN
57,21-06-1991,11.75,12.0,48200,12.25,12.0,12.0,REGN
58,24-06-1991,11.0,11.75,78300,12.0,11.5,11.5,REGN
59,25-06-1991,11.0,11.0,48000,11.5,11.125,11.125,REGN
60,26-06-1991,11.0,11.0,91800,11.25,11.0,11.0,REGN
61,27-06-1991,11.0,11.25,16200,11.25,11.25,11.25,REGN
62,28-06-1991,10.75,11.0,59700,11.25,11.125,11.125,REGN
63,01-07-1991,10.75,10.75,15900,11.125,11.125,11.125,REGN
64,02-07-1991,10.375,11.125,43900,11.125,10.625,10.625,REGN
65,03-07-1991,10.375,10.75,38200,10.75,10.5,10.5,REGN
66,05-07-1991,10.25,10.375,43900,10.75,10.25,10.25,REGN
67,08-07-1991,9.875,10.0,44400,10.5,10.25,10.25,REGN
68,09-07-1991,10.0,10.0,45100,10.875,10.75,10.75,REGN
69,10-07-1991,10.5,10.5,11500,11.0,10.5,10.5,REGN
70,11-07-1991,10.5,10.5,15400,11.0,10.875,10.875,REGN
71,12-07-1991,10.5,10.875,40600,10.875,10.5,10.5,REGN
72,15-07-1991,10.5,10.5,36800,11.25,11.25,11.25,REGN
73,16-07-1991,10.5,11.5,39000,11.5,10.75,10.75,REGN
74,17-07-1991,10.5,10.5,47500,10.875,10.75,10.75,REGN
75,18-07-1991,10.625,10.75,38400,11.0,11.0,11.0,REGN
76,19-07-1991,10.625,10.625,14300,11.0,11.0,11.0,REGN
77,22-07-1991,10.5,11.0,68700,11.0,10.5,10.5,REGN
78,23-07-1991,10.25,10.5,9700,10.875,10.5,10.5,REGN
79,24-07-1991,10.25,10.75,14400,10.75,10.25,10.25,REGN
80,25-07-1991,9.75,10.25,50400,10.75,9.875,9.875,REGN
81,26-07-1991,9.75,10.125,16200,10.25,10.25,10.25,REGN
82,29-07-1991,9.875,10.25,4400,10.25,10.25,10.25,REGN
83,30-07-1991,10.0,10.25,108100,10.625,10.625,10.625,REGN
84,31-07-1991,10.75,10.875,83200,12.0,11.5,11.5,REGN
85,01-08-1991,11.25,11.625,28400,11.75,11.25,11.25,REGN
86,02-08-1991,11.25,11.5,17600,11.5,11.25,11.25,REGN
87,05-08-1991,11.25,11.375,3700,11.5,11.5,11.5,REGN
88,06-08-1991,10.5,11.25,91300,11.5,10.75,10.75,REGN
89,07-08-1991,10.625,10.625,10400,10.875,10.875,10.875,REGN
90,08-08-1991,10.625,10.875,25800,11.25,10.75,10.75,REGN
91,09-08-1991,10.125,10.875,34300,10.875,10.625,10.625,REGN
92,12-08-1991,10.25,10.625,10900,10.625,10.625,10.625,REGN
93,13-08-1991,10.25,10.25,15900,10.625,10.625,10.625,REGN
94,14-08-1991,10.25,10.375,49000,10.75,10.25,10.25,REGN
95,15-08-1991,10.25,10.25,180400,10.75,10.75,10.75,REGN
96,16-08-1991,10.5,10.75,32900,11.0,10.875,10.875,REGN
97,19-08-1991,9.75,10.25,58600,10.25,10.125,10.125,REGN
98,20-08-1991,10.125,10.5,37900,10.5,10.375,10.375,REGN
99,21-08-1991,10.25,10.375,103900,11.0,10.625,10.625,REGN
100,22-08-1991,10.25,10.875,38700,10.875,10.5,10.5,REGN
101,23-08-1991,10.25,10.25,40100,10.75,10.5,10.5,REGN
102,26-08-1991,10.5,10.75,24300,10.75,10.5,10.5,REGN
103,27-08-1991,10.25,10.375,32700,10.75,10.375,10.375,REGN
