,Date,Low,Open,Volume,High,Close,Adjusted Close,SYMBOL
0,13-09-1994,4.5,4.5,74000,4.875,4.625,4.3667263984680185,SIRI
1,14-09-1994,3.625,4.5,335100,4.75,4.375,4.130686283111571,SIRI
2,15-09-1994,4.375,4.5,43600,4.546875,4.546875,4.292964458465576,SIRI
3,16-09-1994,4.25,4.375,171900,4.75,4.75,4.484745979309082,SIRI
4,19-09-1994,4.875,4.875,2100,4.875,4.875,4.602765083312988,SIRI
5,20-09-1994,4.25,4.5,81000,4.546875,4.375,4.130686283111571,SIRI
6,21-09-1994,4.125,4.125,8000,4.171875,4.171875,3.938905477523804,SIRI
7,22-09-1994,4.375,4.375,6100,4.375,4.375,4.130686283111571,SIRI
8,23-09-1994,4.125,4.375,6700,4.375,4.125,3.894648551940918,SIRI
9,26-09-1994,4.125,4.375,6600,4.375,4.25,4.012667179107666,SIRI
10,27-09-1994,3.75,4.25,205500,4.25,4.0,3.7766284942626953,SIRI
11,28-09-1994,4.125,4.125,11600,4.125,4.125,3.894648551940918,SIRI
12,29-09-1994,3.75,3.75,9600,4.125,4.125,3.894648551940918,SIRI
13,30-09-1994,4.125,4.125,1000,4.125,4.125,3.894648551940918,SIRI
14,03-10-1994,3.875,3.875,9000,3.875,3.875,3.6586089134216313,SIRI
15,04-10-1994,3.625,4.0,18300,4.0,3.625,3.422569751739502,SIRI
16,05-10-1994,3.6875,3.75,21100,3.875,3.6875,3.4815795421600337,SIRI
17,06-10-1994,3.625,3.875,4000,3.875,3.875,3.6586089134216313,SIRI
18,07-10-1994,3.625,3.625,1600,3.625,3.625,3.422569751739502,SIRI
19,10-10-1994,3.625,3.625,0,3.625,3.625,3.422569751739502,SIRI
20,11-10-1994,3.625,3.625,0,3.625,3.625,3.422569751739502,SIRI
21,12-10-1994,3.6875,3.75,7000,3.75,3.75,3.540589570999145,SIRI
22,13-10-1994,3.625,3.875,14200,3.875,3.625,3.422569751739502,SIRI
23,14-10-1994,3.625,3.875,8500,3.875,3.625,3.422569751739502,SIRI
24,17-10-1994,3.625,3.625,200,3.625,3.625,3.422569751739502,SIRI
25,18-10-1994,3.625,3.625,6800,3.875,3.875,3.6586089134216313,SIRI
26,19-10-1994,3.625,3.875,5200,3.875,3.625,3.422569751739502,SIRI
27,20-10-1994,3.625,3.625,900,3.625,3.625,3.422569751739502,SIRI
28,21-10-1994,3.875,3.875,2000,3.875,3.875,3.6586089134216313,SIRI
29,24-10-1994,3.875,3.875,27300,4.125,4.125,3.894648551940918,SIRI
30,25-10-1994,4.0,4.0,1200,4.0,4.0,3.7766284942626953,SIRI
31,26-10-1994,4.125,4.125,100,4.125,4.125,3.894648551940918,SIRI
32,27-10-1994,4.125,4.125,12500,4.125,4.125,3.894648551940918,SIRI
33,28-10-1994,4.125,4.125,1500,4.125,4.125,3.894648551940918,SIRI
34,31-10-1994,3.75,3.75,400,3.75,3.75,3.540589570999145,SIRI
35,01-11-1994,3.875,3.875,2000,3.875,3.875,3.6586089134216313,SIRI
36,02-11-1994,3.75,4.0,1300,4.0,3.75,3.540589570999145,SIRI
37,03-11-1994,3.75,3.75,3600,3.75,3.75,3.540589570999145,SIRI
38,04-11-1994,3.75,3.75,0,3.75,3.75,3.540589570999145,SIRI
39,07-11-1994,3.75,4.0,8000,4.0,3.75,3.540589570999145,SIRI
40,08-11-1994,3.75,3.75,4000,3.75,3.75,3.540589570999145,SIRI
41,09-11-1994,3.625,3.625,12000,3.625,3.625,3.422569751739502,SIRI
42,10-11-1994,3.625,3.875,20100,3.875,3.625,3.422569751739502,SIRI
43,11-11-1994,3.625,3.625,0,3.625,3.625,3.422569751739502,SIRI
44,14-11-1994,3.625,3.625,0,3.625,3.625,3.422569751739502,SIRI
45,15-11-1994,3.5,3.5,31400,3.875,3.5,3.3045496940612797,SIRI
46,16-11-1994,3.5,3.875,3800,3.875,3.5,3.3045496940612797,SIRI
47,17-11-1994,3.5,3.5,2000,3.625,3.625,3.422569751739502,SIRI
48,18-11-1994,3.5,3.5,9000,3.5,3.5,3.3045496940612797,SIRI
49,21-11-1994,3.5,3.5,500,3.5,3.5,3.3045496940612797,SIRI
50,22-11-1994,2.75,3.375,16300,3.375,2.75,2.5964317321777344,SIRI
51,23-11-1994,2.5,2.5,3600,2.75,2.75,2.5964317321777344,SIRI
52,25-11-1994,2.125,2.5,12500,2.5,2.5,2.360392808914185,SIRI
53,28-11-1994,2.375,2.5,40500,2.625,2.375,2.242372989654541,SIRI
54,29-11-1994,2.5,2.75,17200,2.875,2.5,2.360392808914185,SIRI
55,30-11-1994,2.5,2.875,7000,2.875,2.75,2.5964317321777344,SIRI
56,01-12-1994,2.5,2.875,8500,2.875,2.5,2.360392808914185,SIRI
57,02-12-1994,2.5,2.5,5500,2.75,2.75,2.5964317321777344,SIRI
58,05-12-1994,2.25,2.375,5900,2.375,2.25,2.124353647232056,SIRI
59,06-12-1994,2.25,2.25,4700,2.5,2.25,2.124353647232056,SIRI
60,07-12-1994,2.25,2.25,2600,2.25,2.25,2.124353647232056,SIRI
61,08-12-1994,2.0,2.125,4300,2.375,2.0,1.888314247131348,SIRI
62,09-12-1994,1.875,2.0,27400,2.25,1.875,1.7702947854995728,SIRI
63,12-12-1994,2.0,2.25,4100,2.25,2.25,2.124353647232056,SIRI
64,13-12-1994,1.875,2.125,7000,2.125,1.875,1.7702947854995728,SIRI
65,14-12-1994,1.625,1.875,8300,1.875,1.6875,1.5932648181915283,SIRI
66,15-12-1994,1.625,1.625,38200,1.875,1.75,1.6522748470306396,SIRI
67,16-12-1994,1.6875,1.8125,11600,1.8125,1.6875,1.5932648181915283,SIRI
68,19-12-1994,1.6875,1.8125,18000,1.8125,1.75,1.6522748470306396,SIRI
69,20-12-1994,1.75,1.8125,21400,1.875,1.875,1.7702947854995728,SIRI
70,21-12-1994,1.75,1.8125,20800,1.875,1.875,1.7702947854995728,SIRI
71,22-12-1994,1.6875,1.875,32500,1.90625,1.6875,1.5932648181915283,SIRI
72,23-12-1994,1.875,1.875,58200,2.125,2.0,1.888314247131348,SIRI
73,27-12-1994,1.75,1.875,8400,1.875,1.875,1.7702947854995728,SIRI
74,28-12-1994,1.875,1.9375,20500,2.0,1.875,1.7702947854995728,SIRI
75,29-12-1994,1.75,1.8125,20100,2.0,1.875,1.7702947854995728,SIRI
76,30-12-1994,1.75,2.0,111200,2.046875,2.03125,1.917818784713745,SIRI
77,03-01-1995,1.875,2.125,53500,2.125,2.125,2.006333589553833,SIRI
78,04-01-1995,1.875,2.125,27000,2.125,1.875,1.7702947854995728,SIRI
79,05-01-1995,1.875,1.875,28000,2.125,2.0,1.888314247131348,SIRI
80,06-01-1995,2.125,2.125,420300,4.0,4.0,3.7766284942626953,SIRI
81,09-01-1995,4.125,4.375,88200,5.375,4.875,4.602765083312988,SIRI
82,10-01-1995,4.125,4.875,165900,4.875,4.375,4.130686283111571,SIRI
83,11-01-1995,3.875,4.5,120900,4.625,4.25,4.012667179107666,SIRI
84,12-01-1995,4.125,4.25,325700,5.125,4.1875,3.953657627105713,SIRI
85,13-01-1995,4.0,4.4375,86800,4.5625,4.1875,3.953657627105713,SIRI
86,16-01-1995,3.875,4.5,19800,4.5,3.875,3.6586089134216313,SIRI
87,17-01-1995,3.375,3.9375,49000,4.125,3.625,3.422569751739502,SIRI
88,18-01-1995,3.125,3.125,9000,3.125,3.125,2.950491189956665,SIRI
89,19-01-1995,3.125,3.125,16400,3.6875,3.375,3.1865296363830566,SIRI
90,20-01-1995,3.4375,3.625,12200,3.75,3.75,3.540589570999145,SIRI
91,23-01-1995,3.5,3.5625,15600,3.8125,3.75,3.540589570999145,SIRI
92,24-01-1995,3.0625,3.5,26700,3.5625,3.25,3.068510770797729,SIRI
93,25-01-1995,3.125,3.375,9700,3.4375,3.4375,3.245539903640747,SIRI
94,26-01-1995,3.375,3.5,2600,3.5,3.375,3.1865296363830566,SIRI
95,27-01-1995,3.375,3.5625,4900,3.5625,3.5625,3.3635599613189697,SIRI
96,30-01-1995,3.25,3.5625,48200,3.625,3.4375,3.245539903640747,SIRI
97,31-01-1995,3.4375,3.5,15500,3.625,3.625,3.422569751739502,SIRI
98,01-02-1995,3.5,3.75,36300,3.875,3.625,3.422569751739502,SIRI
99,02-02-1995,3.625,3.625,0,3.625,3.625,3.422569751739502,SIRI
100,03-02-1995,3.5,3.5,5800,3.625,3.625,3.422569751739502,SIRI
101,06-02-1995,3.5,3.8125,98000,4.125,4.0625,3.83563756942749,SIRI
102,07-02-1995,4.0,4.0625,111400,4.4375,4.25,4.012667179107666,SIRI
103,08-02-1995,4.0625,4.375,22300,4.375,4.0625,3.83563756942749,SIRI
104,09-02-1995,4.3125,4.375,47500,4.625,4.5,4.248707294464111,SIRI
105,10-02-1995,4.375,4.4375,36900,4.8125,4.5625,4.307717800140382,SIRI
106,13-02-1995,4.375,4.75,16400,4.75,4.5,4.248707294464111,SIRI
107,14-02-1995,4.125,4.375,20000,4.375,4.125,3.894648551940918,SIRI
108,15-02-1995,4.0625,4.5,67800,4.5,4.125,3.894648551940918,SIRI
109,16-02-1995,4.125,4.25,35200,4.25,4.25,4.012667179107666,SIRI
110,17-02-1995,4.125,4.3125,2400,4.3125,4.25,4.012667179107666,SIRI
111,21-02-1995,4.125,4.3125,11100,4.3125,4.1875,3.953657627105713,SIRI
112,22-02-1995,4.125,4.25,42900,4.25,4.1875,3.953657627105713,SIRI
113,23-02-1995,4.125,4.25,24600,4.25,4.125,3.894648551940918,SIRI
114,24-02-1995,4.125,4.21875,10100,4.21875,4.125,3.894648551940918,SIRI
115,27-02-1995,4.0625,4.125,84400,4.1875,4.0625,3.83563756942749,SIRI
116,28-02-1995,4.0625,4.0625,37000,4.125,4.125,3.894648551940918,SIRI
117,01-03-1995,4.0625,4.0625,1300,4.0625,4.0625,3.83563756942749,SIRI
118,02-03-1995,4.0625,4.0625,0,4.0625,4.0625,3.83563756942749,SIRI
119,03-03-1995,4.0625,4.0625,2900,4.0625,4.0625,3.83563756942749,SIRI
120,06-03-1995,4.0625,4.0625,46300,4.1875,4.09375,3.8651435375213614,SIRI
121,07-03-1995,4.0625,4.09375,11600,4.09375,4.0625,3.83563756942749,SIRI
122,08-03-1995,4.0625,4.1875,12600,4.1875,4.0625,3.83563756942749,SIRI
123,09-03-1995,4.0625,4.1875,3000,4.1875,4.1875,3.953657627105713,SIRI
