,Date,Low,Open,Volume,High,Close,Adjusted Close,SYMBOL
0,26-02-1992,6.875,7.125,11616800,8.25,7.875,7.875,SNPS
1,27-02-1992,7.6875,8.0625,1918400,8.0625,7.78125,7.78125,SNPS
2,28-02-1992,7.5625,7.8125,1387200,7.9375,7.6875,7.6875,SNPS
3,02-03-1992,7.5625,7.625,1206000,8.0625,7.9375,7.9375,SNPS
4,03-03-1992,7.875,7.9375,222800,8.0625,8.0,8.0,SNPS
5,04-03-1992,7.6875,8.0,596000,8.0,7.75,7.75,SNPS
6,05-03-1992,7.5625,7.6875,1759200,7.75,7.6875,7.6875,SNPS
7,06-03-1992,7.625,7.625,297200,7.9375,7.75,7.75,SNPS
8,09-03-1992,7.8125,7.8125,659600,8.1875,8.0,8.0,SNPS
9,10-03-1992,7.9375,8.0,698400,8.25,8.1875,8.1875,SNPS
10,11-03-1992,8.0625,8.3125,274400,8.3125,8.0625,8.0625,SNPS
11,12-03-1992,8.0625,8.0625,519600,8.3125,8.1875,8.1875,SNPS
12,13-03-1992,8.125,8.125,233200,8.5,8.4375,8.4375,SNPS
13,16-03-1992,8.125,8.375,372800,8.4375,8.125,8.125,SNPS
14,17-03-1992,8.1875,8.1875,172000,8.28125,8.1875,8.1875,SNPS
15,18-03-1992,8.1875,8.1875,147600,8.4375,8.3125,8.3125,SNPS
16,19-03-1992,8.375,8.5,613600,8.6875,8.5625,8.5625,SNPS
17,20-03-1992,8.625,8.6875,181200,8.8125,8.75,8.75,SNPS
18,23-03-1992,8.5625,8.8125,51600,8.8125,8.75,8.75,SNPS
19,24-03-1992,8.5625,8.625,88000,8.6875,8.625,8.625,SNPS
20,25-03-1992,8.5625,8.5625,230000,8.6875,8.65625,8.65625,SNPS
21,26-03-1992,8.3125,8.6875,556400,8.6875,8.3125,8.3125,SNPS
22,27-03-1992,7.875,8.25,251600,8.4375,7.875,7.875,SNPS
23,30-03-1992,7.875,7.875,188400,8.0625,8.0,8.0,SNPS
24,31-03-1992,7.9375,7.9375,210000,8.0625,8.0,8.0,SNPS
25,01-04-1992,7.5,7.9375,272400,7.9375,7.59375,7.59375,SNPS
26,02-04-1992,7.3125,7.5,416000,7.625,7.5,7.5,SNPS
27,03-04-1992,7.25,7.3125,574400,7.5,7.5,7.5,SNPS
28,06-04-1992,7.4375,7.4375,588800,7.6875,7.5625,7.5625,SNPS
29,07-04-1992,7.4375,7.6875,909600,7.75,7.5625,7.5625,SNPS
30,08-04-1992,7.1875,7.4375,544400,7.5,7.375,7.375,SNPS
31,09-04-1992,7.25,7.375,355200,7.53125,7.46875,7.46875,SNPS
32,10-04-1992,7.5,7.5625,93200,7.6875,7.5,7.5,SNPS
33,13-04-1992,7.5625,7.5625,37200,7.6875,7.6875,7.6875,SNPS
34,14-04-1992,7.5625,7.6875,193600,7.9375,7.9375,7.9375,SNPS
35,15-04-1992,7.8125,7.9375,85200,7.9375,7.8125,7.8125,SNPS
36,16-04-1992,7.625,7.8125,91200,7.8125,7.625,7.625,SNPS
37,20-04-1992,7.3125,7.65625,256400,7.65625,7.34375,7.34375,SNPS
38,21-04-1992,6.6875,7.125,542800,7.1875,6.8125,6.8125,SNPS
39,22-04-1992,6.375,6.75,663600,6.75,6.625,6.625,SNPS
40,23-04-1992,6.59375,6.625,229200,6.75,6.6875,6.6875,SNPS
41,24-04-1992,6.625,6.625,92400,6.75,6.625,6.625,SNPS
42,27-04-1992,6.25,6.75,514000,6.75,6.3125,6.3125,SNPS
43,28-04-1992,6.4375,6.4375,350800,6.6875,6.625,6.625,SNPS
44,29-04-1992,6.3125,6.65625,390000,6.6875,6.5,6.5,SNPS
45,30-04-1992,6.375,6.4375,336800,7.25,7.25,7.25,SNPS
46,01-05-1992,7.3125,7.375,400800,7.6875,7.6875,7.6875,SNPS
47,04-05-1992,7.625,7.625,440000,8.125,8.125,8.125,SNPS
48,05-05-1992,8.0,8.1875,246800,8.5625,8.375,8.375,SNPS
49,06-05-1992,8.21875,8.5,405600,8.5,8.25,8.25,SNPS
50,07-05-1992,8.1875,8.1875,623600,8.5625,8.375,8.375,SNPS
51,08-05-1992,8.3125,8.5,335200,8.5,8.34375,8.34375,SNPS
52,11-05-1992,7.875,8.3125,270000,8.3125,7.875,7.875,SNPS
53,12-05-1992,7.4375,7.875,233600,7.875,7.53125,7.53125,SNPS
54,13-05-1992,7.0625,7.5,244400,7.5625,7.25,7.25,SNPS
55,14-05-1992,6.75,7.125,451600,7.25,7.125,7.125,SNPS
56,15-05-1992,6.90625,7.0,305600,7.5625,7.375,7.375,SNPS
57,18-05-1992,7.1875,7.3125,288800,7.5,7.1875,7.1875,SNPS
58,19-05-1992,7.0,7.125,85200,7.1875,7.1875,7.1875,SNPS
59,20-05-1992,6.8125,7.0625,154400,7.0625,6.84375,6.84375,SNPS
60,21-05-1992,6.75,6.75,109600,6.875,6.75,6.75,SNPS
61,22-05-1992,6.75,6.78125,155600,7.0,6.875,6.875,SNPS
62,26-05-1992,6.6875,6.875,179200,6.9375,6.6875,6.6875,SNPS
63,27-05-1992,6.625,6.875,1305600,7.0,6.75,6.75,SNPS
64,28-05-1992,6.8125,7.0,173200,7.0,6.875,6.875,SNPS
65,29-05-1992,6.59375,6.9375,800000,6.9375,6.84375,6.84375,SNPS
66,01-06-1992,6.8125,6.8125,137600,7.1875,7.1875,7.1875,SNPS
67,02-06-1992,7.1875,7.1875,733600,7.9375,7.8125,7.8125,SNPS
68,03-06-1992,7.8125,7.8125,1156800,8.375,8.34375,8.34375,SNPS
