,Date,Low,Open,Volume,High,Close,Adjusted Close,SYMBOL
0,30-01-1998,5.125,5.1875,18256800,6.5625,6.375,5.4133381843566895,VRSN
1,02-02-1998,6.625,6.84375,10127200,9.3125,7.75,6.580920696258545,VRSN
2,03-02-1998,8.0,8.25,6244800,8.78125,8.25,7.005496501922607,VRSN
3,04-02-1998,7.625,8.21875,2106800,8.28125,7.90625,6.713601112365723,VRSN
4,05-02-1998,7.625,8.0625,890800,8.25,7.640625,6.488044738769531,VRSN
5,06-02-1998,6.875,7.671875,2846800,7.71875,6.96875,5.917521953582764,VRSN
6,09-02-1998,6.40625,6.875,1944800,7.0,6.75,5.731770038604736,VRSN
7,10-02-1998,6.53125,6.6875,1001200,7.375,7.0,5.9440574645996085,VRSN
8,11-02-1998,6.90625,7.03125,842400,7.4375,7.4375,6.315561294555664,VRSN
9,12-02-1998,7.28125,7.40625,1111600,7.90625,7.78125,6.607457160949707,VRSN
10,13-02-1998,7.6875,7.84375,544800,8.0,7.75,6.580920696258545,VRSN
11,17-02-1998,7.6875,7.84375,441600,8.0,7.8125,6.633993148803711,VRSN
12,18-02-1998,7.71875,7.84375,246000,7.875,7.8125,6.633993148803711,VRSN
13,19-02-1998,7.6875,7.875,318400,7.96875,7.6875,6.527849197387695,VRSN
14,20-02-1998,7.6875,7.6875,349200,8.0,7.96875,6.766672611236572,VRSN
15,23-02-1998,7.21875,7.6875,1409600,7.71875,7.25,6.1563453674316415,VRSN
16,24-02-1998,6.6875,7.40625,2599200,7.421875,6.84375,5.811378002166747,VRSN
17,25-02-1998,6.8125,7.0,1143200,7.25,7.25,6.1563453674316415,VRSN
18,26-02-1998,7.0625,7.28125,491200,7.28125,7.21875,6.129809379577638,VRSN
19,27-02-1998,7.125,7.125,573600,7.21875,7.15625,6.076737403869629,VRSN
20,02-03-1998,7.09375,7.15625,466400,7.203125,7.109375,6.036933422088622,VRSN
21,03-03-1998,7.0,7.125,642400,7.125,7.125,6.050201416015625,VRSN
22,04-03-1998,6.8125,7.1875,377600,7.1875,6.898437976837157,5.857816219329834,VRSN
23,05-03-1998,6.625,6.71875,836800,6.875,6.671875,5.6654295921325675,VRSN
24,06-03-1998,6.6875,6.78125,454000,7.125,7.078125,6.010397911071777,VRSN
25,09-03-1998,6.96875,6.96875,1732400,7.9375,7.5625,6.42170524597168,VRSN
26,10-03-1998,7.5625,7.6875,1844000,8.28125,8.265625,7.018764972686768,VRSN
27,11-03-1998,8.34375,8.40625,2708000,9.1875,8.96875,7.615823745727539,VRSN
28,12-03-1998,9.0,9.09375,1700000,9.65625,9.625,8.173079490661621,VRSN
29,13-03-1998,9.03125,9.6875,1345600,9.9375,9.46875,8.040399551391603,VRSN
30,16-03-1998,9.46875,9.5625,3122800,11.4375,11.1875,9.4998779296875,VRSN
31,17-03-1998,10.609375,11.125,1907200,11.71875,11.085938453674316,9.413637161254883,VRSN
32,18-03-1998,10.65625,10.875,800000,11.125,10.765625,9.141642570495604,VRSN
33,19-03-1998,10.53125,10.8125,312400,10.984375,10.78125,9.15491008758545,VRSN
34,20-03-1998,10.140625,10.65625,405200,10.875,10.296875,8.743602752685549,VRSN
35,23-03-1998,10.1875,10.1875,1090800,11.21875,10.78125,9.15491008758545,VRSN
36,24-03-1998,10.71875,11.125,1063600,11.53125,11.125,9.446805953979492,VRSN
37,25-03-1998,10.609375,11.21875,441600,11.25,10.75,9.128375053405762,VRSN
38,26-03-1998,10.375,10.75,473600,10.875,10.5,8.91608715057373,VRSN
39,27-03-1998,10.40625,10.5625,884400,10.875,10.625,9.02223014831543,VRSN
40,30-03-1998,10.5,10.625,868400,11.1875,10.875,9.234518051147461,VRSN
41,31-03-1998,10.8125,11.0625,714400,11.125,11.0,9.340662002563477,VRSN
42,01-04-1998,11.0,11.09375,1110000,12.125,12.0,10.189813613891602,VRSN
43,02-04-1998,11.03125,11.8125,1066400,12.25,11.0625,9.393733978271484,VRSN
44,03-04-1998,10.59375,11.4375,1367200,11.59375,10.625,9.02223014831543,VRSN
45,06-04-1998,10.21875,10.78125,656000,10.78125,10.21875,8.677262306213379,VRSN
46,07-04-1998,9.25,10.15625,1047200,10.1875,9.734375,8.265954971313478,VRSN
47,08-04-1998,9.71875,9.71875,977200,10.8125,10.1875,8.650726318359375,VRSN
48,09-04-1998,10.71875,10.875,922800,11.21875,11.0,9.340662002563477,VRSN
49,13-04-1998,10.65625,11.25,544400,11.5625,11.21875,9.526413917541504,VRSN
50,14-04-1998,10.90625,11.375,575200,11.875,10.96875,9.314126014709473,VRSN
51,15-04-1998,10.75,11.15625,345600,11.15625,10.75,9.128375053405762,VRSN
52,16-04-1998,10.6875,10.84375,302400,10.90625,10.75,9.128375053405762,VRSN
53,17-04-1998,10.15625,10.75,410800,10.8125,10.59375,8.995694160461426,VRSN
54,20-04-1998,10.4375,10.625,493600,10.65625,10.4375,8.863014221191406,VRSN
55,21-04-1998,9.625,10.4375,528000,10.4375,10.1875,8.650726318359375,VRSN
56,22-04-1998,9.75,10.21875,570800,10.40625,10.25,8.703798294067383,VRSN
57,23-04-1998,9.46875,9.9375,904800,10.125,9.53125,8.093471527099611,VRSN
58,24-04-1998,8.5,9.65625,2391200,10.0,8.8125,7.483144283294678,VRSN
59,27-04-1998,8.28125,8.6875,1166800,9.3125,9.28125,7.88118314743042,VRSN
60,28-04-1998,8.78125,9.6875,932400,9.6875,9.15625,7.775039672851562,VRSN
61,29-04-1998,8.65625,9.0,585600,9.125,8.890625,7.549483776092528,VRSN
62,30-04-1998,9.15625,9.28125,626400,9.71875,9.59375,8.146543502807617,VRSN
63,01-05-1998,9.5,9.5625,331600,10.15625,10.0,8.491510391235353,VRSN
64,04-05-1998,9.5,10.03125,523200,10.28125,9.625,8.173079490661621,VRSN
65,05-05-1998,8.90625,9.40625,580800,9.625,9.015625,7.655628204345702,VRSN
66,06-05-1998,8.6875,9.15625,474400,9.21875,8.921875,7.576019763946532,VRSN
67,07-05-1998,8.6875,8.90625,218800,9.0,8.8125,7.483144283294678,VRSN
68,08-05-1998,8.8125,8.875,242000,9.03125,8.875,7.536215782165527,VRSN
69,11-05-1998,8.53125,8.96875,412400,9.0,8.75,7.43007230758667,VRSN
70,12-05-1998,8.5625,8.6875,247200,8.84375,8.6875,7.377000331878662,VRSN
