Date,Low,Open,Volume,High,Close,Adjusted Close
21-02-1973,3.875,0.0,22600,3.875,3.875,2.925706624984741
22-02-1973,3.875,0.0,56100,3.875,3.875,2.925706624984741
23-02-1973,3.875,0.0,42200,3.875,3.875,2.925706624984741
26-02-1973,3.75,0.0,30300,3.75,3.75,2.8313283920288086
27-02-1973,3.75,0.0,16300,3.75,3.75,2.8313283920288086
28-02-1973,3.75,0.0,11500,3.75,3.75,2.8313283920288086
01-03-1973,4.125,0.0,40100,4.125,4.125,3.1144604682922363
02-03-1973,3.75,0.0,108100,3.75,3.75,2.8313283920288086
05-03-1973,3.875,0.0,13600,3.875,3.875,2.925706624984741
06-03-1973,3.625,0.0,12700,3.625,3.625,2.736950159072876
07-03-1973,3.75,0.0,14800,3.75,3.75,2.8313283920288086
08-03-1973,3.875,0.0,9800,3.875,3.875,2.925706624984741
09-03-1973,3.875,0.0,17300,3.875,3.875,2.925706624984741
12-03-1973,3.75,0.0,16000,3.75,3.75,2.8313283920288086
13-03-1973,3.625,0.0,32600,3.625,3.625,2.736950159072876
14-03-1973,3.5,0.0,20400,3.5,3.5,2.642573118209839
15-03-1973,3.375,0.0,57100,3.375,3.375,2.5481953620910645
16-03-1973,3.375,0.0,18900,3.375,3.375,2.5481953620910645
19-03-1973,3.5,0.0,10400,3.5,3.5,2.642573118209839
20-03-1973,3.5,0.0,9400,3.5,3.5,2.642573118209839
21-03-1973,3.5,0.0,5200,3.5,3.5,2.642573118209839
22-03-1973,3.5,0.0,12200,3.5,3.5,2.642573118209839
23-03-1973,3.625,0.0,14600,3.625,3.625,2.736950159072876
26-03-1973,3.75,0.0,23700,3.75,3.75,2.8313283920288086
27-03-1973,3.625,0.0,7800,3.625,3.625,2.736950159072876
28-03-1973,3.625,0.0,5100,3.625,3.625,2.736950159072876
29-03-1973,3.625,0.0,20100,3.625,3.625,2.736950159072876
30-03-1973,3.625,0.0,10000,3.625,3.625,2.736950159072876
02-04-1973,3.625,0.0,22800,3.625,3.625,2.736950159072876
03-04-1973,3.625,0.0,15600,3.625,3.625,2.736950159072876
04-04-1973,3.625,0.0,8700,3.625,3.625,2.736950159072876
05-04-1973,3.75,0.0,24500,3.75,3.75,2.8313283920288086
06-04-1973,3.75,0.0,14000,3.75,3.75,2.8313283920288086
09-04-1973,3.75,0.0,8600,3.75,3.75,2.8313283920288086
10-04-1973,3.875,0.0,10900,3.875,3.875,2.925706624984741
11-04-1973,3.875,0.0,9300,3.875,3.875,2.925706624984741
12-04-1973,3.875,0.0,26100,3.875,3.875,2.925706624984741
13-04-1973,3.875,0.0,8200,3.875,3.875,2.925706624984741
16-04-1973,3.875,0.0,7400,3.875,3.875,2.925706624984741
17-04-1973,4.0,0.0,22500,4.0,4.0,3.0200836658477783
18-04-1973,4.125,0.0,28000,4.125,4.125,3.1144604682922363
19-04-1973,4.125,0.0,17600,4.125,4.125,3.1144604682922363
23-04-1973,4.375,0.0,33800,4.375,4.375,3.3032162189483643
24-04-1973,4.75,0.0,46400,4.75,4.75,3.586348533630371
25-04-1973,4.75,0.0,59700,4.75,4.75,3.586348533630371
26-04-1973,4.625,0.0,21000,4.625,4.625,3.4919705390930176
27-04-1973,4.75,0.0,24400,4.75,4.75,3.586348533630371
30-04-1973,4.75,0.0,12000,4.75,4.75,3.586348533630371
01-05-1973,4.75,0.0,12500,4.75,4.75,3.586348533630371
02-05-1973,4.625,0.0,15800,4.625,4.625,3.4919705390930176
03-05-1973,4.625,0.0,24500,4.875,4.625,3.4919705390930176
04-05-1973,4.625,0.0,15700,4.75,4.625,3.4919705390930176
07-05-1973,4.625,0.0,9200,4.75,4.625,3.4919705390930176
08-05-1973,4.625,0.0,9700,4.875,4.625,3.4919705390930176
09-05-1973,4.875,0.0,16000,5.0,4.875,3.680727243423462
10-05-1973,5.0,0.0,38300,5.25,5.0,3.775103807449341
11-05-1973,5.25,0.0,30700,5.375,5.25,3.9638607501983643
14-05-1973,6.0,0.0,83200,6.25,6.0,4.530124664306641
15-05-1973,5.625,0.0,99200,5.75,5.625,4.2469916343688965
16-05-1973,5.25,0.0,52000,5.5,5.25,3.9638607501983643
17-05-1973,5.5,0.0,25600,5.625,5.5,4.152615547180176
18-05-1973,6.125,0.0,37900,6.375,6.125,4.6245036125183105
21-05-1973,5.75,0.0,71200,6.0,5.75,4.341370582580566
22-05-1973,5.375,0.0,63100,5.625,5.375,4.058236598968506
23-05-1973,5.125,0.0,22600,5.375,5.125,3.8694820404052734
24-05-1973,4.75,0.0,28900,5.0,4.75,3.586348533630371
25-05-1973,4.625,0.0,33100,4.875,4.625,3.4919705390930176
29-05-1973,5.375,0.0,32000,5.625,5.375,4.058236598968506
30-05-1973,5.875,0.0,27900,6.125,5.875,4.435745716094971
31-05-1973,5.5,0.0,43400,5.75,5.5,4.152615547180176
01-06-1973,5.5,0.0,41000,5.75,5.5,4.152615547180176
04-06-1973,5.375,0.0,35500,5.625,5.375,4.058236598968506
05-06-1973,5.0,0.0,37900,5.25,5.0,3.775103807449341
06-06-1973,4.875,0.0,37300,5.125,4.875,3.680727243423462
07-06-1973,4.75,0.0,35500,5.0,4.75,3.586348533630371
08-06-1973,4.875,0.0,14700,5.125,4.875,3.680727243423462
11-06-1973,5.125,0.0,20300,5.375,5.125,3.8694820404052734
12-06-1973,5.125,0.0,21600,5.375,5.125,3.8694820404052734
13-06-1973,5.125,0.0,16400,5.375,5.125,3.8694820404052734
14-06-1973,5.75,0.0,36900,6.0,5.75,4.341370582580566
15-06-1973,5.625,0.0,26700,5.875,5.625,4.2469916343688965
18-06-1973,5.75,0.0,15700,6.0,5.75,4.341370582580566
19-06-1973,5.375,0.0,25800,5.625,5.375,4.058236598968506
20-06-1973,5.5,0.0,13300,5.75,5.5,4.152615547180176
21-06-1973,5.75,0.0,20200,6.0,5.75,4.341370582580566
22-06-1973,5.375,0.0,22300,5.625,5.375,4.058236598968506
25-06-1973,5.875,0.0,31900,6.125,5.875,4.435745716094971
26-06-1973,5.875,0.0,27000,6.125,5.875,4.435745716094971
27-06-1973,5.875,0.0,24000,6.125,5.875,4.435745716094971
28-06-1973,5.75,0.0,22400,6.0,5.75,4.341370582580566
29-06-1973,5.875,0.0,25000,6.125,5.875,4.435745716094971
02-07-1973,6.0,0.0,33300,6.25,6.0,4.530124664306641
03-07-1973,5.875,0.0,54400,6.125,5.875,4.435745716094971
05-07-1973,6.0,0.0,30100,6.25,6.0,4.530124664306641
06-07-1973,6.375,0.0,74100,6.625,6.375,4.813259124755859
09-07-1973,6.375,0.0,50300,6.625,6.375,4.813259124755859
10-07-1973,6.0,0.0,48800,6.25,6.0,4.530124664306641
11-07-1973,6.0,0.0,41600,6.25,6.0,4.530124664306641
12-07-1973,6.0,0.0,23100,6.25,6.0,4.530124664306641
13-07-1973,6.125,0.0,23000,6.375,6.125,4.6245036125183105
16-07-1973,6.125,0.0,17400,6.375,6.125,4.6245036125183105
17-07-1973,6.375,0.0,29300,6.625,6.375,4.813259124755859
18-07-1973,6.25,0.0,23500,6.5,6.25,4.718881607055664
19-07-1973,6.0,0.0,37900,6.25,6.0,4.530124664306641
20-07-1973,6.25,0.0,16600,6.5,6.25,4.718881607055664
23-07-1973,6.25,0.0,16700,6.5,6.25,4.718881607055664
24-07-1973,6.25,0.0,23000,6.5,6.25,4.718881607055664
25-07-1973,6.25,0.0,9200,6.5,6.25,4.718881607055664
26-07-1973,6.125,0.0,13500,6.375,6.125,4.6245036125183105
27-07-1973,6.125,0.0,5900,6.375,6.125,4.6245036125183105
30-07-1973,5.875,0.0,18500,6.125,5.875,4.435745716094971
31-07-1973,6.0,0.0,10500,6.25,6.0,4.530124664306641
01-08-1973,6.0,0.0,13400,6.25,6.0,4.530124664306641
02-08-1973,5.875,0.0,9000,6.125,5.875,4.435745716094971
03-08-1973,5.875,0.0,5900,6.125,5.875,4.435745716094971
06-08-1973,5.5,0.0,28200,5.75,5.5,4.152615547180176
07-08-1973,5.375,0.0,15500,5.625,5.375,4.058236598968506
08-08-1973,5.25,0.0,11000,5.5,5.25,3.9638607501983643
09-08-1973,5.0,0.0,34500,5.25,5.0,3.775103807449341
10-08-1973,4.875,0.0,15300,5.125,4.875,3.680727243423462
13-08-1973,4.875,0.0,13300,5.125,4.875,3.680727243423462
14-08-1973,4.625,0.0,42700,4.875,4.625,3.4919705390930176
15-08-1973,4.75,0.0,36000,5.0,4.75,3.586348533630371
16-08-1973,5.0,0.0,39500,5.25,5.0,3.775103807449341
17-08-1973,5.125,0.0,15300,5.375,5.125,3.8694820404052734
20-08-1973,5.25,0.0,19500,5.5,5.25,3.9638607501983643
21-08-1973,5.125,0.0,20100,5.375,5.125,3.8694820404052734
22-08-1973,4.875,0.0,15400,5.125,4.875,3.680727243423462
23-08-1973,4.75,0.0,8300,5.0,4.75,3.586348533630371
24-08-1973,5.0,0.0,11600,5.25,5.0,3.775103807449341
27-08-1973,5.0,0.0,11800,5.25,5.0,3.775103807449341
28-08-1973,5.0,0.0,5900,5.25,5.0,3.775103807449341
29-08-1973,5.25,0.0,19700,5.5,5.25,3.9638607501983643
30-08-1973,5.25,0.0,6300,5.5,5.25,3.9638607501983643
31-08-1973,5.25,0.0,21800,5.5,5.25,3.9638607501983643
04-09-1973,5.375,0.0,11300,5.625,5.375,4.058236598968506
05-09-1973,5.5,0.0,13800,5.75,5.5,4.152615547180176
06-09-1973,5.75,0.0,12200,6.0,5.75,4.341370582580566
07-09-1973,5.625,0.0,14100,5.875,5.625,4.2469916343688965
10-09-1973,5.625,0.0,6900,5.875,5.625,4.2469916343688965
11-09-1973,5.625,0.0,10700,5.875,5.625,4.2469916343688965
12-09-1973,5.5,0.0,5700,5.75,5.5,4.152615547180176
13-09-1973,5.5,0.0,3400,5.75,5.5,4.152615547180176
14-09-1973,5.375,0.0,9200,5.625,5.375,4.058236598968506
17-09-1973,5.375,0.0,13900,5.625,5.375,4.058236598968506
18-09-1973,5.375,0.0,14900,5.625,5.375,4.058236598968506
19-09-1973,5.25,0.0,11600,5.5,5.25,3.9638607501983643
20-09-1973,5.25,0.0,25900,5.5,5.25,3.9638607501983643
21-09-1973,5.0,0.0,39900,5.25,5.0,3.775103807449341
24-09-1973,5.0,0.0,9700,5.25,5.0,3.775103807449341
25-09-1973,4.75,0.0,26200,5.0,4.75,3.586348533630371
26-09-1973,4.875,0.0,17600,5.125,4.875,3.680727243423462
27-09-1973,4.875,0.0,12500,5.125,4.875,3.680727243423462
28-09-1973,4.875,0.0,20100,5.125,4.875,3.680727243423462
01-10-1973,4.75,0.0,2900,5.0,4.75,3.586348533630371
02-10-1973,4.875,0.0,14400,5.125,4.875,3.680727243423462
03-10-1973,4.875,0.0,12500,5.125,4.875,3.680727243423462
04-10-1973,4.875,0.0,7800,5.125,4.875,3.680727243423462
05-10-1973,4.875,0.0,8200,5.125,4.875,3.680727243423462
08-10-1973,4.875,0.0,8900,5.125,4.875,3.680727243423462
09-10-1973,5.0,0.0,12100,5.25,5.0,3.775103807449341
10-10-1973,5.625,0.0,38300,5.875,5.625,4.2469916343688965
11-10-1973,5.5,0.0,31600,5.75,5.5,4.152615547180176
12-10-1973,5.375,0.0,24200,5.625,5.375,4.058236598968506
15-10-1973,5.375,0.0,25400,5.625,5.375,4.058236598968506
16-10-1973,5.125,0.0,27200,5.375,5.125,3.8694820404052734
17-10-1973,5.25,0.0,16700,5.5,5.25,3.9638607501983643
18-10-1973,5.25,0.0,13000,5.5,5.25,3.9638607501983643
19-10-1973,5.0,0.0,15900,5.25,5.0,3.775103807449341
22-10-1973,5.125,0.0,17200,5.375,5.125,3.8694820404052734
23-10-1973,5.375,0.0,31100,5.625,5.375,4.058236598968506
24-10-1973,5.25,0.0,14100,5.5,5.25,3.9638607501983643
25-10-1973,5.375,0.0,8300,5.625,5.375,4.058236598968506
26-10-1973,5.375,0.0,6500,5.625,5.375,4.058236598968506
29-10-1973,5.375,0.0,8900,5.625,5.375,4.058236598968506
30-10-1973,5.375,0.0,11300,5.625,5.375,4.058236598968506
31-10-1973,5.5,0.0,10600,5.75,5.5,4.152615547180176
01-11-1973,5.75,0.0,16300,6.0,5.75,4.341370582580566
02-11-1973,6.0,0.0,10200,6.25,6.0,4.530124664306641
05-11-1973,6.0,0.0,15800,6.25,6.0,4.530124664306641
06-11-1973,6.0,0.0,16200,6.25,6.0,4.530124664306641
07-11-1973,5.875,0.0,15500,6.125,5.875,4.435745716094971
08-11-1973,5.875,0.0,17800,6.125,5.875,4.435745716094971
09-11-1973,5.875,0.0,18100,6.125,5.875,4.435745716094971
12-11-1973,5.875,0.0,13200,6.125,5.875,4.435745716094971
13-11-1973,5.75,0.0,14700,6.0,5.75,4.341370582580566
14-11-1973,5.0,0.0,79700,5.25,5.0,3.775103807449341
15-11-1973,4.875,0.0,43800,5.125,4.875,3.680727243423462
16-11-1973,5.0,0.0,18300,5.25,5.0,3.775103807449341
19-11-1973,5.25,0.0,20300,5.5,5.25,3.9638607501983643
20-11-1973,5.375,0.0,15600,5.625,5.375,4.058236598968506
21-11-1973,5.375,0.0,10500,5.625,5.375,4.058236598968506
23-11-1973,5.5,0.0,17000,5.75,5.5,4.152615547180176
26-11-1973,5.625,0.0,14000,5.875,5.625,4.2469916343688965
27-11-1973,5.75,0.0,23000,6.0,5.75,4.341370582580566
28-11-1973,6.375,0.0,39600,6.625,6.375,4.813259124755859
29-11-1973,6.375,0.0,56500,6.625,6.375,4.813259124755859
30-11-1973,6.5,0.0,28700,6.75,6.5,4.907634735107422
03-12-1973,6.375,0.0,22900,6.625,6.375,4.813259124755859
04-12-1973,6.625,0.0,19200,6.875,6.625,5.00201416015625
05-12-1973,6.75,0.0,28900,7.0,6.75,5.096390724182129
06-12-1973,6.5,0.0,16700,6.75,6.5,4.907634735107422
07-12-1973,6.625,0.0,11900,6.875,6.625,5.00201416015625
10-12-1973,6.5,0.0,11700,6.75,6.5,4.907634735107422
11-12-1973,6.5,0.0,16100,6.75,6.5,4.907634735107422
12-12-1973,6.625,0.0,18700,6.875,6.625,5.00201416015625
13-12-1973,6.875,0.0,14800,7.125,6.875,5.190770149230957
14-12-1973,6.625,0.0,24100,6.875,6.625,5.00201416015625
17-12-1973,6.75,0.0,12400,7.0,6.75,5.096390724182129
18-12-1973,6.75,0.0,14400,7.0,6.75,5.096390724182129
19-12-1973,6.625,0.0,30200,6.875,6.625,5.00201416015625
20-12-1973,6.5,0.0,9700,6.75,6.5,4.907634735107422
21-12-1973,6.375,0.0,29300,6.625,6.375,4.813259124755859
