Date,Low,Open,Volume,High,Close,Adjusted Close
07-07-1994,9.0,9.0,572400,9.375,9.3125,3.0224123001098633
08-07-1994,9.1875,9.4375,109200,9.4375,9.1875,2.981842517852783
11-07-1994,9.0,9.125,149200,9.125,9.0,2.920987129211426
12-07-1994,9.0,9.125,72400,9.125,9.125,2.9615578651428223
13-07-1994,9.0625,9.125,192000,9.1875,9.1875,2.981842517852783
14-07-1994,9.125,9.125,106800,9.3125,9.25,3.0021276473999023
15-07-1994,9.0625,9.125,151400,9.1875,9.0625,2.9412736892700195
18-07-1994,9.0625,9.0625,62800,9.1875,9.0625,2.9412736892700195
19-07-1994,9.0625,9.125,49800,9.1875,9.125,2.9615578651428223
20-07-1994,9.0,9.125,212200,9.125,9.0625,2.9412736892700195
21-07-1994,9.0,9.0,18800,9.0625,9.0,2.920987129211426
22-07-1994,9.0,9.0625,194600,9.0625,9.0,2.920987129211426
25-07-1994,9.0,9.0,77800,9.0,9.0,2.920987129211426
26-07-1994,8.9375,8.9375,24000,9.0,8.9375,2.909109354019165
27-07-1994,9.0,9.0,11200,9.0,9.0,2.9294519424438477
28-07-1994,9.0625,9.0625,198600,9.25,9.0625,2.949794292449951
29-07-1994,9.1875,9.1875,270800,9.3125,9.25,3.010823965072632
01-08-1994,9.1875,9.25,220600,9.375,9.375,3.0515127182006836
02-08-1994,9.375,9.375,174400,9.6875,9.5,3.0921974182128906
03-08-1994,9.5625,9.5625,278600,9.875,9.6875,3.153228521347046
04-08-1994,9.6875,9.75,121000,9.875,9.75,3.1735711097717285
05-08-1994,9.625,9.75,134400,9.75,9.6875,3.153228521347046
08-08-1994,9.6875,9.6875,88400,9.875,9.875,3.214258909225464
09-08-1994,9.625,9.875,521800,10.0,9.75,3.1735711097717285
10-08-1994,9.625,9.8125,323200,10.125,10.125,3.295632839202881
11-08-1994,10.1875,10.25,359000,10.75,10.3125,3.356663465499878
12-08-1994,10.375,10.375,100000,10.875,10.875,3.5397536754608154
15-08-1994,10.875,11.125,53400,11.125,11.125,3.6211259365081787
16-08-1994,11.0,11.25,181800,11.25,11.125,3.6211259365081787
17-08-1994,11.1875,11.1875,230600,11.625,11.4375,3.7228455543518066
18-08-1994,11.5,11.5,131200,11.8125,11.8125,3.8449056148529053
19-08-1994,11.75,11.75,212400,12.75,12.75,4.1500563621521
22-08-1994,11.9375,12.875,215200,13.25,12.25,3.987309455871582
23-08-1994,12.1875,12.375,85800,12.5,12.25,3.987309455871582
24-08-1994,12.0625,12.375,88200,12.375,12.3125,4.007655143737793
25-08-1994,12.125,12.3125,190000,12.3125,12.1875,3.966963768005371
26-08-1994,12.1875,12.3125,103800,12.3125,12.1875,3.966963768005371
29-08-1994,12.1875,12.1875,231000,12.625,12.5,4.0686821937561035
30-08-1994,12.125,12.5,186600,12.5,12.1875,3.966963768005371
31-08-1994,12.25,12.25,76800,12.4375,12.4375,4.048341274261475
01-09-1994,12.3125,12.3125,99800,12.4375,12.4375,4.048341274261475
02-09-1994,12.3125,12.3125,269400,12.625,12.5625,4.089025974273682
06-09-1994,12.5,12.5625,6000,12.625,12.5625,4.089025974273682
07-09-1994,12.4375,12.625,97200,12.625,12.4375,4.048341274261475
08-09-1994,12.3125,12.3125,9400,12.4375,12.4375,4.048341274261475
09-09-1994,12.1875,12.4375,19000,12.4375,12.25,3.987309455871582
12-09-1994,12.0,12.125,78000,12.125,12.0625,3.9262800216674805
13-09-1994,11.5,12.0,110400,12.0,11.625,3.783876419067383
14-09-1994,11.5,11.5,50800,12.0625,12.0625,3.9262800216674805
15-09-1994,11.9375,11.9375,22800,12.1875,12.0,3.9059336185455322
16-09-1994,11.875,11.875,34600,12.0625,11.9375,3.8855929374694824
19-09-1994,11.75,11.875,11400,11.9375,11.75,3.824558734893799
20-09-1994,11.6875,11.75,37800,11.75,11.6875,3.80421781539917
21-09-1994,11.75,11.75,27000,11.8125,11.8125,3.8449056148529053
22-09-1994,11.6875,11.6875,4600,11.6875,11.6875,3.80421781539917
23-09-1994,11.6875,11.6875,1400,11.75,11.6875,3.80421781539917
26-09-1994,11.6875,11.75,15200,11.75,11.6875,3.80421781539917
27-09-1994,11.6875,11.6875,0,11.6875,11.6875,3.80421781539917
28-09-1994,11.75,11.75,34400,12.125,12.0,3.9059336185455322
29-09-1994,12.0625,12.125,19000,12.1875,12.125,3.946622133255005
30-09-1994,12.0625,12.0625,22400,12.25,12.25,3.987309455871582
03-10-1994,12.1875,12.3125,23400,12.3125,12.3125,4.007655143737793
04-10-1994,12.375,12.375,288400,12.625,12.375,4.0279974937438965
05-10-1994,12.3125,12.375,41400,12.4375,12.4375,4.048341274261475
06-10-1994,12.3125,12.4375,84400,12.5,12.3125,4.007655143737793
07-10-1994,12.125,12.25,87600,12.375,12.1875,3.966963768005371
10-10-1994,12.25,12.25,84400,12.4375,12.4375,4.048341274261475
11-10-1994,12.1875,12.3125,61200,12.3125,12.25,3.987309455871582
12-10-1994,12.25,12.25,141000,12.625,12.4375,4.048341274261475
13-10-1994,12.25,12.5,35000,12.5,12.25,3.9956626892089844
14-10-1994,12.25,12.375,39600,12.5,12.25,3.9956626892089844
17-10-1994,12.1875,12.375,28200,12.375,12.25,3.9956626892089844
18-10-1994,12.0625,12.1875,52200,12.25,12.125,3.9548897743225098
19-10-1994,12.125,12.125,76600,12.25,12.1875,3.975273609161377
20-10-1994,12.1875,12.3125,73400,12.3125,12.3125,4.016049861907959
21-10-1994,12.3125,12.3125,17800,12.375,12.375,4.036435127258301
24-10-1994,12.375,12.375,30000,12.5,12.5,4.077205181121826
25-10-1994,12.4375,12.5,75000,12.5625,12.4375,4.056820869445801
26-10-1994,12.5,12.5,67000,13.0625,13.0,4.240293979644775
27-10-1994,13.0,13.0,37600,13.5,13.25,4.321839809417725
28-10-1994,13.25,13.25,46200,13.75,13.625,4.444156169891357
31-10-1994,13.75,13.75,26800,14.0,13.8125,4.505311489105225
01-11-1994,13.625,13.875,134400,13.9375,13.6875,4.464540004730225
