Date,Low,Open,Volume,High,Close,Adjusted Close
27-05-1993,19.625,20.25,2838900,20.25,19.625,4.180529594421387
28-05-1993,19.5,19.625,603100,19.875,19.75,4.207157611846924
01-06-1993,19.5,19.625,455200,19.625,19.5,4.153902530670166
02-06-1993,19.5,19.5,616400,20.375,20.375,4.3402934074401855
03-06-1993,19.75,20.25,216900,20.25,19.75,4.207157611846924
04-06-1993,19.625,19.75,58600,19.875,19.75,4.207157611846924
07-06-1993,19.5,19.75,148400,19.75,19.5,4.153902530670166
08-06-1993,19.5,19.5,169800,19.625,19.5,4.153902530670166
09-06-1993,19.5,19.5,225800,19.75,19.625,4.180529594421387
10-06-1993,19.5,19.75,78000,19.75,19.625,4.180529594421387
11-06-1993,19.5,19.625,109400,19.625,19.5,4.153902530670166
14-06-1993,19.5,19.5,72600,19.625,19.5,4.153902530670166
15-06-1993,19.5,19.5,38600,19.625,19.5,4.153902530670166
16-06-1993,19.5,19.5,109700,19.625,19.5,4.153902530670166
17-06-1993,19.5,19.625,86600,19.625,19.5,4.153902530670166
18-06-1993,19.5,19.625,96100,19.625,19.5,4.153902530670166
21-06-1993,19.5,19.625,61400,19.625,19.625,4.180529594421387
22-06-1993,19.5,19.5,64700,19.625,19.5,4.153902530670166
23-06-1993,19.5,19.5,36900,19.625,19.5,4.153902530670166
24-06-1993,19.5,19.625,62900,19.75,19.5,4.153902530670166
25-06-1993,19.5,19.5,17900,19.625,19.5,4.153902530670166
28-06-1993,19.5,19.5,61700,20.125,20.0,4.260411739349365
29-06-1993,19.75,20.0,47600,20.125,19.75,4.207157611846924
30-06-1993,19.75,19.875,99500,20.125,20.125,4.2870378494262695
01-07-1993,20.0,20.0,27400,20.125,20.0,4.260411739349365
02-07-1993,20.0,20.125,46300,20.125,20.125,4.2870378494262695
06-07-1993,19.75,20.0,96600,20.125,19.75,4.230278015136719
07-07-1993,19.625,19.625,11500,19.75,19.625,4.20350456237793
08-07-1993,19.625,19.625,14100,19.75,19.75,4.230278015136719
09-07-1993,19.5,19.75,41300,19.875,19.5,4.176729679107666
12-07-1993,19.5,19.5,20900,19.75,19.5,4.176729679107666
13-07-1993,19.625,19.625,8700,19.75,19.75,4.230278015136719
14-07-1993,19.5,19.625,47600,19.75,19.5,4.176729679107666
15-07-1993,19.5,19.5,102900,19.875,19.5,4.176729679107666
16-07-1993,19.5,19.625,16300,19.625,19.625,4.20350456237793
19-07-1993,19.5,19.625,193700,19.625,19.625,4.20350456237793
20-07-1993,19.625,19.625,83100,19.75,19.75,4.230278015136719
21-07-1993,19.625,19.875,32000,19.875,19.625,4.20350456237793
22-07-1993,19.625,19.625,40700,19.625,19.625,4.20350456237793
23-07-1993,19.625,19.625,33700,19.75,19.625,4.20350456237793
26-07-1993,19.5,19.625,7400,19.625,19.5,4.176729679107666
27-07-1993,19.5,19.5,150100,19.625,19.5,4.176729679107666
28-07-1993,19.5,19.5,73000,19.625,19.5,4.176729679107666
29-07-1993,19.5,19.5,183900,19.625,19.625,4.20350456237793
30-07-1993,19.5,19.625,107300,19.625,19.625,4.20350456237793
02-08-1993,19.5,19.625,7500,19.625,19.5,4.176729679107666
03-08-1993,19.5,19.5,22700,19.625,19.5,4.176729679107666
04-08-1993,19.5,19.5,37600,19.625,19.625,4.20350456237793
05-08-1993,19.5,19.5,86200,19.625,19.5,4.176729679107666
06-08-1993,19.5,19.5,128200,19.5,19.5,4.176729679107666
09-08-1993,19.375,19.5,660600,19.625,19.375,4.149956703186035
10-08-1993,18.5,19.0,106700,19.0,18.5,3.9625396728515625
11-08-1993,18.5,18.5,109100,19.0,19.0,4.069636344909668
12-08-1993,19.0,19.0,51700,19.125,19.0,4.069636344909668
13-08-1993,18.5,18.875,33600,18.875,18.875,4.042862892150879
16-08-1993,18.5,19.0,53300,19.0,18.5,3.9625396728515625
17-08-1993,18.25,18.625,32000,18.75,18.5,3.9625396728515625
18-08-1993,18.375,18.5,186200,18.625,18.5,3.9625396728515625
19-08-1993,18.25,18.375,32400,18.375,18.375,3.9357645511627197
