Date,Low,Open,Volume,High,Close,Adjusted Close
28-05-1997,20.625,20.625,1862700,21.375,21.0,8.792837142944336
29-05-1997,21.0,21.0,296800,21.375,21.375,8.949851036071777
30-05-1997,21.125,21.125,220400,22.125,22.0,9.211545944213867
02-06-1997,21.5,22.125,66800,22.25,22.0,9.211545944213867
03-06-1997,21.625,21.75,180000,22.125,22.125,9.26388168334961
04-06-1997,21.75,22.25,99900,22.25,21.875,9.15920352935791
05-06-1997,21.25,21.5,291600,21.875,21.875,9.15920352935791
06-06-1997,21.5,21.5,0,21.5,21.5,9.002190589904785
09-06-1997,21.5,21.5,0,21.5,21.5,9.002190589904785
10-06-1997,21.5,21.5,57600,21.75,21.75,9.1068696975708
11-06-1997,21.125,21.375,146600,21.625,21.25,8.897514343261719
12-06-1997,21.125,21.25,73300,21.625,21.375,8.949851036071777
13-06-1997,21.25,21.25,134200,21.375,21.25,8.897514343261719
16-06-1997,21.25,21.25,73200,21.625,21.625,9.054529190063477
17-06-1997,21.375,21.375,53300,21.5,21.375,8.949851036071777
18-06-1997,21.375,21.5,54100,21.625,21.5,9.002190589904785
19-06-1997,21.5,21.5,44100,21.625,21.5,9.002190589904785
20-06-1997,21.5,21.5,37800,21.75,21.625,9.054529190063477
23-06-1997,21.375,21.625,80800,21.875,21.375,8.949851036071777
24-06-1997,21.25,21.5,116000,21.5,21.5,9.002190589904785
25-06-1997,21.25,21.5,127400,21.625,21.625,9.054529190063477
26-06-1997,21.5,21.625,52100,21.75,21.625,9.054529190063477
27-06-1997,21.375,21.5,44500,21.875,21.75,9.1068696975708
30-06-1997,21.375,21.75,60300,21.875,21.875,9.15920352935791
01-07-1997,21.625,21.625,121300,22.625,22.5,9.420894622802734
02-07-1997,22.125,22.5,77300,22.5,22.5,9.420894622802734
03-07-1997,22.375,22.625,46000,22.75,22.75,9.525572776794434
07-07-1997,22.625,22.75,122200,23.0,22.75,9.525572776794434
08-07-1997,22.375,22.75,50400,22.75,22.75,9.525572776794434
09-07-1997,22.5,22.75,97000,22.875,22.75,9.525572776794434
10-07-1997,22.625,22.75,99000,22.875,22.75,9.525572776794434
11-07-1997,22.25,22.75,136100,22.875,22.875,9.577916145324707
14-07-1997,22.875,22.875,106600,23.875,23.5,9.839604377746582
15-07-1997,23.25,23.25,85400,24.0,23.75,9.944281578063965
16-07-1997,23.75,24.0,68800,24.25,24.0,10.048956871032715
17-07-1997,23.625,23.75,53000,24.125,23.875,9.99661636352539
18-07-1997,23.75,23.75,126500,23.875,23.875,9.99661636352539
21-07-1997,23.75,23.875,111800,24.0,24.0,10.048956871032715
22-07-1997,23.75,24.0,38800,24.0,24.0,10.048956871032715
23-07-1997,23.875,24.0,180000,24.25,24.25,10.15363883972168
24-07-1997,24.0,24.0,47600,24.125,24.0,10.048956871032715
25-07-1997,24.0,24.125,25500,24.25,24.25,10.15363883972168
28-07-1997,24.125,24.25,96800,24.5,24.25,10.15363883972168
29-07-1997,24.0,24.25,19900,24.375,24.375,10.205975532531738
30-07-1997,24.375,24.375,59600,24.625,24.5,10.258312225341797
31-07-1997,24.625,24.625,83500,25.0,24.625,10.310647964477539
01-08-1997,24.625,24.75,18700,25.0,24.75,10.362988471984863
04-08-1997,24.625,24.625,25700,25.75,25.75,10.781694412231445
05-08-1997,24.875,25.625,393700,25.625,25.5,10.677016258239746
06-08-1997,25.25,25.5,59700,25.5,25.375,10.62468147277832
07-08-1997,25.5,25.625,23800,25.75,25.5,10.677016258239746
08-08-1997,25.375,25.5,25500,26.0,26.0,10.886369705200195
11-08-1997,25.625,26.125,9600,26.125,25.625,10.729354858398438
12-08-1997,25.5,25.75,44600,25.875,25.5,10.677016258239746
13-08-1997,25.5,25.5,47300,25.75,25.5,10.677016258239746
14-08-1997,25.5,25.5,8800,25.875,25.625,10.729354858398438
15-08-1997,25.5,25.5,2800,25.5,25.5,10.677016258239746
18-08-1997,25.5,25.5,4900,25.625,25.5,10.677016258239746
19-08-1997,25.5,25.5,22600,26.125,26.0,10.886369705200195
20-08-1997,26.0,26.0,68800,26.125,26.0,10.886369705200195
21-08-1997,26.0,26.125,43200,26.25,26.0,10.886369705200195
