Date,Low,Open,Volume,High,Close,Adjusted Close
22-07-1988,10.0,0.0,621100,10.0,10.0,0.7405353784561157
25-07-1988,10.0,10.0,163300,10.0,10.0,0.7405353784561157
26-07-1988,10.0,10.0,93600,10.0,10.0,0.7405353784561157
27-07-1988,10.0,10.0,35000,10.0,10.0,0.7405353784561157
28-07-1988,10.0,10.0,236600,10.0,10.0,0.7405353784561157
29-07-1988,10.0,10.0,12400,10.0,10.0,0.7405353784561157
01-08-1988,10.0,10.0,38200,10.0,10.0,0.7405353784561157
02-08-1988,10.0,10.0,114000,10.125,10.0,0.7405353784561157
03-08-1988,10.0,10.0,22800,10.0,10.0,0.7405353784561157
04-08-1988,10.0,10.0,17300,10.0,10.0,0.7405353784561157
05-08-1988,10.0,10.0,47900,10.0,10.0,0.7405353784561157
08-08-1988,10.0,10.0,104600,10.0,10.0,0.7405353784561157
09-08-1988,10.0,10.0,65700,10.0,10.0,0.7405353784561157
10-08-1988,10.0,10.0,107500,10.0,10.0,0.7405353784561157
11-08-1988,10.0,10.0,93100,10.0,10.0,0.7405353784561157
12-08-1988,10.0,10.0,85000,10.0,10.0,0.7405353784561157
15-08-1988,10.0,10.0,50600,10.0,10.0,0.7405353784561157
16-08-1988,10.0,10.0,155800,10.0,10.0,0.7405353784561157
17-08-1988,10.0,10.0,268700,10.125,10.0,0.7405353784561157
18-08-1988,10.0,10.0,54100,10.125,10.0,0.7405353784561157
19-08-1988,10.0,10.0,53000,10.0,10.0,0.7405353784561157
22-08-1988,10.0,10.0,71500,10.0,10.0,0.7405353784561157
23-08-1988,10.0,10.0,3201100,10.0,10.0,0.7405353784561157
24-08-1988,10.0,10.0,1145200,10.0,10.0,0.7405353784561157
25-08-1988,10.0,10.0,813800,10.0,10.0,0.7405353784561157
26-08-1988,10.0,10.0,541800,10.0,10.0,0.7405353784561157
29-08-1988,10.0,10.0,213900,10.0,10.0,0.7405353784561157
30-08-1988,10.0,10.0,260600,10.0,10.0,0.7405353784561157
31-08-1988,10.0,10.0,287800,10.0,10.0,0.7405353784561157
01-09-1988,10.0,10.0,132400,10.0,10.0,0.7405353784561157
02-09-1988,10.0,10.0,72800,10.0,10.0,0.7405353784561157
06-09-1988,9.875,10.0,167700,10.0,9.875,0.7312784790992737
07-09-1988,9.875,9.875,85100,10.0,9.875,0.7312784790992737
08-09-1988,9.875,9.875,69200,10.0,9.875,0.7312784790992737
09-09-1988,9.875,9.875,80900,10.0,9.875,0.7312784790992737
12-09-1988,9.875,9.875,28600,10.0,9.875,0.7312784790992737
13-09-1988,9.875,9.875,57900,10.0,9.875,0.7312784790992737
14-09-1988,9.875,9.875,86000,10.0,9.875,0.7312784790992737
15-09-1988,9.875,10.0,129500,10.0,9.875,0.7312784790992737
16-09-1988,9.875,9.875,93800,10.0,10.0,0.7474995851516724
19-09-1988,9.75,9.875,101000,10.0,9.75,0.7288125157356262
20-09-1988,9.75,9.75,63300,9.875,9.75,0.7288125157356262
21-09-1988,9.75,9.75,102100,9.875,9.75,0.7288125157356262
22-09-1988,9.75,9.75,87300,9.875,9.75,0.7288125157356262
23-09-1988,9.75,9.75,128900,9.875,9.875,0.7381559014320374
26-09-1988,9.75,9.75,62700,9.875,9.75,0.7288125157356262
27-09-1988,9.75,9.75,30400,9.875,9.75,0.7288125157356262
28-09-1988,9.75,9.75,191300,10.0,9.875,0.7381559014320374
29-09-1988,9.875,9.875,59500,10.0,9.875,0.7381559014320374
30-09-1988,9.875,9.875,92100,10.0,9.875,0.7381559014320374
03-10-1988,9.875,9.875,63200,10.0,9.875,0.7381559014320374
04-10-1988,9.875,10.0,79400,10.0,9.875,0.7381559014320374
05-10-1988,9.875,9.875,56100,10.0,9.875,0.7381559014320374
06-10-1988,9.875,9.875,44400,10.0,9.875,0.7381559014320374
07-10-1988,9.75,9.75,41400,10.0,9.875,0.7450972199440002
10-10-1988,9.875,9.875,109600,10.0,9.875,0.7450972199440002
11-10-1988,9.875,10.0,51400,10.0,10.0,0.7545292973518372
12-10-1988,9.875,9.875,103100,10.0,10.0,0.7545292973518372
13-10-1988,9.875,9.875,82600,10.0,9.875,0.7450972199440002
14-10-1988,9.875,10.0,60100,10.0,10.0,0.7545292973518372
17-10-1988,9.875,9.875,74900,10.0,10.0,0.7545292973518372
18-10-1988,9.875,9.875,101400,10.0,10.0,0.7545292973518372
19-10-1988,9.875,9.875,78800,10.0,9.875,0.7450972199440002
20-10-1988,9.875,9.875,65700,10.0,9.875,0.7450972199440002
21-10-1988,9.875,10.0,102500,10.0,9.875,0.7450972199440002
24-10-1988,9.875,10.0,114600,10.0,10.0,0.7545292973518372
25-10-1988,9.875,10.0,130600,10.0,9.875,0.7450972199440002
26-10-1988,9.875,10.0,97400,10.0,9.875,0.7450972199440002
27-10-1988,9.875,10.0,76500,10.0,10.0,0.7545292973518372
28-10-1988,9.875,10.0,83800,10.125,10.0,0.7545292973518372
31-10-1988,9.875,10.0,106100,10.0,10.0,0.7545292973518372
01-11-1988,9.875,10.0,73800,10.0,9.875,0.7450972199440002
02-11-1988,9.875,10.0,54000,10.0,9.875,0.7450972199440002
03-11-1988,9.875,9.875,108100,10.0,9.875,0.7450972199440002
04-11-1988,9.875,9.875,80600,10.0,9.875,0.7450972199440002
07-11-1988,9.875,10.0,80200,10.0,10.0,0.7545292973518372
08-11-1988,9.875,9.875,125800,10.0,9.875,0.752016007900238
09-11-1988,9.875,9.875,62500,10.0,9.875,0.752016007900238
10-11-1988,9.875,10.0,95800,10.0,10.0,0.7615357637405396
11-11-1988,9.875,10.0,67900,10.0,10.0,0.7615357637405396
14-11-1988,9.875,10.0,116900,10.0,9.875,0.752016007900238
15-11-1988,9.875,9.875,119600,10.0,10.0,0.7615357637405396
16-11-1988,9.875,9.875,99800,10.0,9.875,0.752016007900238
17-11-1988,9.75,10.0,81300,10.0,9.875,0.752016007900238
18-11-1988,9.75,9.875,56600,9.875,9.75,0.7424965500831604
21-11-1988,9.75,9.75,48200,9.875,9.875,0.752016007900238
22-11-1988,9.625,9.75,60400,9.875,9.75,0.7424965500831604
23-11-1988,9.625,9.75,42600,9.75,9.75,0.7424965500831604
25-11-1988,9.625,9.75,29900,9.75,9.625,0.7329774498939514
28-11-1988,9.625,9.625,72200,9.75,9.625,0.7329774498939514
29-11-1988,9.625,9.75,70600,9.75,9.625,0.7329774498939514
30-11-1988,9.625,9.625,50500,9.75,9.625,0.7329774498939514
01-12-1988,9.625,9.75,59100,9.75,9.625,0.7329774498939514
02-12-1988,9.625,9.75,52500,9.75,9.625,0.7329774498939514
05-12-1988,9.5,9.625,136700,9.75,9.625,0.7329774498939514
06-12-1988,9.625,9.625,43700,9.75,9.625,0.7329774498939514
07-12-1988,9.625,9.625,44300,9.75,9.75,0.7424965500831604
08-12-1988,9.625,9.75,154100,9.75,9.75,0.7424965500831604
09-12-1988,9.375,9.5,81100,9.625,9.5,0.7303493022918701
12-12-1988,9.375,9.5,129800,9.625,9.375,0.7207391262054443
13-12-1988,9.375,9.375,74500,9.5,9.375,0.7207391262054443
14-12-1988,9.25,9.375,83300,9.5,9.25,0.711129903793335
15-12-1988,9.125,9.375,140000,9.375,9.25,0.711129903793335
16-12-1988,9.125,9.125,72300,9.375,9.25,0.711129903793335
19-12-1988,9.25,9.375,90600,9.5,9.375,0.7207391262054443
20-12-1988,9.375,9.375,90600,9.5,9.375,0.7207391262054443
21-12-1988,9.125,9.5,164400,9.5,9.25,0.711129903793335
22-12-1988,9.25,9.25,208200,9.625,9.5,0.7303493022918701
23-12-1988,9.375,9.375,25000,9.5,9.375,0.7207391262054443
27-12-1988,9.25,9.375,51900,9.5,9.375,0.7207391262054443
28-12-1988,9.375,9.375,59700,9.5,9.5,0.7303493022918701
29-12-1988,9.25,9.375,58900,9.375,9.375,0.7207391262054443
30-12-1988,9.375,9.375,85700,9.5,9.5,0.7303493022918701
03-01-1989,9.375,9.5,53600,9.5,9.5,0.7303493022918701
04-01-1989,9.375,9.5,42400,9.5,9.5,0.7303493022918701
05-01-1989,9.375,9.5,76100,9.625,9.5,0.7303493022918701
06-01-1989,9.375,9.625,54800,9.625,9.5,0.7303493022918701
09-01-1989,9.375,9.5,49600,9.625,9.625,0.7399597764015198
10-01-1989,9.375,9.375,72600,9.5,9.5,0.7373974919319153
11-01-1989,9.375,9.375,48000,9.5,9.5,0.7373974919319153
12-01-1989,9.375,9.375,59600,9.5,9.375,0.727695643901825
13-01-1989,9.375,9.5,75800,9.5,9.375,0.727695643901825
16-01-1989,9.25,9.375,125700,9.5,9.25,0.7179924845695496
17-01-1989,9.25,9.25,71900,9.375,9.25,0.7179924845695496
18-01-1989,9.125,9.125,81200,9.25,9.125,0.7082902789115906
19-01-1989,9.125,9.25,81800,9.375,9.125,0.7082902789115906
20-01-1989,9.125,9.125,108100,9.25,9.125,0.7082902789115906
23-01-1989,9.125,9.25,69300,9.25,9.125,0.7082902789115906
24-01-1989,9.125,9.125,109800,9.375,9.25,0.7179924845695496
25-01-1989,9.25,9.25,59000,9.375,9.25,0.7179924845695496
26-01-1989,9.25,9.375,75400,9.5,9.5,0.7373974919319153
27-01-1989,9.375,9.375,53700,9.5,9.375,0.727695643901825
30-01-1989,9.375,9.375,50000,9.5,9.375,0.727695643901825
31-01-1989,9.375,9.375,57300,9.5,9.5,0.7373974919319153
01-02-1989,9.375,9.5,93700,9.625,9.5,0.7373974919319153
02-02-1989,9.375,9.5,52700,9.5,9.5,0.7373974919319153
03-02-1989,9.375,9.375,65900,9.5,9.375,0.727695643901825
06-02-1989,9.375,9.5,41800,9.5,9.5,0.7373974919319153
07-02-1989,9.375,9.5,52100,9.5,9.5,0.7373974919319153
08-02-1989,9.375,9.375,71500,9.5,9.5,0.7373974919319153
09-02-1989,9.375,9.375,62200,9.5,9.5,0.7446088790893555
10-02-1989,9.375,9.5,55700,9.5,9.375,0.7348118424415588
13-02-1989,9.25,9.375,94200,9.5,9.375,0.7348118424415588
14-02-1989,9.25,9.375,80100,9.375,9.375,0.7348118424415588
15-02-1989,9.25,9.25,71100,9.375,9.25,0.7250142693519592
16-02-1989,9.25,9.375,88900,9.375,9.375,0.7348118424415588
17-02-1989,9.25,9.375,62000,9.375,9.25,0.7250142693519592
21-02-1989,9.25,9.375,62400,9.375,9.25,0.7250142693519592
22-02-1989,9.25,9.25,84800,9.375,9.375,0.7348118424415588
23-02-1989,9.25,9.25,44300,9.375,9.25,0.7250142693519592
24-02-1989,9.25,9.25,63500,9.375,9.25,0.7250142693519592
27-02-1989,9.125,9.25,88200,9.25,9.25,0.7250142693519592
28-02-1989,9.125,9.25,87000,9.25,9.25,0.7250142693519592
01-03-1989,9.125,9.25,70100,9.25,9.25,0.7250142693519592
02-03-1989,9.125,9.125,84200,9.25,9.125,0.715217113494873
