Date,Low,Open,Volume,High,Close,Adjusted Close
18-10-1999,10.625,12.0,70700,12.4375,10.625,9.638884544372559
19-10-1999,10.3125,10.875,39300,10.875,10.375,9.41208553314209
20-10-1999,9.9375,10.25,113400,10.25,10.25,9.298691749572754
21-10-1999,10.125,10.1875,82100,10.25,10.1875,9.241990089416504
22-10-1999,10.0625,10.125,74600,11.0,10.8125,9.808981895446777
25-10-1999,10.625,10.875,47900,10.875,10.625,9.638884544372559
26-10-1999,9.0,10.5625,84400,10.5625,9.0,8.164702415466309
27-10-1999,9.0,9.0,57300,9.5,9.375,8.50489616394043
28-10-1999,8.9375,9.3125,38000,9.3125,9.25,8.391499519348145
29-10-1999,9.0,9.3125,103300,9.5,9.5,8.618295669555664
01-11-1999,9.5625,9.625,34700,10.0,10.0,9.071890830993652
02-11-1999,9.75,10.125,145900,10.125,9.75,8.845094680786133
03-11-1999,9.375,9.75,235600,9.75,9.5,8.618295669555664
04-11-1999,9.5,9.5,147900,9.9375,9.625,8.731694221496582
05-11-1999,9.5,9.5625,78700,9.75,9.6875,8.7883939743042
08-11-1999,9.5625,9.6875,33700,10.0,9.9375,9.015190124511719
09-11-1999,9.6875,9.9375,27000,10.0,9.875,8.958492279052734
10-11-1999,9.6875,9.75,64900,10.0,9.75,8.845094680786133
11-11-1999,9.75,10.0625,39600,10.125,9.875,8.958492279052734
12-11-1999,9.875,9.875,20300,10.0,9.9375,9.015190124511719
15-11-1999,10.0,10.1875,47800,10.25,10.25,9.298691749572754
16-11-1999,10.0,10.375,52700,10.375,10.0,9.071890830993652
17-11-1999,10.0,10.0,46100,10.125,10.0625,9.128591537475586
18-11-1999,10.0,10.125,23000,10.1875,10.1875,9.241990089416504
19-11-1999,10.0,10.0625,25600,10.1875,10.0625,9.128591537475586
22-11-1999,10.0,10.125,18900,10.125,10.125,9.18529224395752
23-11-1999,10.125,10.125,45100,10.375,10.1875,9.241990089416504
24-11-1999,10.0625,10.1875,29500,10.375,10.375,9.41208553314209
26-11-1999,10.25,10.3125,6200,10.3125,10.3125,9.355389595031738
29-11-1999,10.0,10.25,87100,10.8125,10.8125,9.808981895446777
30-11-1999,10.5625,10.8125,40600,10.875,10.875,9.865680694580078
01-12-1999,10.9375,10.9375,55100,11.125,11.0,9.979079246520996
02-12-1999,10.75,11.0625,15400,11.1875,11.0625,10.035774230957031
