Date,Low,Open,Volume,High,Close,Adjusted Close
19-03-1993,15.0,15.0,91200,15.0,15.0,1.0392024517059326
22-03-1993,15.0,15.0,8100,15.0,15.0,1.0392024517059326
23-03-1993,15.0,15.0,25000,15.0,15.0,1.0392024517059326
24-03-1993,15.0,15.0,18200,15.0,15.0,1.0392024517059326
25-03-1993,15.0,15.0,7800,15.0,15.0,1.0392024517059326
26-03-1993,15.0,15.0,15100,15.0,15.0,1.0392024517059326
29-03-1993,15.0,15.0,11300,15.0,15.0,1.0392024517059326
30-03-1993,15.0,15.0,43500,15.0,15.0,1.0392024517059326
31-03-1993,15.0,15.0,17600,15.0,15.0,1.0392024517059326
01-04-1993,15.0,15.0,22100,15.125,15.0,1.0392024517059326
02-04-1993,15.0,15.0,12600,15.0,15.0,1.0392024517059326
05-04-1993,15.0,15.125,59800,15.125,15.0,1.0392024517059326
06-04-1993,15.0,15.0,11500,15.125,15.0,1.0392024517059326
07-04-1993,15.0,15.0,17600,15.125,15.125,1.0478633642196655
08-04-1993,15.0,15.125,16800,15.125,15.0,1.0392024517059326
12-04-1993,15.0,15.0,9700,15.125,15.0,1.0392024517059326
13-04-1993,15.0,15.0,5600,15.0,15.0,1.0392024517059326
14-04-1993,15.0,15.125,29000,15.125,15.0,1.0392024517059326
15-04-1993,15.0,15.0,10300,15.125,15.0,1.0392024517059326
16-04-1993,15.0,15.125,18800,15.125,15.0,1.0392024517059326
19-04-1993,15.0,15.0,16000,15.125,15.125,1.0478633642196655
20-04-1993,15.0,15.0,14400,15.125,15.0,1.0392024517059326
21-04-1993,15.0,15.125,5400,15.125,15.0,1.0392024517059326
22-04-1993,15.0,15.0,8400,15.125,15.125,1.0478633642196655
23-04-1993,15.0,15.0,10900,15.125,15.0,1.0392024517059326
26-04-1993,15.0,15.0,12300,15.125,15.0,1.0392024517059326
27-04-1993,15.0,15.125,18600,15.125,15.0,1.0392024517059326
28-04-1993,14.75,14.875,130300,14.875,14.75,1.021882176399231
29-04-1993,14.75,14.75,16500,14.875,14.875,1.030543327331543
30-04-1993,14.75,14.875,10400,14.875,14.875,1.030543327331543
03-05-1993,14.75,14.75,17300,14.875,14.75,1.021882176399231
04-05-1993,14.625,14.75,21500,14.75,14.75,1.021882176399231
05-05-1993,14.375,14.625,20600,14.625,14.5,1.0045628547668457
06-05-1993,14.375,14.5,9200,14.625,14.5,1.0045628547668457
07-05-1993,14.375,14.375,5800,14.5,14.5,1.0045628547668457
10-05-1993,14.375,14.375,21000,14.625,14.5,1.0045628547668457
11-05-1993,14.25,14.5,10300,14.625,14.375,1.001983642578125
12-05-1993,14.25,14.5,10200,14.5,14.375,1.001983642578125
13-05-1993,14.125,14.25,6000,14.375,14.125,0.9845584630966187
14-05-1993,14.125,14.125,9200,14.375,14.375,1.001983642578125
17-05-1993,14.125,14.375,8100,14.375,14.25,0.9932712316513062
18-05-1993,14.125,14.375,23300,14.375,14.375,1.001983642578125
19-05-1993,13.875,14.25,17100,14.25,14.125,0.9845584630966187
20-05-1993,14.0,14.0,22300,14.375,14.375,1.001983642578125
21-05-1993,13.625,14.25,22100,14.375,14.125,0.9845584630966187
24-05-1993,13.875,14.125,10500,14.125,13.875,0.9671327471733093
25-05-1993,13.75,13.75,8700,14.0,13.75,0.9584198594093323
26-05-1993,13.625,13.625,22300,13.875,13.75,0.9584198594093323
27-05-1993,13.75,13.75,18700,14.125,14.125,0.9845584630966187
28-05-1993,14.0,14.125,36300,14.125,14.0,0.9758458733558655
01-06-1993,14.0,14.125,38200,14.25,14.125,0.9845584630966187
02-06-1993,14.0,14.0,22800,14.25,14.0,0.9758458733558655
