Date,Low,Open,Volume,High,Close,Adjusted Close
16-11-1993,12.25,12.375,114700,12.375,12.25,1.0143662691116333
17-11-1993,12.375,12.375,230100,12.5,12.5,1.035068392753601
18-11-1993,12.375,12.5,69000,12.5,12.375,1.0247174501419067
19-11-1993,12.375,12.375,197600,12.375,12.375,1.0247174501419067
22-11-1993,12.375,12.375,139000,12.375,12.375,1.0247174501419067
23-11-1993,12.375,12.5,93700,12.5,12.375,1.0247174501419067
24-11-1993,12.375,12.375,30400,12.375,12.375,1.0247174501419067
26-11-1993,12.375,12.375,4100,12.5,12.5,1.035068392753601
29-11-1993,12.375,12.5,51000,12.5,12.375,1.0247174501419067
30-11-1993,12.375,12.5,111700,12.5,12.5,1.035068392753601
01-12-1993,12.375,12.5,43800,12.5,12.375,1.0247174501419067
02-12-1993,12.375,12.5,29100,12.5,12.375,1.0247174501419067
03-12-1993,12.375,12.375,44700,12.5,12.375,1.0247174501419067
06-12-1993,12.25,12.5,56800,12.5,12.375,1.0247174501419067
07-12-1993,12.375,12.5,39400,12.5,12.5,1.035068392753601
08-12-1993,12.375,12.5,46600,12.5,12.5,1.035068392753601
09-12-1993,12.375,12.5,59200,12.5,12.375,1.0247174501419067
10-12-1993,12.375,12.5,56700,12.5,12.5,1.035068392753601
13-12-1993,12.375,12.5,31600,12.5,12.5,1.035068392753601
14-12-1993,12.375,12.5,68500,12.5,12.375,1.0247174501419067
15-12-1993,12.375,12.375,107100,12.5,12.5,1.035068392753601
16-12-1993,12.375,12.5,116000,12.5,12.5,1.0430796146392822
17-12-1993,12.375,12.5,90300,12.5,12.375,1.0371283292770386
20-12-1993,12.25,12.5,58200,12.5,12.25,1.0266520977020264
21-12-1993,11.75,12.375,124600,12.375,12.25,1.0266520977020264
22-12-1993,12.0,12.375,87800,12.375,12.25,1.0266520977020264
23-12-1993,12.0,12.125,77700,12.375,12.25,1.0266520977020264
27-12-1993,12.125,12.25,81400,12.5,12.5,1.047605276107788
28-12-1993,12.25,12.5,98100,12.5,12.375,1.0371283292770386
29-12-1993,12.25,12.25,85400,12.375,12.375,1.0371283292770386
30-12-1993,12.25,12.375,402500,12.625,12.5,1.047605276107788
31-12-1993,12.25,12.5,38900,12.5,12.375,1.0371283292770386
03-01-1994,12.25,12.375,90400,12.5,12.25,1.0266520977020264
04-01-1994,12.25,12.375,172700,12.625,12.625,1.0580806732177734
05-01-1994,12.5,12.5,222600,12.625,12.625,1.0580806732177734
06-01-1994,12.5,12.5,135200,12.625,12.625,1.0580806732177734
07-01-1994,12.5,12.5,159600,12.625,12.625,1.0580806732177734
10-01-1994,12.5,12.5,144800,12.75,12.625,1.0580806732177734
11-01-1994,12.375,12.5,128800,12.5,12.5,1.0556315183639526
12-01-1994,12.375,12.5,117500,12.875,12.5,1.0556315183639526
13-01-1994,12.375,12.5,91300,12.5,12.5,1.0556315183639526
14-01-1994,12.375,12.5,103400,12.625,12.5,1.0556315183639526
17-01-1994,12.375,12.5,146100,12.625,12.625,1.0661884546279907
18-01-1994,12.25,12.5,150900,12.625,12.5,1.0556315183639526
19-01-1994,12.375,12.5,129900,12.5,12.375,1.0450750589370728
20-01-1994,12.125,12.5,180600,12.5,12.375,1.0450750589370728
21-01-1994,12.25,12.5,205300,12.5,12.5,1.0556315183639526
24-01-1994,12.25,12.375,86700,12.75,12.5,1.0556315183639526
25-01-1994,12.375,12.5,106300,12.625,12.625,1.0661884546279907
26-01-1994,12.5,12.625,97500,12.625,12.5,1.0556315183639526
27-01-1994,12.5,12.625,310700,12.75,12.5,1.0556315183639526
28-01-1994,12.5,12.625,195100,12.75,12.625,1.0661884546279907
31-01-1994,12.5,12.625,227500,12.625,12.625,1.0661884546279907
01-02-1994,12.5,12.625,119600,12.625,12.625,1.0661884546279907
02-02-1994,12.375,12.625,114300,12.625,12.625,1.0661884546279907
03-02-1994,12.375,12.5,101800,12.625,12.5,1.0556315183639526
04-02-1994,12.375,12.625,173400,12.625,12.5,1.0556315183639526
