Date,Low,Open,Volume,High,Close,Adjusted Close
17-05-1994,5.0,5.0,500,5.0,5.0,3.820570707321167
18-05-1994,5.0,5.0,0,5.0,5.0,3.820570707321167
19-05-1994,5.0,5.0,1300,5.25,5.0,3.820570707321167
20-05-1994,5.0,5.0,0,5.0,5.0,3.820570707321167
23-05-1994,5.25,5.25,400,5.25,5.25,4.011599063873291
24-05-1994,5.0,5.0,800,5.125,5.0,3.820570707321167
25-05-1994,5.0,5.0,1300,5.25,5.25,4.011599063873291
26-05-1994,5.0,5.0,1600,5.375,5.0,3.820570707321167
27-05-1994,5.125,5.5,1600,5.5,5.125,3.9160854816436768
31-05-1994,5.25,5.25,1000,5.25,5.25,4.011599063873291
01-06-1994,5.25,5.25,200,5.25,5.25,4.011599063873291
02-06-1994,5.1875,5.1875,300,5.1875,5.1875,3.9638421535491943
03-06-1994,5.1875,5.25,1400,5.25,5.25,4.011599063873291
06-06-1994,5.25,5.25,0,5.25,5.25,4.011599063873291
07-06-1994,5.0,5.0,1000,5.0,5.0,3.820570707321167
08-06-1994,5.0,5.0,0,5.0,5.0,3.820570707321167
09-06-1994,5.0,5.0,100,5.0,5.0,3.820570707321167
10-06-1994,5.0,5.0,5100,5.25,5.0,3.820570707321167
13-06-1994,5.375,5.375,1100,5.375,5.375,4.107113361358643
14-06-1994,5.125,5.25,200,5.25,5.25,4.011599063873291
15-06-1994,5.25,5.25,200,5.25,5.25,4.011599063873291
16-06-1994,5.25,5.25,0,5.25,5.25,4.011599063873291
17-06-1994,5.0,0.0,3100,5.5,5.0,3.820570707321167
20-06-1994,5.0,5.0,0,5.0,5.0,3.820570707321167
21-06-1994,5.0,5.0,0,5.0,5.0,3.820570707321167
22-06-1994,5.125,0.0,200,5.5,5.125,3.9160854816436768
23-06-1994,5.25,0.0,5200,5.25,5.25,4.011599063873291
24-06-1994,5.25,5.25,0,5.25,5.25,4.011599063873291
27-06-1994,5.25,5.25,0,5.25,5.25,4.011599063873291
28-06-1994,5.0,0.0,1500,5.0,5.0,3.820570707321167
