Date,Low,Open,Volume,High,Close,Adjusted Close
17-07-1992,11.625,12.0,180600,12.0,11.875,1.81210458278656
20-07-1992,11.875,11.875,96800,12.0,11.875,1.81210458278656
21-07-1992,11.875,12.0,73300,12.0,12.0,1.8311796188354492
22-07-1992,11.875,12.0,84300,12.0,11.875,1.81210458278656
23-07-1992,11.875,11.875,43500,12.0,12.0,1.8311796188354492
24-07-1992,11.875,12.0,73600,12.0,12.0,1.8311796188354492
27-07-1992,11.875,12.0,37500,12.0,11.875,1.81210458278656
28-07-1992,11.875,11.875,84100,12.0,12.0,1.8311796188354492
29-07-1992,11.875,12.0,119800,12.25,12.25,1.8693299293518066
30-07-1992,12.125,12.125,85100,12.25,12.25,1.8693299293518066
31-07-1992,12.125,12.125,103900,12.25,12.25,1.8693299293518066
03-08-1992,12.125,12.25,37800,12.375,12.25,1.8693299293518066
04-08-1992,12.25,12.25,65000,12.375,12.375,1.888405442237854
05-08-1992,12.25,12.375,49500,12.375,12.375,1.888405442237854
06-08-1992,12.25,12.375,77500,12.375,12.375,1.888405442237854
07-08-1992,12.375,12.375,36200,12.5,12.5,1.9074784517288208
10-08-1992,12.375,12.375,59200,12.5,12.375,1.888405442237854
11-08-1992,12.375,12.5,60100,12.5,12.375,1.888405442237854
12-08-1992,12.375,12.375,79100,12.5,12.5,1.9074784517288208
13-08-1992,12.375,12.5,33900,12.5,12.375,1.888405442237854
14-08-1992,12.375,12.5,104700,12.5,12.375,1.888405442237854
17-08-1992,12.25,12.25,39600,12.375,12.25,1.8693299293518066
18-08-1992,12.25,12.375,56900,12.375,12.25,1.8693299293518066
19-08-1992,12.25,12.375,47300,12.375,12.25,1.8693299293518066
20-08-1992,12.25,12.25,27400,12.375,12.375,1.888405442237854
21-08-1992,12.25,12.375,55700,12.375,12.375,1.888405442237854
24-08-1992,12.25,12.375,15700,12.375,12.25,1.8693299293518066
25-08-1992,12.25,12.375,102800,12.375,12.375,1.888405442237854
26-08-1992,12.25,12.375,55000,12.375,12.375,1.888405442237854
27-08-1992,12.25,12.375,41300,12.375,12.375,1.888405442237854
28-08-1992,12.25,12.375,65200,12.375,12.25,1.8693299293518066
31-08-1992,12.25,12.375,17700,12.375,12.375,1.888405442237854
01-09-1992,12.125,12.25,16800,12.25,12.25,1.8693299293518066
02-09-1992,12.125,12.25,23400,12.25,12.125,1.850253939628601
03-09-1992,12.125,12.125,32200,12.25,12.25,1.8693299293518066
04-09-1992,12.125,12.25,16200,12.25,12.25,1.8693299293518066
08-09-1992,12.125,12.125,18200,12.25,12.125,1.850253939628601
09-09-1992,12.125,12.25,16400,12.25,12.25,1.8693299293518066
10-09-1992,12.125,12.25,16600,12.25,12.125,1.850253939628601
11-09-1992,12.125,12.25,20700,12.25,12.25,1.8693299293518066
14-09-1992,12.125,12.25,24500,12.25,12.25,1.8693299293518066
15-09-1992,12.125,12.25,25600,12.25,12.25,1.8693299293518066
16-09-1992,12.125,12.25,28600,12.25,12.125,1.850253939628601
17-09-1992,12.0,12.125,56800,12.25,12.125,1.859609603881836
18-09-1992,12.0,12.125,40000,12.125,12.125,1.859609603881836
21-09-1992,11.875,12.0,37700,12.125,12.125,1.859609603881836
22-09-1992,11.875,12.0,19200,12.125,11.875,1.8212672472000122
23-09-1992,11.875,11.875,23000,11.875,11.875,1.8212672472000122
24-09-1992,11.75,11.875,22500,12.0,12.0,1.8404386043548584
25-09-1992,11.75,11.875,17100,12.0,11.875,1.8212672472000122
28-09-1992,11.875,12.0,31000,12.0,12.0,1.8404386043548584
29-09-1992,11.875,12.0,19200,12.0,12.0,1.8404386043548584
30-09-1992,12.0,12.0,23300,12.0,12.0,1.8404386043548584
01-10-1992,11.875,11.875,71000,12.125,12.0,1.8404386043548584
02-10-1992,12.0,12.0,120500,12.125,12.0,1.8404386043548584
05-10-1992,12.0,12.125,75800,12.25,12.125,1.859609603881836
06-10-1992,12.0,12.125,36600,12.25,12.0,1.8404386043548584
07-10-1992,12.0,12.125,24200,12.125,12.0,1.8404386043548584
08-10-1992,12.0,12.125,49500,12.125,12.125,1.859609603881836
09-10-1992,12.0,12.125,32300,12.125,12.125,1.859609603881836
12-10-1992,12.0,12.125,37700,12.125,12.125,1.859609603881836
13-10-1992,12.0,12.125,13300,12.125,12.0,1.8404386043548584
14-10-1992,11.375,12.125,24200,12.125,12.125,1.859609603881836
15-10-1992,11.875,12.125,29900,12.125,12.125,1.859609603881836
16-10-1992,12.0,12.125,27700,12.125,12.125,1.859609603881836
19-10-1992,11.875,12.0,57300,12.125,12.0,1.8684849739074707
20-10-1992,11.875,12.0,58900,12.0,12.0,1.8684849739074707
21-10-1992,11.875,11.875,32300,12.0,11.875,1.8490211963653564
22-10-1992,11.625,11.875,34000,11.875,11.75,1.8295592069625854
23-10-1992,11.625,11.75,23400,11.875,11.625,1.8100955486297607
26-10-1992,11.5,11.75,36100,11.75,11.625,1.8100955486297607
27-10-1992,11.625,11.625,15600,11.75,11.625,1.8100955486297607
28-10-1992,11.375,11.5,40700,11.5,11.375,1.7711701393127441
29-10-1992,11.0,11.25,62900,11.25,11.25,1.751704216003418
30-10-1992,11.25,11.25,71300,11.5,11.5,1.7906333208084106
02-11-1992,11.375,11.5,111700,12.0,11.875,1.8490211963653564
03-11-1992,11.875,11.875,185900,12.0,11.875,1.8490211963653564
04-11-1992,11.75,11.875,23700,12.0,12.0,1.8684849739074707
05-11-1992,11.75,11.875,17900,12.0,11.75,1.8295592069625854
06-11-1992,11.75,11.875,47500,12.0,11.875,1.8490211963653564
