Date,Low,Open,Volume,High,Close,Adjusted Close
22-01-1993,15.0,15.0,13000,15.0,15.0,2.753321886062622
25-01-1993,15.0,15.0,9700,15.25,15.125,2.776266574859619
26-01-1993,15.125,15.25,3000,15.25,15.125,2.776266574859619
27-01-1993,15.125,15.125,4800,15.125,15.125,2.776266574859619
28-01-1993,15.125,15.125,2600,15.125,15.125,2.776266574859619
29-01-1993,15.125,15.125,0,15.125,15.125,2.776266574859619
01-02-1993,15.0,15.0,3500,15.125,15.0,2.753321886062622
02-02-1993,15.0,15.125,1500,15.125,15.0,2.753321886062622
03-02-1993,15.0,15.0,3500,15.125,15.0,2.753321886062622
04-02-1993,15.0,15.125,3100,15.25,15.125,2.776266574859619
05-02-1993,15.125,15.125,500,15.125,15.125,2.776266574859619
08-02-1993,15.125,15.375,2900,15.375,15.125,2.776266574859619
09-02-1993,15.125,15.125,1300,15.25,15.25,2.799212694168091
10-02-1993,15.125,15.125,5600,15.375,15.125,2.776266574859619
11-02-1993,15.0,15.25,3400,15.25,15.0,2.753321886062622
12-02-1993,15.0,15.0,2700,15.125,15.125,2.776266574859619
16-02-1993,15.0,15.0,3700,15.125,15.125,2.776266574859619
17-02-1993,15.0,15.0,4400,15.125,15.0,2.753321886062622
18-02-1993,15.0,15.0,8200,15.25,15.25,2.799212694168091
19-02-1993,15.125,15.25,8400,15.25,15.25,2.799212694168091
22-02-1993,15.125,15.375,2900,15.375,15.125,2.776266574859619
23-02-1993,15.0,15.125,21500,15.125,15.0,2.753321886062622
24-02-1993,15.0,15.0,81100,15.125,15.0,2.753321886062622
25-02-1993,15.0,15.0,12400,15.125,15.125,2.776266574859619
26-02-1993,15.0,15.0,2100,15.0,15.0,2.753321886062622
01-03-1993,15.0,15.0,15500,15.0,15.0,2.753321886062622
02-03-1993,15.0,15.0,21000,15.125,15.125,2.776266574859619
03-03-1993,15.125,15.125,8000,15.125,15.125,2.776266574859619
04-03-1993,15.0,15.0,9000,15.125,15.125,2.776266574859619
05-03-1993,15.0,15.0,6200,15.125,15.125,2.776266574859619
08-03-1993,15.0,15.0,35300,15.125,15.0,2.753321886062622
09-03-1993,15.0,15.0,7400,15.125,15.0,2.753321886062622
10-03-1993,15.0,15.125,17000,15.125,15.125,2.776266574859619
11-03-1993,15.125,15.25,2800,15.25,15.125,2.776266574859619
12-03-1993,15.125,15.125,0,15.125,15.125,2.776266574859619
15-03-1993,15.0,15.125,3300,15.125,15.125,2.776266574859619
16-03-1993,15.0,15.0,2000,15.0,15.0,2.753321886062622
17-03-1993,15.0,15.125,2500,15.125,15.125,2.776266574859619
18-03-1993,15.0,15.0,4100,15.125,15.0,2.753321886062622
19-03-1993,15.0,15.0,6000,15.125,15.125,2.776266574859619
22-03-1993,15.0,15.0,2800,15.0,15.0,2.753321886062622
23-03-1993,15.0,15.0,7400,15.125,15.0,2.753321886062622
24-03-1993,15.0,15.0,5600,15.125,15.0,2.753321886062622
25-03-1993,15.0,15.0,3600,15.0,15.0,2.753321886062622
26-03-1993,15.0,15.0,7200,15.0,15.0,2.753321886062622
29-03-1993,15.0,15.0,3000,15.0,15.0,2.753321886062622
30-03-1993,15.0,15.0,9600,15.0,15.0,2.753321886062622
31-03-1993,15.0,15.0,14400,15.0,15.0,2.753321886062622
01-04-1993,15.0,15.125,4700,15.125,15.125,2.776266574859619
02-04-1993,15.0,15.0,2100,15.125,15.125,2.776266574859619
05-04-1993,15.0,15.0,7800,15.125,15.125,2.9477732181549072
06-04-1993,15.0,15.0,11000,15.0,15.0,2.923410415649414
07-04-1993,15.125,15.125,2200,15.125,15.125,2.9477732181549072
08-04-1993,15.0,15.0,7800,15.0,15.0,2.923410415649414
12-04-1993,15.0,15.0,32400,15.0,15.0,2.923410415649414
13-04-1993,15.0,15.0,15800,15.0,15.0,2.923410415649414
14-04-1993,15.0,15.0,32600,15.125,15.0,2.923410415649414
15-04-1993,15.0,15.0,8000,15.0,15.0,2.923410415649414
16-04-1993,15.0,15.0,20500,15.0,15.0,2.923410415649414
19-04-1993,15.0,15.125,8300,15.125,15.0,2.923410415649414
20-04-1993,15.0,15.0,28800,15.125,15.0,2.923410415649414
21-04-1993,15.0,15.125,6100,15.125,15.0,2.923410415649414
22-04-1993,15.0,15.0,16000,15.125,15.0,2.923410415649414
23-04-1993,15.0,15.0,100,15.0,15.0,2.923410415649414
26-04-1993,15.0,15.0,800,15.0,15.0,2.923410415649414
27-04-1993,15.0,15.0,600,15.125,15.125,2.9477732181549072
28-04-1993,15.0,15.0,2100,15.0,15.0,2.923410415649414
29-04-1993,15.0,15.0,16100,15.0,15.0,2.923410415649414
30-04-1993,14.5,14.875,27000,14.875,14.75,2.8746869564056396
03-05-1993,14.5,14.625,33200,14.625,14.5,2.825963258743286
04-05-1993,14.5,14.5,15400,14.5,14.5,2.841249942779541
05-05-1993,14.25,14.5,6500,14.5,14.25,2.792262554168701
06-05-1993,14.375,14.375,2200,14.375,14.375,2.816755771636963
07-05-1993,14.25,14.375,3600,14.375,14.25,2.792262554168701
10-05-1993,14.25,14.375,11600,14.375,14.25,2.792262554168701
11-05-1993,14.25,14.25,11600,14.5,14.375,2.816755771636963
12-05-1993,14.25,14.25,4100,14.5,14.5,2.841249942779541
13-05-1993,14.375,14.375,12900,14.5,14.375,2.816755771636963
14-05-1993,14.25,14.375,7100,14.375,14.25,2.792262554168701
17-05-1993,14.25,14.5,8300,14.5,14.25,2.792262554168701
18-05-1993,14.375,14.375,46400,14.5,14.5,2.841249942779541
19-05-1993,14.5,14.75,58100,14.75,14.5,2.841249942779541
20-05-1993,14.5,14.5,2600,14.625,14.625,2.865741729736328
21-05-1993,14.5,14.625,34700,14.625,14.625,2.865741729736328
24-05-1993,14.5,14.5,27700,14.625,14.5,2.841249942779541
25-05-1993,14.5,14.625,5700,14.625,14.5,2.841249942779541
26-05-1993,14.5,14.5,300,14.5,14.5,2.841249942779541
27-05-1993,14.5,14.625,3100,14.625,14.625,2.865741729736328
28-05-1993,14.625,14.625,2000,14.625,14.625,2.865741729736328
01-06-1993,14.5,14.5,8700,14.75,14.625,2.865741729736328
02-06-1993,14.5,14.75,17800,14.75,14.625,2.865741729736328
03-06-1993,14.5,14.5,4100,14.75,14.5,2.841249942779541
04-06-1993,14.5,14.5,17200,14.75,14.75,2.8902337551116943
07-06-1993,14.5,14.625,4600,14.625,14.5,2.841249942779541
08-06-1993,14.375,14.375,2100,14.5,14.5,2.856614351272583
09-06-1993,14.5,14.5,6800,14.625,14.5,2.856614351272583
10-06-1993,14.5,14.5,2600,14.5,14.5,2.856614351272583
11-06-1993,14.625,14.625,2900,14.625,14.625,2.881242513656616
14-06-1993,14.5,14.5,2000,14.5,14.5,2.856614351272583
15-06-1993,14.5,14.5,41500,14.875,14.75,2.9058661460876465
16-06-1993,14.625,14.75,6100,14.875,14.625,2.881242513656616
17-06-1993,14.625,14.625,3500,14.625,14.625,2.881242513656616
18-06-1993,14.375,14.625,8100,14.625,14.5,2.856614351272583
21-06-1993,14.5,14.5,6200,14.625,14.625,2.881242513656616
22-06-1993,14.5,14.5,14600,14.75,14.625,2.881242513656616
23-06-1993,14.75,14.75,3500,14.875,14.875,2.930492639541626
24-06-1993,14.75,14.75,11200,14.875,14.875,2.930492639541626
25-06-1993,14.875,14.875,16900,15.0,15.0,2.955115556716919
28-06-1993,14.875,15.0,5600,15.0,14.875,2.930492639541626
29-06-1993,14.875,15.0,13900,15.0,14.875,2.930492639541626
30-06-1993,15.0,15.0,16500,15.125,15.125,2.9797451496124268
01-07-1993,14.875,15.0,15300,15.125,15.125,2.9797451496124268
