Date,Low,Open,Volume,High,Close,Adjusted Close
25-01-1991,15.0,15.0,25900,15.0,15.0,1.1074492931365967
28-01-1991,15.0,15.0,3600,15.125,15.125,1.1166781187057495
29-01-1991,15.0,15.125,14000,15.125,15.125,1.1166781187057495
30-01-1991,15.0,15.125,18500,15.125,15.125,1.1166781187057495
31-01-1991,15.125,15.125,5400,15.125,15.125,1.1166781187057495
01-02-1991,15.0,15.125,7100,15.125,15.0,1.1074492931365967
04-02-1991,15.125,15.125,20200,15.125,15.125,1.1166781187057495
05-02-1991,15.0,15.125,19600,15.125,15.0,1.1074492931365967
06-02-1991,15.0,15.125,285200,15.125,15.0,1.1074492931365967
07-02-1991,15.0,15.0,108800,15.125,15.0,1.1074492931365967
08-02-1991,15.0,15.0,33000,15.125,15.125,1.1166781187057495
11-02-1991,15.0,15.0,58300,15.125,15.0,1.1074492931365967
12-02-1991,15.0,15.125,33100,15.125,15.125,1.1166781187057495
13-02-1991,15.0,15.125,30200,15.125,15.0,1.1074492931365967
14-02-1991,15.0,15.0,31700,15.125,15.125,1.1166781187057495
15-02-1991,15.0,15.125,32100,15.125,15.0,1.1074492931365967
19-02-1991,15.0,15.125,37500,15.125,15.125,1.1166781187057495
20-02-1991,15.0,15.125,26200,15.125,15.125,1.1166781187057495
21-02-1991,15.0,15.0,23600,15.125,15.125,1.1166781187057495
22-02-1991,15.0,15.125,113800,15.125,15.0,1.1074492931365967
25-02-1991,15.0,15.125,20300,15.125,15.125,1.1166781187057495
26-02-1991,15.0,15.125,47100,15.125,15.0,1.1074492931365967
27-02-1991,15.0,15.0,11800,15.125,15.125,1.1166781187057495
28-02-1991,15.0,15.125,26200,15.125,15.125,1.1166781187057495
01-03-1991,15.0,15.125,16700,15.125,15.125,1.1166781187057495
04-03-1991,15.0,15.125,18000,15.125,15.125,1.1166781187057495
05-03-1991,15.0,15.125,11800,15.125,15.125,1.1166781187057495
06-03-1991,15.0,15.125,10600,15.125,15.125,1.1166781187057495
07-03-1991,15.0,15.125,27000,15.125,15.125,1.1166781187057495
08-03-1991,15.0,15.125,16200,15.125,15.0,1.1074492931365967
11-03-1991,15.0,15.125,32000,15.125,15.125,1.1166781187057495
12-03-1991,15.0,15.125,16800,15.25,15.125,1.1166781187057495
13-03-1991,15.0,15.25,27400,15.25,15.25,1.125906229019165
14-03-1991,15.125,15.25,30800,15.375,15.25,1.125906229019165
15-03-1991,15.125,15.25,11100,15.25,15.125,1.1166781187057495
18-03-1991,15.125,15.25,18000,15.25,15.125,1.1166781187057495
19-03-1991,15.125,15.25,12300,15.25,15.25,1.125906229019165
20-03-1991,15.125,15.125,25000,15.375,15.375,1.1351351737976074
21-03-1991,15.25,15.375,33200,15.5,15.5,1.144363522529602
22-03-1991,15.25,15.5,17000,15.5,15.25,1.125906229019165
25-03-1991,15.125,15.25,17100,15.5,15.375,1.1351351737976074
26-03-1991,15.25,15.375,19500,15.375,15.25,1.125906229019165
27-03-1991,15.375,15.375,33100,15.625,15.5,1.144363522529602
28-03-1991,15.25,15.5,26900,15.5,15.375,1.1351351737976074
01-04-1991,15.25,15.5,29000,15.5,15.5,1.144363522529602
02-04-1991,15.375,15.375,15000,15.625,15.625,1.153592586517334
03-04-1991,15.375,15.625,29200,15.625,15.5,1.144363522529602
04-04-1991,15.375,15.5,20100,15.5,15.5,1.144363522529602
05-04-1991,15.375,15.5,19400,15.625,15.375,1.1351351737976074
08-04-1991,15.25,15.5,20000,15.5,15.5,1.144363522529602
09-04-1991,15.5,15.5,40600,15.75,15.625,1.153592586517334
10-04-1991,15.375,15.625,14300,15.625,15.5,1.1533689498901367
11-04-1991,15.375,15.375,12500,15.625,15.625,1.1626707315444946
12-04-1991,15.375,15.5,24200,15.625,15.375,1.1440681219100952
15-04-1991,15.375,15.5,17900,15.625,15.625,1.1626707315444946
16-04-1991,15.5,15.625,23900,15.625,15.625,1.1626707315444946
17-04-1991,15.625,15.625,69700,15.875,15.75,1.1719722747802734
18-04-1991,15.625,15.75,25000,15.875,15.625,1.1626707315444946
19-04-1991,15.5,15.75,24300,15.75,15.75,1.1719722747802734
22-04-1991,15.5,15.75,19800,15.75,15.5,1.1533689498901367
23-04-1991,15.5,15.5,30300,15.875,15.625,1.1626707315444946
24-04-1991,15.625,15.75,16100,15.875,15.875,1.1812736988067627
25-04-1991,15.625,15.75,10200,15.875,15.75,1.1719722747802734
26-04-1991,15.75,15.75,17700,15.875,15.875,1.1812736988067627
29-04-1991,15.625,15.875,22100,15.875,15.75,1.1719722747802734
30-04-1991,15.75,15.875,25600,16.0,15.875,1.1812736988067627
01-05-1991,15.625,15.875,24700,16.0,16.0,1.190575361251831
02-05-1991,15.875,15.875,19600,16.125,16.0,1.190575361251831
03-05-1991,15.625,16.0,16800,16.0,16.0,1.190575361251831
06-05-1991,15.875,16.0,14900,16.0,15.875,1.1812736988067627
07-05-1991,16.0,16.0,18700,16.125,16.125,1.1998775005340576
08-05-1991,15.875,16.0,31000,16.25,16.125,1.1998775005340576
09-05-1991,15.875,16.25,19400,16.25,16.0,1.190575361251831
10-05-1991,15.875,16.0,21600,16.125,16.0,1.199723482131958
13-05-1991,16.0,16.0,24700,16.25,16.0,1.199723482131958
14-05-1991,16.0,16.125,30700,16.125,16.0,1.199723482131958
15-05-1991,15.625,15.875,38700,16.0,15.875,1.1903506517410278
16-05-1991,15.875,15.875,18100,16.125,16.0,1.199723482131958
17-05-1991,15.875,16.0,19200,16.125,16.0,1.199723482131958
20-05-1991,15.75,15.875,13100,16.0,16.0,1.199723482131958
21-05-1991,15.875,16.0,11500,16.125,16.125,1.2090954780578613
22-05-1991,15.875,16.125,23000,16.125,16.0,1.199723482131958
23-05-1991,16.0,16.0,15900,16.125,16.0,1.199723482131958
24-05-1991,16.0,16.125,16500,16.25,16.125,1.2090954780578613
28-05-1991,16.125,16.125,5900,16.375,16.375,1.2278426885604858
29-05-1991,16.125,16.375,21300,16.375,16.25,1.2184699773788452
30-05-1991,16.125,16.25,20600,16.375,16.375,1.2278426885604858
31-05-1991,16.25,16.25,19300,16.5,16.5,1.23721444606781
03-06-1991,16.25,16.25,12800,16.5,16.5,1.23721444606781
04-06-1991,16.375,16.375,17600,16.625,16.5,1.23721444606781
05-06-1991,16.375,16.625,27700,16.625,16.375,1.2278426885604858
06-06-1991,16.25,16.25,20700,16.5,16.375,1.2278426885604858
07-06-1991,16.125,16.5,54500,16.5,16.375,1.2278426885604858
10-06-1991,16.0,16.375,26400,16.375,16.125,1.2181717157363892
11-06-1991,16.0,16.25,35000,16.75,16.375,1.237059235572815
12-06-1991,16.125,16.375,27600,16.375,16.375,1.237059235572815
