Date,Low,Open,Volume,High,Close,Adjusted Close
06-02-1992,12.5,12.5,135800,12.5,12.5,1.0409913063049316
07-02-1992,12.5,12.5,45000,12.5,12.5,1.0409913063049316
10-02-1992,12.5,12.5,24700,12.625,12.625,1.0514006614685059
11-02-1992,12.5,12.625,27600,12.625,12.625,1.0514006614685059
12-02-1992,12.625,12.625,61600,12.75,12.625,1.0514006614685059
13-02-1992,12.5,12.625,25400,12.75,12.625,1.0514006614685059
14-02-1992,12.5,12.625,61400,12.75,12.625,1.0514006614685059
18-02-1992,12.625,12.75,14900,12.75,12.75,1.0618103742599487
19-02-1992,12.5,12.5,130600,12.625,12.5,1.0409913063049316
20-02-1992,12.5,12.625,30400,12.625,12.625,1.0514006614685059
21-02-1992,12.5,12.625,36900,12.625,12.625,1.0514006614685059
24-02-1992,12.625,12.625,109500,12.75,12.625,1.0514006614685059
25-02-1992,12.5,12.625,72800,12.75,12.625,1.0514006614685059
26-02-1992,12.5,12.5,14000,12.625,12.625,1.0514006614685059
27-02-1992,12.625,12.625,34200,12.75,12.625,1.0514006614685059
28-02-1992,12.75,12.75,8800,12.75,12.75,1.0618103742599487
02-03-1992,12.625,12.75,11100,12.875,12.625,1.0514006614685059
03-03-1992,12.625,12.75,23400,12.75,12.625,1.0514006614685059
04-03-1992,12.625,12.75,16300,12.875,12.75,1.0618103742599487
05-03-1992,12.625,12.875,24800,12.875,12.625,1.0514006614685059
06-03-1992,12.75,12.75,65400,13.0,12.875,1.072221279144287
09-03-1992,12.875,13.0,21900,13.0,12.875,1.072221279144287
10-03-1992,12.875,13.0,87800,13.0,12.875,1.072221279144287
11-03-1992,12.875,12.875,24400,13.0,13.0,1.0826317071914673
12-03-1992,12.875,13.0,13400,13.0,13.0,1.0826317071914673
13-03-1992,12.875,13.0,46800,13.0,13.0,1.0826317071914673
16-03-1992,12.875,13.0,36600,13.0,13.0,1.0826317071914673
17-03-1992,12.875,13.0,31200,13.0,13.0,1.0826317071914673
18-03-1992,12.875,12.875,14500,13.0,13.0,1.0826317071914673
19-03-1992,12.875,13.0,20400,13.0,13.0,1.0826317071914673
20-03-1992,12.75,13.0,6100,13.0,12.875,1.072221279144287
23-03-1992,12.75,12.875,10200,12.875,12.75,1.0618103742599487
24-03-1992,12.75,12.75,11000,12.875,12.75,1.0618103742599487
25-03-1992,12.625,12.875,15900,12.875,12.875,1.072221279144287
26-03-1992,12.625,12.75,3900,12.75,12.75,1.0618103742599487
27-03-1992,12.625,12.75,5500,12.875,12.625,1.0514006614685059
30-03-1992,12.625,12.75,4100,12.75,12.75,1.0618103742599487
31-03-1992,12.625,12.625,12300,12.875,12.875,1.072221279144287
01-04-1992,12.625,12.625,4800,12.75,12.75,1.0618103742599487
02-04-1992,12.625,12.75,12600,12.75,12.75,1.0618103742599487
03-04-1992,12.625,12.75,6500,12.75,12.625,1.0514006614685059
06-04-1992,12.625,12.75,30800,12.875,12.875,1.072221279144287
07-04-1992,12.75,12.75,5300,12.875,12.875,1.072221279144287
08-04-1992,12.625,12.75,9300,12.875,12.75,1.0618103742599487
09-04-1992,12.625,12.75,19600,12.875,12.75,1.0618103742599487
10-04-1992,12.625,12.75,8600,12.875,12.75,1.0618103742599487
13-04-1992,12.5,12.875,12900,12.875,12.5,1.0409913063049316
14-04-1992,12.5,12.625,2000,12.75,12.625,1.0514006614685059
15-04-1992,12.5,12.5,14000,12.625,12.625,1.0514006614685059
16-04-1992,12.5,12.625,9100,12.625,12.625,1.0514006614685059
20-04-1992,12.25,12.5,6700,12.5,12.25,1.020172357559204
21-04-1992,12.25,12.375,10900,12.5,12.375,1.0305821895599365
22-04-1992,12.375,12.5,12100,12.625,12.625,1.0514006614685059
23-04-1992,12.5,12.5,8800,12.625,12.625,1.0514006614685059
24-04-1992,12.375,12.5,15600,12.75,12.75,1.0618103742599487
27-04-1992,12.625,12.625,10400,12.75,12.625,1.0514006614685059
28-04-1992,12.625,12.75,6400,12.75,12.625,1.0514006614685059
29-04-1992,12.625,12.75,10300,12.75,12.625,1.0514006614685059
30-04-1992,12.625,12.75,5700,12.75,12.75,1.0618103742599487
01-05-1992,12.625,12.75,9500,12.75,12.75,1.0618103742599487
04-05-1992,12.625,12.75,19700,12.75,12.75,1.0618103742599487
05-05-1992,12.625,12.625,12900,12.75,12.625,1.0514006614685059
