Date,Low,Open,Volume,High,Close,Adjusted Close
17-02-1989,10.0,0.0,708200,10.0,10.0,1.1512725353240967
21-02-1989,10.0,0.0,41700,10.0,10.0,1.1512725353240967
22-02-1989,10.0,0.0,69400,10.0,10.0,1.1512725353240967
23-02-1989,10.0,0.0,13400,10.0,10.0,1.1512725353240967
24-02-1989,10.0,0.0,66000,10.0,10.0,1.1512725353240967
27-02-1989,10.0,0.0,78600,10.0,10.0,1.1512725353240967
28-02-1989,10.0,0.0,40000,10.0,10.0,1.1512725353240967
01-03-1989,10.0,0.0,48000,10.0,10.0,1.1512725353240967
02-03-1989,10.0,0.0,60000,10.0,10.0,1.1512725353240967
03-03-1989,10.0,0.0,68000,10.0,10.0,1.1512725353240967
06-03-1989,10.0,0.0,83700,10.0,10.0,1.1512725353240967
07-03-1989,9.875,0.0,536900,10.0,9.875,1.1368813514709473
08-03-1989,9.875,0.0,36200,10.0,9.875,1.1368813514709473
09-03-1989,9.875,0.0,48400,10.0,9.875,1.1368813514709473
10-03-1989,9.875,0.0,800100,9.875,9.875,1.1368813514709473
13-03-1989,9.875,0.0,207600,9.875,9.875,1.1368813514709473
14-03-1989,9.875,0.0,68300,10.0,9.875,1.1368813514709473
15-03-1989,9.875,0.0,120300,10.0,9.875,1.1368813514709473
16-03-1989,9.875,0.0,156800,10.0,9.875,1.1368813514709473
17-03-1989,9.875,0.0,45100,10.0,9.875,1.1368813514709473
20-03-1989,9.875,0.0,115800,10.0,9.875,1.1368813514709473
21-03-1989,9.875,0.0,92300,10.0,9.875,1.1368813514709473
22-03-1989,9.75,0.0,109400,10.0,9.75,1.1224902868270874
23-03-1989,9.75,0.0,131100,9.875,9.75,1.1224902868270874
27-03-1989,9.75,0.0,83500,9.875,9.75,1.1224902868270874
28-03-1989,9.75,0.0,63500,9.875,9.75,1.1224902868270874
29-03-1989,9.75,0.0,79300,9.875,9.75,1.1224902868270874
30-03-1989,9.75,0.0,92900,9.875,9.75,1.1224902868270874
31-03-1989,9.75,0.0,42300,9.875,9.75,1.1224902868270874
03-04-1989,9.75,0.0,94300,9.875,9.875,1.1368813514709473
04-04-1989,9.875,0.0,93800,9.875,9.875,1.1368813514709473
05-04-1989,9.875,0.0,111900,10.0,10.0,1.1512725353240967
06-04-1989,9.875,0.0,140300,10.0,9.875,1.1368813514709473
07-04-1989,9.875,0.0,79000,10.0,10.0,1.1512725353240967
10-04-1989,9.875,0.0,100800,10.125,10.125,1.1656633615493774
11-04-1989,10.0,0.0,99500,10.125,10.0,1.1512725353240967
12-04-1989,10.0,0.0,129500,10.125,10.125,1.1656633615493774
13-04-1989,10.0,0.0,184600,10.125,10.0,1.1512725353240967
14-04-1989,9.875,0.0,185300,10.0,10.0,1.1547366380691528
17-04-1989,10.0,0.0,141400,10.125,10.125,1.169170618057251
18-04-1989,10.0,0.0,176900,10.125,10.125,1.169170618057251
19-04-1989,9.875,0.0,116800,10.125,9.875,1.1403021812438965
20-04-1989,9.625,0.0,29700,10.0,9.625,1.1114331483840942
21-04-1989,9.375,0.0,46900,9.75,9.375,1.082565426826477
24-04-1989,9.375,0.0,69400,9.625,9.5,1.0969990491867065
25-04-1989,9.5,0.0,38500,9.75,9.625,1.1114331483840942
26-04-1989,9.5,0.0,34300,9.75,9.75,1.1258678436279297
27-04-1989,9.625,0.0,30200,9.75,9.625,1.1114331483840942
28-04-1989,9.625,0.0,21700,9.75,9.75,1.1258678436279297
01-05-1989,9.625,0.0,28000,9.75,9.625,1.1114331483840942
02-05-1989,9.625,0.0,21800,9.75,9.625,1.1114331483840942
03-05-1989,9.625,0.0,23500,9.75,9.75,1.1258678436279297
04-05-1989,9.625,0.0,21700,9.75,9.625,1.1114331483840942
05-05-1989,9.625,0.0,43700,9.75,9.625,1.1114331483840942
08-05-1989,9.625,0.0,40400,9.75,9.75,1.1258678436279297
09-05-1989,9.625,0.0,40700,9.875,9.75,1.1258678436279297
10-05-1989,9.625,0.0,27700,9.875,9.625,1.1114331483840942
11-05-1989,9.625,0.0,25200,9.875,9.75,1.1258678436279297
12-05-1989,9.625,0.0,33300,9.875,9.75,1.1258678436279297
15-05-1989,9.625,0.0,33100,9.875,9.75,1.1258678436279297
16-05-1989,9.5,0.0,79300,9.75,9.625,1.1114331483840942
17-05-1989,9.5,0.0,47700,9.625,9.625,1.1114331483840942
18-05-1989,9.5,0.0,36600,9.625,9.625,1.1114331483840942
19-05-1989,9.5,0.0,62100,9.75,9.75,1.1258678436279297
22-05-1989,9.625,0.0,53300,9.875,9.625,1.1114331483840942
23-05-1989,9.625,0.0,42000,9.875,9.75,1.1258678436279297
24-05-1989,9.75,0.0,31200,9.875,9.75,1.1258678436279297
25-05-1989,9.75,0.0,25600,9.875,9.75,1.1258678436279297
26-05-1989,9.75,0.0,36000,10.0,10.0,1.1547366380691528
30-05-1989,9.75,0.0,71100,10.0,9.875,1.1403021812438965
31-05-1989,9.75,0.0,26800,9.875,9.875,1.1403021812438965
01-06-1989,9.75,0.0,36700,9.875,9.875,1.1403021812438965
02-06-1989,9.75,0.0,40600,9.875,9.75,1.1258678436279297
05-06-1989,9.75,0.0,45900,9.875,9.875,1.1403021812438965
06-06-1989,9.75,0.0,27100,9.875,9.875,1.1403021812438965
07-06-1989,9.75,0.0,68800,10.0,10.0,1.1547366380691528
08-06-1989,9.875,0.0,40400,10.0,10.0,1.1547366380691528
09-06-1989,9.875,0.0,57700,10.0,9.875,1.1403021812438965
12-06-1989,9.875,0.0,66800,10.0,10.0,1.1547366380691528
13-06-1989,9.875,0.0,47400,10.0,9.875,1.1403021812438965
14-06-1989,9.875,0.0,47500,10.0,9.875,1.1403021812438965
15-06-1989,9.75,0.0,35900,9.875,9.875,1.1403021812438965
16-06-1989,9.75,0.0,46100,9.875,9.875,1.1403021812438965
19-06-1989,9.75,0.0,19000,9.875,9.875,1.1403021812438965
20-06-1989,9.75,0.0,24000,9.875,9.875,1.1403021812438965
21-06-1989,9.625,0.0,125600,9.875,9.625,1.1114331483840942
22-06-1989,9.625,0.0,40200,9.75,9.75,1.1258678436279297
23-06-1989,9.625,0.0,36300,9.875,9.75,1.1258678436279297
26-06-1989,9.625,0.0,37400,9.875,9.75,1.1258678436279297
27-06-1989,9.625,0.0,24500,9.875,9.75,1.1258678436279297
28-06-1989,9.75,0.0,23700,9.875,9.875,1.1403021812438965
29-06-1989,9.625,0.0,33000,9.875,9.625,1.1114331483840942
30-06-1989,9.625,9.75,24800,9.75,9.75,1.1258678436279297
03-07-1989,9.75,9.75,10400,9.875,9.875,1.1403021812438965
05-07-1989,9.75,9.875,56400,9.875,9.75,1.1258678436279297
06-07-1989,9.75,9.875,32600,9.875,9.875,1.1403021812438965
07-07-1989,9.75,9.875,57100,10.0,10.0,1.1547366380691528
10-07-1989,9.75,10.0,73600,10.0,9.875,1.1403021812438965
11-07-1989,9.875,10.0,32800,10.0,10.0,1.1547366380691528
12-07-1989,9.875,10.0,44600,10.0,10.0,1.1547366380691528
13-07-1989,9.875,10.0,71800,10.0,10.0,1.1547366380691528
14-07-1989,9.875,9.875,50900,10.0,9.875,1.1403021812438965
17-07-1989,9.75,9.875,55200,10.0,9.875,1.1475074291229248
18-07-1989,9.75,9.875,63600,9.875,9.875,1.1475074291229248
19-07-1989,9.75,9.875,43600,9.875,9.75,1.1329814195632935
20-07-1989,9.75,9.875,36000,9.875,9.875,1.1475074291229248
21-07-1989,9.75,9.75,35700,9.875,9.875,1.1475074291229248
24-07-1989,9.75,9.875,40900,9.875,9.75,1.1329814195632935
25-07-1989,9.75,9.75,28700,10.0,10.0,1.1620320081710815
26-07-1989,9.75,9.75,30200,10.0,9.875,1.1475074291229248
27-07-1989,9.75,9.875,19600,10.0,10.0,1.1620320081710815
28-07-1989,9.75,9.875,26200,10.0,9.875,1.1475074291229248
31-07-1989,9.75,9.875,30100,10.0,9.875,1.1475074291229248
01-08-1989,9.875,10.0,36200,10.0,10.0,1.1620320081710815
02-08-1989,9.875,10.0,32200,10.0,9.875,1.1475074291229248
03-08-1989,9.875,10.0,48600,10.0,10.0,1.1620320081710815
04-08-1989,9.875,10.0,40300,10.0,10.0,1.1620320081710815
07-08-1989,9.875,10.0,47900,10.0,10.0,1.1620320081710815
08-08-1989,9.875,10.0,37600,10.0,9.875,1.1475074291229248
09-08-1989,9.875,10.0,58100,10.0,10.0,1.1620320081710815
10-08-1989,9.875,10.0,22800,10.0,10.0,1.1620320081710815
11-08-1989,9.875,10.0,36800,10.0,10.0,1.1620320081710815
14-08-1989,9.875,10.0,41000,10.25,9.875,1.1475074291229248
15-08-1989,9.875,9.875,58300,10.0,10.0,1.1693742275238037
16-08-1989,9.875,10.0,46200,10.0,10.0,1.1693742275238037
17-08-1989,9.875,10.0,32900,10.0,9.875,1.154756784439087
18-08-1989,9.75,10.0,73000,10.0,9.875,1.154756784439087
21-08-1989,9.75,9.75,49900,10.0,9.75,1.140139102935791
22-08-1989,9.75,9.75,43300,9.875,9.875,1.154756784439087
23-08-1989,9.75,9.75,34700,10.125,9.75,1.140139102935791
24-08-1989,9.75,9.875,18200,10.0,9.875,1.154756784439087
25-08-1989,9.75,9.875,46400,10.0,9.875,1.154756784439087
28-08-1989,9.875,9.875,23500,10.0,9.875,1.154756784439087
29-08-1989,9.875,9.875,47700,10.0,10.0,1.1693742275238037
30-08-1989,9.75,10.0,38400,10.0,10.0,1.1693742275238037
31-08-1989,9.875,10.0,34600,10.0,9.875,1.154756784439087
01-09-1989,9.875,9.875,20500,10.0,10.0,1.1693742275238037
05-09-1989,9.875,10.0,41800,10.0,9.875,1.154756784439087
06-09-1989,9.875,10.0,20700,10.0,9.875,1.154756784439087
07-09-1989,9.75,9.75,31800,9.875,9.75,1.140139102935791
08-09-1989,9.75,9.75,28600,9.875,9.75,1.140139102935791
11-09-1989,9.75,9.75,40400,10.0,9.75,1.140139102935791
12-09-1989,9.75,9.875,27100,10.0,9.875,1.154756784439087
13-09-1989,9.75,10.0,38000,10.0,9.875,1.154756784439087
14-09-1989,9.625,9.75,51200,9.75,9.75,1.1473432779312134
15-09-1989,9.625,9.625,36000,9.75,9.75,1.1473432779312134
18-09-1989,9.625,9.625,40600,9.75,9.75,1.1473432779312134
19-09-1989,9.625,9.875,28700,9.875,9.875,1.1620523929595947
20-09-1989,9.625,9.75,46900,9.875,9.625,1.1326321363449097
21-09-1989,9.625,9.75,50700,9.75,9.625,1.1326321363449097
22-09-1989,9.625,9.625,35100,9.75,9.625,1.1326321363449097
25-09-1989,9.625,9.625,19900,9.75,9.75,1.1473432779312134
26-09-1989,9.625,9.75,13900,9.75,9.625,1.1326321363449097
27-09-1989,9.625,9.625,29700,9.75,9.75,1.1473432779312134
28-09-1989,9.625,9.75,17400,9.75,9.625,1.1326321363449097
29-09-1989,9.625,9.75,24500,9.75,9.75,1.1473432779312134
02-10-1989,9.625,9.625,20900,9.875,9.625,1.1326321363449097
03-10-1989,9.625,9.75,30100,9.875,9.875,1.1620523929595947
04-10-1989,9.75,9.875,42800,9.875,9.75,1.1473432779312134
05-10-1989,9.75,9.875,29100,9.875,9.875,1.1620523929595947
06-10-1989,9.75,9.75,15500,9.875,9.75,1.1473432779312134
09-10-1989,9.75,9.75,44700,9.875,9.75,1.1473432779312134
10-10-1989,9.75,9.75,49900,9.875,9.875,1.1620523929595947
11-10-1989,9.75,9.75,20100,9.875,9.75,1.1473432779312134
12-10-1989,9.625,9.875,60300,9.875,9.625,1.1326321363449097
13-10-1989,9.625,9.625,12700,9.75,9.625,1.1326321363449097
16-10-1989,9.5,9.625,50100,9.75,9.75,1.1547815799713135
17-10-1989,9.5,9.625,57600,9.75,9.5,1.1251718997955322
18-10-1989,9.5,9.625,27000,9.75,9.5,1.1251718997955322
19-10-1989,9.5,9.625,18300,9.75,9.625,1.1399767398834229
20-10-1989,9.625,9.75,23400,9.75,9.75,1.1547815799713135
23-10-1989,9.625,9.75,17500,9.75,9.75,1.1547815799713135
24-10-1989,9.625,9.75,35100,9.75,9.625,1.1399767398834229
25-10-1989,9.625,9.75,20400,9.75,9.75,1.1547815799713135
26-10-1989,9.625,9.75,48800,9.75,9.625,1.1399767398834229
27-10-1989,9.625,9.75,29300,9.75,9.625,1.1399767398834229
30-10-1989,9.625,9.75,24100,9.75,9.625,1.1399767398834229
31-10-1989,9.5,9.625,31700,9.625,9.5,1.1251718997955322
01-11-1989,9.5,9.5,118900,9.75,9.625,1.1399767398834229
02-11-1989,9.625,9.625,30600,9.75,9.625,1.1399767398834229
03-11-1989,9.5,9.75,40300,9.75,9.75,1.1547815799713135
06-11-1989,9.5,9.75,48700,9.75,9.625,1.1399767398834229
07-11-1989,9.5,9.625,36600,9.75,9.625,1.1399767398834229
08-11-1989,9.5,9.625,35000,9.625,9.5,1.1251718997955322
09-11-1989,9.5,9.625,48000,9.75,9.5,1.1251718997955322
10-11-1989,9.5,9.5,31400,9.625,9.625,1.1399767398834229
13-11-1989,9.5,9.625,30200,9.75,9.625,1.1399767398834229
14-11-1989,9.375,9.5,73300,9.625,9.5,1.132466435432434
15-11-1989,9.375,9.625,30100,9.625,9.375,1.1175646781921387
16-11-1989,9.5,9.5,35900,9.625,9.5,1.132466435432434
17-11-1989,9.5,9.625,24400,9.625,9.625,1.1473674774169922
20-11-1989,9.5,9.625,23300,9.625,9.625,1.1473674774169922
21-11-1989,9.5,9.625,45600,9.625,9.5,1.132466435432434
22-11-1989,9.5,9.5,20000,9.625,9.625,1.1473674774169922
24-11-1989,9.625,9.625,13000,9.75,9.625,1.1473674774169922
27-11-1989,9.5,9.5,33900,9.75,9.625,1.1473674774169922
28-11-1989,9.625,9.75,33700,9.75,9.75,1.1622684001922607
29-11-1989,9.625,9.625,42700,9.75,9.75,1.1622684001922607
30-11-1989,9.625,9.75,36300,9.75,9.75,1.1622684001922607
01-12-1989,9.625,9.625,54400,9.75,9.625,1.1473674774169922
04-12-1989,9.625,9.625,21200,9.75,9.75,1.1622684001922607
05-12-1989,9.625,9.75,37200,9.75,9.75,1.1622684001922607
06-12-1989,9.625,9.625,48400,9.75,9.625,1.1473674774169922
07-12-1989,9.625,9.625,42000,9.75,9.625,1.1473674774169922
08-12-1989,9.625,9.75,23800,9.75,9.75,1.1622684001922607
11-12-1989,9.625,9.75,28600,9.75,9.625,1.1473674774169922
12-12-1989,9.625,9.625,59100,9.75,9.75,1.1622684001922607
13-12-1989,9.625,9.75,36400,9.75,9.75,1.1622684001922607
14-12-1989,9.5,9.625,53600,9.625,9.625,1.1576975584030151
15-12-1989,9.5,9.625,55600,9.625,9.5,1.142662525177002
18-12-1989,9.375,9.5,74100,9.625,9.375,1.1276277303695679
19-12-1989,9.375,9.5,63200,9.5,9.5,1.142662525177002
20-12-1989,9.375,9.5,21700,9.625,9.625,1.1576975584030151
21-12-1989,9.375,9.625,80200,9.625,9.5,1.142662525177002
22-12-1989,9.375,9.5,23900,9.5,9.5,1.142662525177002
26-12-1989,9.375,9.375,21400,9.5,9.5,1.142662525177002
27-12-1989,9.375,9.5,31800,9.5,9.375,1.1276277303695679
28-12-1989,9.375,9.5,107500,9.5,9.5,1.142662525177002
29-12-1989,9.375,9.5,52300,9.5,9.5,1.142662525177002
02-01-1990,9.375,9.5,24400,9.5,9.5,1.142662525177002
03-01-1990,9.375,9.375,24500,9.5,9.5,1.142662525177002
04-01-1990,9.375,9.5,59100,9.625,9.625,1.1576975584030151
05-01-1990,9.5,9.625,186900,9.875,9.75,1.172732949256897
08-01-1990,9.75,9.875,57400,9.875,9.875,1.1877670288085938
09-01-1990,9.75,9.875,34300,9.875,9.875,1.1877670288085938
10-01-1990,9.75,9.75,33400,9.875,9.75,1.172732949256897
11-01-1990,9.75,9.75,30500,9.875,9.75,1.172732949256897
12-01-1990,9.75,9.875,37400,9.875,9.75,1.172732949256897
15-01-1990,9.75,9.875,34000,9.875,9.75,1.172732949256897
16-01-1990,9.625,9.75,50500,9.875,9.75,1.1802388429641724
17-01-1990,9.75,9.75,45900,9.875,9.75,1.1802388429641724
18-01-1990,9.75,9.875,58000,9.875,9.75,1.1802388429641724
19-01-1990,9.75,9.75,56200,9.875,9.75,1.1802388429641724
22-01-1990,9.75,9.75,27600,9.875,9.75,1.1802388429641724
23-01-1990,9.75,9.75,46700,9.875,9.75,1.1802388429641724
24-01-1990,9.75,9.75,33000,9.875,9.75,1.1802388429641724
25-01-1990,9.625,9.75,28400,9.75,9.75,1.1802388429641724
26-01-1990,9.625,9.625,45400,9.75,9.75,1.1802388429641724
29-01-1990,9.625,9.625,38600,9.75,9.625,1.1651068925857544
30-01-1990,9.625,9.75,24600,9.75,9.625,1.1651068925857544
31-01-1990,9.625,9.75,34400,9.75,9.75,1.1802388429641724
01-02-1990,9.625,9.75,33100,9.75,9.625,1.1651068925857544
02-02-1990,9.625,9.75,31600,9.75,9.75,1.1802388429641724
05-02-1990,9.5,9.75,46200,9.75,9.625,1.1651068925857544
06-02-1990,9.5,9.5,48900,9.625,9.625,1.1651068925857544
07-02-1990,9.375,9.625,63000,9.625,9.375,1.1348439455032349
08-02-1990,9.375,9.375,40400,9.5,9.375,1.1348439455032349
09-02-1990,9.375,9.5,33300,9.625,9.5,1.1499743461608887
12-02-1990,9.5,9.625,52200,9.625,9.5,1.1499743461608887
13-02-1990,9.375,9.5,41100,9.625,9.625,1.1727591753005981
14-02-1990,9.5,9.5,16300,9.625,9.5,1.1575288772583008
15-02-1990,9.375,9.5,45200,9.625,9.375,1.142298698425293
16-02-1990,9.375,9.5,45000,9.5,9.5,1.1575288772583008
20-02-1990,9.375,9.5,25600,9.5,9.5,1.1575288772583008
21-02-1990,9.25,9.5,111200,9.5,9.375,1.142298698425293
22-02-1990,9.25,9.25,65500,9.5,9.375,1.142298698425293
23-02-1990,9.375,9.5,25100,9.5,9.5,1.1575288772583008
26-02-1990,9.375,9.375,41300,9.5,9.375,1.142298698425293
27-02-1990,9.375,9.375,26100,9.5,9.5,1.1575288772583008
28-02-1990,9.375,9.5,62600,9.5,9.5,1.1575288772583008
01-03-1990,9.375,9.5,35000,9.5,9.375,1.142298698425293
02-03-1990,9.375,9.5,60100,9.5,9.5,1.1575288772583008
05-03-1990,9.375,9.5,37200,9.625,9.625,1.1727591753005981
06-03-1990,9.5,9.5,26700,9.625,9.5,1.1575288772583008
07-03-1990,9.5,9.5,19600,9.625,9.5,1.1575288772583008
08-03-1990,9.5,9.625,45700,9.625,9.5,1.1575288772583008
09-03-1990,9.5,9.5,42000,9.625,9.625,1.1727591753005981
12-03-1990,9.5,9.625,33300,9.625,9.625,1.1727591753005981
13-03-1990,9.5,9.5,45600,9.625,9.625,1.1727591753005981
14-03-1990,9.375,9.5,95200,9.5,9.5,1.1650339365005493
15-03-1990,9.25,9.375,15200,9.5,9.5,1.1650339365005493
16-03-1990,9.375,9.5,61800,9.5,9.5,1.1650339365005493
19-03-1990,9.375,9.375,24700,9.5,9.5,1.1650339365005493
20-03-1990,9.25,9.5,87900,9.5,9.25,1.1343756914138794
21-03-1990,9.25,9.25,43500,9.375,9.375,1.1497036218643188
22-03-1990,9.25,9.25,45200,9.375,9.25,1.1343756914138794
23-03-1990,9.25,9.375,22400,9.375,9.25,1.1343756914138794
26-03-1990,9.25,9.25,9200,9.375,9.25,1.1343756914138794
27-03-1990,9.25,9.375,25400,9.375,9.25,1.1343756914138794
28-03-1990,9.25,9.375,52800,9.375,9.25,1.1343756914138794
29-03-1990,9.25,9.375,30200,9.375,9.25,1.1343756914138794
30-03-1990,9.25,9.375,116600,9.375,9.375,1.1497036218643188
02-04-1990,9.125,9.25,73600,9.375,9.25,1.1343756914138794
03-04-1990,8.875,9.125,140700,9.25,9.0,1.1037166118621826
04-04-1990,8.875,9.0,66600,9.0,9.0,1.1037166118621826
05-04-1990,9.0,9.0,123400,9.125,9.125,1.1190470457077026
06-04-1990,9.0,9.0,34300,9.25,9.125,1.1190470457077026
09-04-1990,9.125,9.125,47600,9.25,9.25,1.1343756914138794
10-04-1990,9.125,9.25,97800,9.375,9.25,1.1343756914138794
11-04-1990,9.125,9.125,57700,9.25,9.125,1.1190470457077026
12-04-1990,9.125,9.25,72000,9.25,9.25,1.1343756914138794
16-04-1990,9.0,9.125,49400,9.25,9.25,1.142030119895935
17-04-1990,9.125,9.25,58700,9.375,9.25,1.142030119895935
18-04-1990,9.25,9.25,42700,9.375,9.375,1.1574616432189941
19-04-1990,9.125,9.25,44100,9.375,9.375,1.1574616432189941
20-04-1990,9.125,9.25,60600,9.375,9.25,1.142030119895935
23-04-1990,9.125,9.25,36700,9.375,9.25,1.142030119895935
24-04-1990,9.125,9.25,46800,9.25,9.25,1.142030119895935
25-04-1990,9.125,9.25,51000,9.25,9.25,1.142030119895935
26-04-1990,9.125,9.25,35300,9.375,9.125,1.1265982389450073
27-04-1990,9.125,9.25,40800,9.25,9.125,1.1265982389450073
30-04-1990,9.125,9.25,26200,9.25,9.25,1.142030119895935
01-05-1990,9.0,9.125,110700,9.25,9.125,1.1265982389450073
02-05-1990,9.0,9.0,97000,9.125,9.0,1.1111644506454468
03-05-1990,8.875,9.125,63100,9.125,9.0,1.1111644506454468
04-05-1990,8.875,9.125,50300,9.125,9.0,1.1111644506454468
07-05-1990,8.875,9.0,56700,9.125,9.0,1.1111644506454468
08-05-1990,9.0,9.0,43800,9.125,9.125,1.1265982389450073
09-05-1990,8.875,9.125,38300,9.125,8.875,1.0957322120666504
10-05-1990,8.875,8.875,49900,9.125,9.125,1.1265982389450073
11-05-1990,9.0,9.125,45100,9.125,9.125,1.1265982389450073
14-05-1990,9.0,9.125,45700,9.125,9.125,1.1265982389450073
15-05-1990,8.875,9.0,47100,9.125,8.875,1.1032280921936035
16-05-1990,8.875,8.875,54200,9.0,9.0,1.1187658309936523
