,Date,Low,Open,Volume,High,Close,Adjusted Close,SYMBOL
0,27-02-1998,17.375,17.375,50000,18.0,17.375,14.499489784240724,AMT
1,02-03-1998,17.0,17.25,75000,17.25,17.25,14.395177841186525,AMT
2,03-03-1998,16.75,17.125,35000,17.125,17.125,14.290867805480955,AMT
3,04-03-1998,15.5,15.75,60000,15.75,15.75,13.14342212677002,AMT
4,05-03-1998,16.125,16.125,400,16.125,16.125,13.456360816955565,AMT
5,06-03-1998,16.125,16.125,3600,16.375,16.125,13.456360816955565,AMT
6,09-03-1998,15.875,16.125,3200,16.5,15.875,13.247735023498535,AMT
7,10-03-1998,15.875,15.875,56800,16.875,16.25,13.560673713684082,AMT
8,11-03-1998,16.125,16.25,10400,16.5,16.25,13.560673713684082,AMT
9,12-03-1998,16.125,16.25,3800,16.375,16.375,13.66498565673828,AMT
10,13-03-1998,16.5,16.5,1000,16.5,16.5,13.769295692443848,AMT
11,16-03-1998,16.125,16.5,7700,16.5,16.125,13.456360816955565,AMT
12,17-03-1998,15.75,16.125,28000,16.125,15.875,13.247735023498535,AMT
13,18-03-1998,15.75,15.875,45700,16.125,16.125,13.456360816955565,AMT
14,19-03-1998,16.0,16.125,383600,17.375,17.125,14.290867805480955,AMT
15,20-03-1998,17.25,17.25,275600,17.75,17.75,14.812427520751953,AMT
16,23-03-1998,17.375,17.75,398600,19.0,18.875,15.75124454498291,AMT
17,24-03-1998,18.875,18.875,261800,19.875,19.75,16.481435775756836,AMT
18,25-03-1998,19.5,19.75,135600,20.125,19.875,16.585744857788086,AMT
19,26-03-1998,19.25,19.875,26300,19.875,19.625,16.377120971679688,AMT
20,27-03-1998,18.375,19.625,62200,19.75,19.25,16.064186096191403,AMT
21,30-03-1998,19.25,19.25,49500,19.875,19.875,16.585744857788086,AMT
22,31-03-1998,19.875,19.875,79000,20.25,20.125,16.794374465942386,AMT
23,01-04-1998,20.0,20.125,150100,20.625,20.5,17.10731315612793,AMT
24,02-04-1998,21.75,21.75,140500,23.375,23.25,19.40219116210937,AMT
25,03-04-1998,21.75,23.25,458700,26.125,24.75,20.65394592285156,AMT
26,06-04-1998,23.0,24.75,105300,26.0,24.0,20.028072357177734,AMT
27,07-04-1998,22.125,24.0,152800,24.0,22.125,18.463380813598636,AMT
28,08-04-1998,21.0,22.125,45100,23.0,22.5,18.77631378173828,AMT
29,09-04-1998,22.25,22.5,151400,23.0,23.0,19.19356918334961,AMT
30,13-04-1998,22.375,23.0,85900,23.25,22.625,18.880630493164066,AMT
31,14-04-1998,22.5,22.625,322900,23.0,22.75,18.984939575195312,AMT
32,15-04-1998,21.5,22.75,23100,22.875,21.75,18.15043830871582,AMT
33,16-04-1998,20.875,21.75,55400,21.75,21.25,17.73318862915039,AMT
34,17-04-1998,21.0,21.25,15100,21.625,21.625,18.046123504638672,AMT
35,20-04-1998,21.25,21.625,92900,22.125,22.125,18.463380813598636,AMT
36,21-04-1998,21.75,22.125,23100,22.125,22.125,18.463380813598636,AMT
37,22-04-1998,22.125,22.125,60900,23.625,23.0,19.19356918334961,AMT
38,23-04-1998,23.0,23.0,242300,23.5,23.5,19.610820770263672,AMT
39,24-04-1998,22.0,23.5,100900,23.625,22.0,18.359066009521484,AMT
40,27-04-1998,19.875,22.0,52200,22.5,20.875,17.420246124267578,AMT
41,28-04-1998,20.75,20.875,29100,21.875,21.5,17.941816329956055,AMT
42,29-04-1998,21.0,21.5,101300,22.5,22.5,18.77631378173828,AMT
43,30-04-1998,22.375,22.5,116300,23.25,23.0,19.19356918334961,AMT
44,01-05-1998,22.0,23.0,61000,23.125,22.125,18.463380813598636,AMT
45,04-05-1998,21.25,22.125,58400,22.25,21.625,18.046123504638672,AMT
46,05-05-1998,20.75,21.625,44000,21.75,21.25,17.73318862915039,AMT
47,06-05-1998,20.875,21.25,47300,22.0,22.0,18.359066009521484,AMT
48,07-05-1998,21.375,22.0,230900,22.125,21.375,17.83750343322754,AMT
49,08-05-1998,21.75,21.75,320700,22.75,22.625,18.880630493164066,AMT
50,11-05-1998,22.25,22.625,375200,22.75,22.375,18.67200469970703,AMT
51,12-05-1998,22.0,22.375,333300,22.625,22.0,18.359066009521484,AMT
52,13-05-1998,22.125,22.125,88100,22.625,22.375,18.67200469970703,AMT
53,14-05-1998,22.0,22.375,35600,22.5,22.5,18.77631378173828,AMT
54,15-05-1998,21.5,22.5,69200,22.5,22.0,18.359066009521484,AMT
55,18-05-1998,21.0,22.0,53200,22.125,21.5,17.941816329956055,AMT
56,19-05-1998,21.5,21.5,21000,22.0,22.0,18.359066009521484,AMT
57,20-05-1998,21.0,22.0,14100,22.0,21.0,17.52456283569336,AMT
58,21-05-1998,19.5,21.0,116400,21.125,21.125,17.628873825073242,AMT
59,22-05-1998,20.25,20.75,45100,20.75,20.625,17.211627960205078,AMT
60,26-05-1998,19.125,20.625,119500,21.0,19.5,16.272808074951172,AMT
61,27-05-1998,18.75,19.5,91100,19.5,19.25,16.064186096191403,AMT
62,28-05-1998,18.75,19.25,163600,20.5,20.5,17.10731315612793,AMT
63,29-05-1998,20.5,20.5,121900,22.5,22.5,18.77631378173828,AMT
64,01-06-1998,22.0,22.5,258500,22.5,22.125,18.463380813598636,AMT
65,02-06-1998,22.125,22.125,123400,22.5,22.375,18.67200469970703,AMT
66,03-06-1998,20.75,22.375,180600,22.5,20.75,17.31593894958496,AMT
67,04-06-1998,20.0,20.75,263200,21.0,20.75,17.31593894958496,AMT
68,05-06-1998,21.0,21.0,290100,23.0,22.875,19.089256286621094,AMT
69,08-06-1998,22.5,23.25,2718000,23.625,23.0,19.19356918334961,AMT
70,09-06-1998,22.0,23.0,604900,23.0,22.375,18.67200469970703,AMT
71,10-06-1998,22.5,22.5,149300,23.125,22.875,19.089256286621094,AMT
72,11-06-1998,22.5625,22.875,697400,23.0625,23.0,19.19356918334961,AMT
