,Date,Low,Open,Volume,High,Close,Adjusted Close,SYMBOL
0,01-10-1999,14.0,14.0,3162400,14.25,14.125,9.388887405395508,BLK
1,04-10-1999,14.0,14.125,533400,14.125,14.0,9.305797576904297,BLK
2,05-10-1999,14.0,14.0,270600,14.125,14.125,9.388887405395508,BLK
3,06-10-1999,14.125,14.125,205400,14.875,14.875,9.887410163879396,BLK
4,07-10-1999,14.0625,14.875,214200,14.875,14.125,9.388887405395508,BLK
5,08-10-1999,14.0625,14.1875,65600,14.1875,14.0625,9.347344398498537,BLK
6,11-10-1999,14.0,14.0625,77500,14.125,14.0625,9.347344398498537,BLK
7,12-10-1999,14.0,14.0625,49200,14.125,14.125,9.388887405395508,BLK
8,13-10-1999,14.0,14.125,49900,14.375,14.0625,9.347344398498537,BLK
9,14-10-1999,13.25,14.0,430900,14.0625,13.625,9.05653476715088,BLK
10,15-10-1999,12.6875,13.125,158200,13.1875,13.0625,8.682646751403809,BLK
11,18-10-1999,12.5,13.0,83800,13.0,12.8125,8.516468048095701,BLK
12,19-10-1999,12.75,12.75,58200,13.25,13.25,8.807272911071777,BLK
13,20-10-1999,13.125,13.375,62600,13.5,13.125,8.724188804626465,BLK
14,21-10-1999,13.0,13.125,98200,13.4375,13.4375,8.931906700134277,BLK
15,22-10-1999,13.3125,13.375,191200,13.5625,13.5,8.97344970703125,BLK
16,25-10-1999,13.4375,13.4375,153100,13.9375,13.9375,9.264257431030273,BLK
17,26-10-1999,13.8125,13.8125,65600,14.125,14.0,9.305797576904297,BLK
18,27-10-1999,14.0,14.0,100900,14.1875,14.0625,9.347344398498537,BLK
19,28-10-1999,14.125,14.1875,255300,14.5,14.125,9.388887405395508,BLK
20,29-10-1999,14.125,14.125,123200,15.25,15.25,10.136675834655762,BLK
21,01-11-1999,14.625,15.0,41800,15.0,14.75,9.804322242736816,BLK
22,02-11-1999,14.3125,14.75,66600,14.875,14.75,9.804322242736816,BLK
23,03-11-1999,14.6875,14.6875,18500,14.875,14.75,9.804322242736816,BLK
24,04-11-1999,14.5,14.875,72100,15.125,14.9375,9.92895221710205,BLK
25,05-11-1999,14.875,15.0,122900,15.875,15.75,10.469022750854492,BLK
26,08-11-1999,15.8125,15.875,240000,17.375,16.625,11.05063533782959,BLK
27,09-11-1999,16.125,16.75,42400,16.75,16.125,10.718287467956543,BLK
28,10-11-1999,15.8125,16.0,59900,16.125,16.0625,10.67674446105957,BLK
29,11-11-1999,16.0625,16.0625,20000,16.25,16.125,10.718287467956543,BLK
30,12-11-1999,16.25,16.25,248500,18.5,18.0,11.964597702026367,BLK
31,15-11-1999,17.5,18.1875,99200,18.1875,17.6875,11.756877899169922,BLK
32,16-11-1999,17.375,17.6875,95300,17.6875,17.4375,11.590703964233398,BLK
33,17-11-1999,17.25,17.6875,107900,18.25,17.5,11.632246971130373,BLK
34,18-11-1999,17.25,17.5,67500,17.5,17.25,11.466068267822266,BLK
35,19-11-1999,17.1875,17.25,31200,17.75,17.625,11.71533489227295,BLK
36,22-11-1999,17.5625,17.5625,36500,17.875,17.8125,11.839961051940918,BLK
37,23-11-1999,17.8125,17.8125,65500,19.375,19.125,12.712383270263672,BLK
38,24-11-1999,18.375,19.0,53800,19.0,18.5625,12.338488578796387,BLK
39,26-11-1999,18.375,18.5,2600,18.5,18.4375,12.255401611328125,BLK
40,29-11-1999,17.875,18.375,20200,18.375,18.125,12.047683715820312,BLK
41,30-11-1999,18.1875,18.1875,38100,18.5,18.375,12.213865280151367,BLK
42,01-12-1999,18.25,18.375,43800,18.625,18.5625,12.338488578796387,BLK
43,02-12-1999,18.5625,18.5625,33200,19.0,19.0,12.629302978515625,BLK
44,03-12-1999,19.0625,19.125,62000,19.375,19.1875,12.75393009185791,BLK
45,06-12-1999,18.25,19.1875,38200,19.1875,18.375,12.213865280151367,BLK
46,07-12-1999,18.4375,18.5,112500,19.0,18.625,12.380034446716307,BLK
47,08-12-1999,18.0,18.5,27700,18.5,18.1875,12.089226722717285,BLK
48,09-12-1999,18.125,18.25,15500,18.375,18.25,12.130772590637207,BLK
49,10-12-1999,17.625,18.125,22400,18.125,17.625,11.71533489227295,BLK
50,13-12-1999,17.4375,17.75,44500,18.0,17.4375,11.590703964233398,BLK
51,14-12-1999,17.0625,17.25,19400,17.25,17.125,11.382981300354006,BLK
52,15-12-1999,16.875,17.125,11100,17.125,17.125,11.382981300354006,BLK
