Date,Low,Open,Volume,High,Close,Adjusted Close
02-01-1998,42.375,43.0,444000,43.0625,42.8125,13.346832275390625
05-01-1998,42.0625,43.0625,564300,43.125,42.5,13.249410629272461
06-01-1998,41.75,42.125,253600,42.1875,41.875,13.05456829071045
07-01-1998,40.875,41.875,358100,41.875,41.5,12.937660217285156
08-01-1998,40.75,41.5625,325100,41.5625,41.0,12.781785011291504
09-01-1998,40.9375,40.9375,306600,41.8125,41.375,12.898691177368164
12-01-1998,41.0,41.125,268300,41.8125,41.75,13.015592575073242
13-01-1998,41.1875,41.75,193300,41.75,41.4375,12.91817855834961
14-01-1998,41.125,41.4375,139500,41.4375,41.25,12.859722137451172
15-01-1998,40.25,41.1875,155400,41.1875,40.3125,12.567451477050781
16-01-1998,40.4375,40.625,251100,40.8125,40.5,12.625907897949219
20-01-1998,36.5,37.5,1051500,37.625,37.0625,11.554266929626465
21-01-1998,35.75,36.875,1026300,36.875,36.8125,11.476326942443848
22-01-1998,36.125,36.375,492700,36.625,36.375,11.339938163757324
23-01-1998,35.625,36.125,323500,36.375,36.0,11.223030090332031
26-01-1998,35.5625,36.0625,273000,36.25,36.1875,11.281486511230469
27-01-1998,35.8125,36.1875,563700,36.4375,36.25,11.300972938537598
28-01-1998,36.0625,36.0625,284000,36.5,36.5,11.378907203674316
29-01-1998,36.375,36.5,383800,37.0,36.75,11.456844329833984
30-01-1998,36.5625,36.75,486500,36.875,36.625,11.417876243591309
02-02-1998,36.5,36.75,233000,36.875,36.6875,11.437359809875488
03-02-1998,36.375,36.625,189200,36.8125,36.625,11.417876243591309
04-02-1998,36.25,36.625,557800,36.625,36.5,11.378907203674316
05-02-1998,36.625,36.9375,210000,37.125,36.9375,11.515301704406738
06-02-1998,36.75,37.0,251100,37.5625,37.5625,11.710145950317383
09-02-1998,37.4375,37.4375,271700,37.9375,37.875,11.807564735412598
10-02-1998,37.8125,37.8125,357200,38.3125,37.9375,11.827049255371094
11-02-1998,37.625,37.8125,280600,37.875,37.75,11.768598556518555
12-02-1998,37.375,37.5,496100,37.9375,37.8125,11.788076400756836
13-02-1998,37.4375,37.625,181800,37.875,37.5,11.690658569335938
17-02-1998,37.125,37.4375,360600,38.0,38.0,11.84653377532959
18-02-1998,37.9375,38.0,267600,38.25,38.0,11.84653377532959
19-02-1998,38.0,38.0,386300,38.1875,38.1875,11.904986381530762
20-02-1998,37.8125,38.125,798600,38.3125,38.3125,11.943951606750488
23-02-1998,38.0625,38.3125,347100,38.625,38.625,12.041378021240234
24-02-1998,38.125,38.4375,228500,38.5,38.5,12.002412796020508
25-02-1998,38.375,38.5625,342500,38.75,38.375,11.963443756103516
26-02-1998,38.0625,38.25,152800,38.4375,38.1875,11.904986381530762
27-02-1998,38.0625,38.125,218800,38.484375,38.4375,11.982924461364746
02-03-1998,38.1875,38.1875,219700,38.5,38.4375,11.982924461364746
03-03-1998,38.375,38.4375,416300,38.5,38.4375,11.982924461364746
04-03-1998,38.25,38.375,146700,38.5,38.375,11.963443756103516
05-03-1998,38.125,38.1875,293600,38.4375,38.3125,11.943951606750488
06-03-1998,37.375,37.375,3544900,38.125,38.125,12.0858154296875
09-03-1998,37.75,38.0,309000,38.0625,37.8125,11.986746788024902
10-03-1998,37.75,37.8125,290000,38.25,38.125,12.0858154296875
11-03-1998,38.0625,38.0625,543800,38.875,38.75,12.283941268920898
12-03-1998,38.4375,38.75,241700,38.75,38.5625,12.22450065612793
13-03-1998,38.375,38.4375,425000,38.75,38.6875,12.264129638671875
16-03-1998,38.625,38.6875,395400,39.6875,39.5,12.521700859069824
17-03-1998,39.5,39.5,351500,40.3125,40.3125,12.779257774353027
18-03-1998,40.125,40.125,668800,41.0,40.875,12.957572937011719
19-03-1998,40.625,40.75,431500,41.5,41.5,13.155706405639648
20-03-1998,41.625,41.75,521300,42.4375,42.3125,13.41326904296875
23-03-1998,41.8125,42.25,293400,42.3125,42.0625,13.334024429321289
24-03-1998,41.75,42.0,291300,42.25,42.0625,13.334024429321289
25-03-1998,41.875,42.0,222000,42.4375,42.4375,13.452899932861328
26-03-1998,41.875,42.375,452000,42.375,41.9375,13.294402122497559
27-03-1998,41.0625,41.6875,412800,41.8125,41.375,13.11607837677002
30-03-1998,41.25,41.375,366000,41.8125,41.5,13.155706405639648
31-03-1998,41.125,41.25,414900,42.25,42.125,13.353830337524414
01-04-1998,41.625,42.1875,200100,42.1875,42.0,13.314204216003418
02-04-1998,41.8125,41.875,386000,42.1875,42.1875,13.373648643493652
03-04-1998,42.0,42.1875,254700,42.5625,42.5,13.472709655761719
06-04-1998,42.0625,42.3125,179800,42.375,42.1875,13.373648643493652
07-04-1998,41.625,42.0625,235300,42.0625,41.8125,13.254768371582031
08-04-1998,41.5,41.6875,453200,41.875,41.875,13.274581909179688
09-04-1998,41.3125,41.8125,731700,41.875,41.875,13.274581909179688
13-04-1998,41.625,42.0,796600,42.0,41.8125,13.254768371582031
14-04-1998,41.5625,41.6875,526400,42.3125,42.25,13.393458366394043
15-04-1998,42.0,42.125,357100,42.5,42.3125,13.41326904296875
16-04-1998,41.75,42.0625,325300,42.0625,41.9375,13.294402122497559
17-04-1998,41.5625,41.9375,287900,42.125,42.125,13.353830337524414
20-04-1998,41.5625,41.9375,149800,41.9375,41.6875,13.215143203735352
21-04-1998,41.0625,41.5,373900,41.5,41.3125,13.096264839172363
22-04-1998,41.0,41.1875,285400,41.25,41.0,12.99720573425293
23-04-1998,39.75,41.0625,387700,41.3125,39.75,12.600944519042969
24-04-1998,39.4375,39.75,398800,40.5625,39.875,12.640573501586914
27-04-1998,38.1875,39.75,128000,39.875,39.5625,12.541511535644531
28-04-1998,39.0625,39.625,592600,39.6875,39.25,12.442442893981934
29-04-1998,38.875,39.375,242900,39.375,39.0625,12.38300895690918
30-04-1998,39.1875,39.1875,442400,39.875,39.625,12.561322212219238
01-05-1998,39.25,39.6875,258000,39.6875,39.3125,12.462259292602539
04-05-1998,39.0,39.4375,175300,39.5,39.25,12.442442893981934
05-05-1998,38.5625,39.0625,165800,39.1875,38.9375,12.343382835388184
06-05-1998,38.75,39.125,135300,39.125,39.0,12.363187789916992
07-05-1998,38.875,38.875,118300,39.0,39.0,12.363187789916992
08-05-1998,38.625,38.875,163500,39.0625,38.8125,12.303752899169922
11-05-1998,38.75,38.8125,288200,39.25,38.875,12.323563575744629
12-05-1998,38.6875,38.875,100100,38.9375,38.9375,12.343382835388184
13-05-1998,38.5,38.8125,124900,38.875,38.6875,12.264129638671875
14-05-1998,38.5625,38.625,175900,38.8125,38.6875,12.264129638671875
15-05-1998,38.5,38.6875,225400,38.875,38.5625,12.22450065612793
18-05-1998,38.125,38.375,134400,38.5625,38.375,12.165069580078125
19-05-1998,37.875,38.3125,149200,38.375,38.3125,12.145249366760254
20-05-1998,38.25,38.3125,144600,38.9375,38.9375,12.343382835388184
21-05-1998,38.75,38.9375,96100,39.1875,39.0,12.363187789916992
22-05-1998,38.5625,38.875,201900,39.125,38.5625,12.22450065612793
26-05-1998,38.1875,38.625,121600,38.6875,38.1875,12.10562801361084
27-05-1998,37.625,38.125,158600,38.6875,38.25,12.125435829162598
28-05-1998,38.25,38.25,217500,38.875,38.6875,12.264129638671875
29-05-1998,38.5625,38.5625,163000,39.125,39.125,12.40282154083252
01-06-1998,38.9375,39.0,190200,40.6875,40.5625,12.858512878417969
02-06-1998,40.125,40.3125,175700,40.75,40.375,12.799077987670898
03-06-1998,40.1875,40.25,105000,40.875,40.5,12.838701248168945
04-06-1998,40.1875,40.3125,133800,40.625,40.3125,12.779257774353027
05-06-1998,40.25,40.25,167700,40.875,40.875,12.957572937011719
08-06-1998,39.75,40.0625,1874800,40.125,39.8125,12.819920539855957
09-06-1998,39.25,39.875,261000,39.875,39.375,12.679041862487793
10-06-1998,39.375,39.4375,174600,40.1875,40.125,12.920544624328613
11-06-1998,39.75,40.0,260500,40.5,40.3125,12.980917930603027
12-06-1998,39.75,40.125,275100,40.375,40.125,12.920544624328613
15-06-1998,39.6875,40.0,227000,40.125,39.8125,12.819920539855957
16-06-1998,39.75,40.0,283000,40.0625,39.8125,12.819920539855957
17-06-1998,39.4375,39.8125,364200,39.9375,39.5625,12.73941707611084
18-06-1998,39.625,39.75,308200,40.3125,40.1875,12.94067096710205
19-06-1998,39.5625,40.1875,212700,40.1875,39.6875,12.779670715332031
22-06-1998,39.6875,39.75,121200,40.125,39.6875,12.779670715332031
23-06-1998,39.5,39.8125,105600,39.8125,39.75,12.799793243408203
24-06-1998,39.625,39.625,353200,39.875,39.625,12.759544372558594
25-06-1998,39.3125,40.0,254300,40.0625,39.375,12.679041862487793
