Date,Low,Open,Volume,High,Close,Adjusted Close
16-10-1997,5.5625,5.8125,7436400,5.8125,5.6875,3.7861170768737793
17-10-1997,5.40625,5.65625,3390400,5.75,5.59375,3.723707437515259
20-10-1997,5.46875,5.5,3068000,5.625,5.53125,3.6821022033691406
21-10-1997,5.5,5.5625,2382400,5.6875,5.59375,3.723707437515259
22-10-1997,5.59375,5.6875,1525200,5.75,5.71875,3.8069183826446533
23-10-1997,5.53125,5.6875,1622400,5.6875,5.59375,3.723707437515259
24-10-1997,5.5625,5.65625,813600,5.71875,5.71875,3.8069183826446533
27-10-1997,5.375,5.65625,1507200,5.75,5.421875,3.6092944145202637
28-10-1997,4.9375,5.25,2955600,5.6875,5.59375,3.723707437515259
29-10-1997,5.59375,5.6875,1859200,5.71875,5.65625,3.765312671661377
30-10-1997,5.375,5.53125,856000,5.5625,5.5,3.661298990249634
31-10-1997,5.4375,5.4375,561600,5.640625,5.5,3.661298990249634
03-11-1997,5.53125,5.625,1004000,5.84375,5.734375,3.817319869995117
04-11-1997,5.6875,5.75,364000,5.875,5.78125,3.848524808883667
05-11-1997,5.78125,5.8125,324400,6.0625,5.90625,3.931736707687378
06-11-1997,5.875,5.875,361600,6.25,6.25,4.160567760467529
07-11-1997,6.03125,6.1875,662400,6.625,6.4375,4.285384178161621
10-11-1997,6.15625,6.3125,266800,6.5,6.15625,4.0981597900390625
11-11-1997,5.75,5.9375,618000,6.0,6.0,3.9941442012786865
12-11-1997,5.5625,6.0,314800,6.0,5.6875,3.7861170768737793
13-11-1997,5.46875,5.5625,500000,5.625,5.5,3.661298990249634
14-11-1997,5.3125,5.4375,438000,5.5,5.4375,3.6196951866149902
17-11-1997,5.5,5.5,284000,5.84375,5.8125,3.869328498840332
18-11-1997,5.6875,5.875,1429600,5.875,5.71875,3.8069183826446533
19-11-1997,5.5625,5.71875,148400,5.8125,5.5625,3.7029058933258057
20-11-1997,5.3125,5.625,1268000,5.625,5.5625,3.7029058933258057
21-11-1997,5.5,5.5625,640800,5.625,5.53125,3.6821022033691406
24-11-1997,5.5,5.5,64400,5.59375,5.53125,3.6821022033691406
25-11-1997,5.5,5.5625,326800,5.625,5.515625,3.6717019081115723
26-11-1997,5.234375,5.5,463200,5.53125,5.253905773162842,3.4974770545959473
28-11-1997,5.25,5.28125,212800,5.3125,5.25,3.4948740005493164
01-12-1997,5.25,5.25,475200,5.375,5.265625,3.505277395248413
02-12-1997,5.28125,5.375,1280800,5.5,5.34375,3.5572848320007324
03-12-1997,5.34375,5.4375,934400,5.5,5.5,3.661298990249634
04-12-1997,5.40625,5.5,681600,5.625,5.546875,3.6925041675567627
05-12-1997,5.4375,5.5,282800,5.75,5.6875,3.7861170768737793
08-12-1997,5.65625,5.6875,227600,5.75,5.71875,3.8069183826446533
09-12-1997,5.59375,5.75,124000,5.8125,5.59375,3.723707437515259
10-12-1997,5.3125,5.625,269600,5.625,5.375,3.587709426879883
11-12-1997,5.15625,5.25,400800,5.375,5.3125,3.5459909439086914
12-12-1997,5.15625,5.375,412400,5.375,5.15625,3.441697597503662
15-12-1997,5.171875,5.25,289200,5.375,5.21875,3.483415365219116
16-12-1997,5.125,5.125,190800,5.3125,5.21875,3.483415365219116
17-12-1997,5.03125,5.15625,584800,5.1875,5.03125,3.358262062072754
18-12-1997,4.96875,5.09375,272400,5.09375,5.0,3.337404251098633
19-12-1997,4.9375,5.03125,921600,5.03125,4.9375,3.295687198638916
22-12-1997,4.9375,4.9375,924000,5.3125,5.0625,3.379122257232666
23-12-1997,4.9375,5.1875,2331200,5.1875,5.0,3.337404251098633
24-12-1997,4.9375,5.03125,50400,5.03125,4.9375,3.295687198638916
26-12-1997,4.96875,5.0,1248400,5.0625,5.0625,3.379122257232666
29-12-1997,5.0,5.0625,430800,5.28125,5.28125,3.525132656097412
30-12-1997,5.0625,5.0625,662800,5.34375,5.28125,3.525132656097412
31-12-1997,5.25,5.40625,911600,5.6875,5.59375,3.7337191104888916
02-01-1998,5.53125,5.53125,112400,5.78125,5.78125,3.858872890472412
05-01-1998,5.625,6.03125,629600,6.09375,5.625,3.754580020904541
06-01-1998,5.25,5.59375,915200,5.59375,5.421875,3.6189966201782227
07-01-1998,5.421875,5.421875,164800,5.75,5.5625,3.712859630584717
08-01-1998,5.5,5.5,236000,5.78125,5.75,3.8380143642425537
09-01-1998,5.5,5.65625,140400,5.75,5.5,3.6711440086364746
12-01-1998,5.34375,5.375,927200,5.53125,5.34375,3.5668492317199707
13-01-1998,5.3125,5.5,100400,5.5,5.4375,3.629426956176758
14-01-1998,5.34375,5.4375,585600,5.5625,5.359375,3.5772809982299805
15-01-1998,5.34375,5.4375,417200,5.4375,5.375,3.587709426879883
16-01-1998,5.34375,5.4375,69200,5.59375,5.5625,3.712859630584717
20-01-1998,5.5,5.5,348800,5.78125,5.78125,3.858872890472412
21-01-1998,5.71875,5.75,141600,5.78125,5.75,3.8380143642425537
