Date,Low,Open,Volume,High,Close,Adjusted Close
04-10-1989,2.4375,2.46875,20636000,2.546875,2.5,1.9481306076049805
05-10-1989,2.5,2.515625,6453600,2.625,2.578125,2.0090088844299316
06-10-1989,2.546875,2.59375,2755200,2.625,2.546875,1.9846580028533936
09-10-1989,2.5,2.546875,1084000,2.546875,2.546875,1.9846580028533936
10-10-1989,2.5,2.5625,1493600,2.5625,2.53125,1.972482681274414
11-10-1989,2.46875,2.5,1260000,2.515625,2.515625,1.9603067636489868
12-10-1989,2.515625,2.515625,602400,2.546875,2.53125,1.972482681274414
13-10-1989,2.46875,2.53125,3970400,2.53125,2.484375,1.93595552444458
16-10-1989,2.375,2.375,3924800,2.46875,2.46875,1.9237793684005737
17-10-1989,2.4375,2.4375,1843200,2.5,2.5,1.9481306076049805
18-10-1989,2.484375,2.5,1128000,2.5625,2.546875,1.9846580028533936
19-10-1989,2.53125,2.53125,1040000,2.546875,2.546875,1.9846580028533936
20-10-1989,2.515625,2.53125,237600,2.53125,2.53125,1.972482681274414
23-10-1989,2.546875,2.546875,87200,2.5625,2.546875,1.9846580028533936
24-10-1989,2.53125,2.546875,689600,2.5625,2.5625,1.9968332052230835
25-10-1989,2.515625,2.546875,608000,2.578125,2.546875,1.9846580028533936
26-10-1989,2.546875,2.546875,228800,2.5625,2.546875,1.9846580028533936
27-10-1989,2.5,2.546875,456000,2.546875,2.515625,1.9603067636489868
30-10-1989,2.5,2.515625,250400,2.515625,2.5,1.9481306076049805
31-10-1989,2.5,2.5,424800,2.515625,2.5,1.9481306076049805
01-11-1989,2.515625,2.515625,715200,2.5625,2.5625,1.9968332052230835
02-11-1989,2.59375,2.59375,130400,2.640625,2.640625,2.057713508605957
03-11-1989,2.625,2.625,1118400,2.75,2.734375,2.1307668685913086
06-11-1989,2.578125,2.71875,264800,2.71875,2.578125,2.0090088844299316
07-11-1989,2.5,2.546875,727200,2.6875,2.6875,2.094240665435791
08-11-1989,2.671875,2.6875,236800,2.71875,2.71875,2.1185925006866455
09-11-1989,2.6875,2.71875,60800,2.71875,2.6875,2.094240665435791
10-11-1989,2.546875,2.6875,210400,2.6875,2.5625,1.9968332052230835
13-11-1989,2.515625,2.5625,92800,2.5625,2.546875,1.9846580028533936
14-11-1989,2.484375,2.578125,428000,2.578125,2.53125,1.972482681274414
15-11-1989,2.53125,2.546875,176000,2.578125,2.5625,1.9968332052230835
