Date,Low,Open,Volume,High,Close,Adjusted Close
12-08-1993,13.6875,14.5,13086600,14.5,14.3125,3.1513402462005615
13-08-1993,13.875,14.25,1277800,14.25,13.875,3.055011510848999
16-08-1993,13.8125,13.875,559000,14.0,14.0,3.0825343132019043
17-08-1993,13.9375,14.0,545600,14.125,14.0625,3.096294641494751
18-08-1993,14.0625,14.0625,469200,14.0625,14.0625,3.096294641494751
19-08-1993,13.8125,14.0625,409400,14.0625,13.8125,3.041250228881836
20-08-1993,13.875,13.875,540800,14.0625,13.9375,3.068772554397583
23-08-1993,13.875,13.9375,335600,14.0625,14.0,3.0825343132019043
24-08-1993,14.0,14.0,234400,14.1875,14.1875,3.1238186359405518
25-08-1993,14.0,14.0625,102600,14.0625,14.0,3.0825343132019043
26-08-1993,14.0,14.0,180400,14.3125,14.3125,3.1513402462005615
27-08-1993,14.0625,14.3125,119600,14.3125,14.125,3.110055446624756
30-08-1993,14.0625,14.0625,71400,14.25,14.125,3.110055446624756
31-08-1993,14.125,14.125,147000,14.4375,14.375,3.165102005004883
01-09-1993,14.3125,14.4375,141600,14.5,14.3125,3.1513402462005615
02-09-1993,14.375,14.5,217600,14.5,14.5,3.192624807357788
03-09-1993,14.4375,14.4375,178800,14.8125,14.625,3.2201459407806396
07-09-1993,14.5625,14.5625,167600,14.8125,14.6875,3.2339088916778564
08-09-1993,14.5,14.8125,276200,14.875,14.5,3.192624807357788
09-09-1993,14.5,14.5,74400,14.875,14.625,3.2201459407806396
10-09-1993,14.5625,14.5625,245000,15.25,15.125,3.330237865447998
13-09-1993,14.875,14.9375,251200,15.0,15.0,3.3027148246765137
14-09-1993,14.5625,14.75,127000,14.8125,14.75,3.2476682662963867
15-09-1993,14.5625,14.75,162400,14.75,14.75,3.2476682662963867
16-09-1993,14.6875,14.875,88800,14.875,14.875,3.275190591812134
17-09-1993,14.75,14.8125,113000,15.0625,15.0625,3.3164761066436768
20-09-1993,14.75,14.8125,15400,14.9375,14.75,3.2704665660858154
21-09-1993,14.6875,14.875,286000,14.875,14.8125,3.284325361251831
22-09-1993,14.6875,14.75,54800,14.9375,14.9375,3.3120412826538086
23-09-1993,14.6875,14.875,51000,14.875,14.8125,3.284325361251831
24-09-1993,14.75,14.75,265000,15.0625,15.0625,3.339756727218628
27-09-1993,15.0625,15.0625,675400,15.75,15.6875,3.478336811065674
28-09-1993,15.5,15.625,360800,15.8125,15.75,3.492194414138794
29-09-1993,15.75,15.75,823200,16.125,15.75,3.492194414138794
30-09-1993,15.5,15.6875,138000,15.75,15.5625,3.4506213665008545
01-10-1993,15.5625,15.5625,31600,15.75,15.5625,3.4506213665008545
04-10-1993,15.125,15.5,27600,15.5,15.25,3.3813321590423584
05-10-1993,15.1875,15.25,87600,15.4375,15.25,3.3813321590423584
06-10-1993,15.125,15.125,327600,15.5625,15.5,3.4367620944976807
07-10-1993,15.375,15.375,40400,15.75,15.5625,3.4506213665008545
08-10-1993,15.6875,15.6875,1242600,17.5,17.125,3.797069549560547
11-10-1993,17.0,17.0,885200,17.25,17.0,3.7693521976470947
12-10-1993,17.0,17.0,708200,18.25,18.0,3.991079807281494
13-10-1993,17.75,18.125,55600,18.125,17.75,3.9356489181518555
14-10-1993,17.75,17.75,55000,17.75,17.75,3.9356489181518555
15-10-1993,17.75,17.75,200600,18.375,18.125,4.018795013427734
18-10-1993,17.75,18.0625,47200,18.3125,18.0625,4.004937648773193
19-10-1993,17.5,17.9375,173400,17.9375,17.5,3.8802151679992676
20-10-1993,17.0625,17.5,141600,17.5625,17.4375,3.8663578033447266
21-10-1993,17.1875,17.3125,32200,17.3125,17.25,3.8247852325439453
22-10-1993,17.1875,17.1875,161000,17.75,17.5,3.8802151679992676
25-10-1993,17.125,17.4375,48000,17.625,17.375,3.852499485015869
26-10-1993,16.9375,17.125,27000,17.125,16.9375,3.7554943561553955
27-10-1993,16.6875,16.75,122400,16.8125,16.75,3.7139198780059814
28-10-1993,16.5,16.75,75400,17.0,17.0,3.7693521976470947
29-10-1993,17.0,17.125,224400,17.3125,17.3125,3.8386425971984863
01-11-1993,17.1875,17.25,24400,17.375,17.375,3.852499485015869
02-11-1993,17.1875,17.25,68800,17.375,17.3125,3.8386425971984863
03-11-1993,17.25,17.3125,233600,17.5,17.5,3.8802151679992676
04-11-1993,16.875,17.4375,267400,17.4375,16.875,3.7416372299194336
05-11-1993,16.875,16.875,333200,17.5,17.375,3.852499485015869
08-11-1993,17.375,17.5,164600,17.9375,17.9375,3.977222442626953
09-11-1993,17.9375,18.125,192800,18.25,17.9375,3.977222442626953
10-11-1993,17.625,17.8125,6800,17.8125,17.625,3.9079318046569824
11-11-1993,17.1875,17.5,95800,17.5,17.375,3.852499485015869
