Date,Low,Open,Volume,High,Close,Adjusted Close
16-03-1999,22.5,22.5,4900,23.25,23.25,12.466584205627441
17-03-1999,23.25,23.25,3100,23.25,23.25,12.466584205627441
18-03-1999,23.25,23.25,100,23.25,23.25,12.466584205627441
19-03-1999,23.25,23.25,500,23.25,23.25,12.466584205627441
22-03-1999,23.25,23.25,0,23.25,23.25,12.466584205627441
23-03-1999,23.25,23.25,0,23.25,23.25,12.466584205627441
24-03-1999,23.0,24.25,2000,24.25,23.0,12.332535743713379
25-03-1999,23.0,23.0,0,23.0,23.0,12.332535743713379
26-03-1999,23.0,23.0,0,23.0,23.0,12.332535743713379
29-03-1999,23.0,23.0,0,23.0,23.0,12.332535743713379
30-03-1999,23.0,23.0,0,23.0,23.0,12.332535743713379
31-03-1999,23.0,23.0,2000,24.25,24.25,13.00278091430664
01-04-1999,24.25,24.25,0,24.25,24.25,13.00278091430664
05-04-1999,24.25,24.25,0,24.25,24.25,13.00278091430664
06-04-1999,24.25,24.25,0,24.25,24.25,13.00278091430664
07-04-1999,24.25,24.25,0,24.25,24.25,13.00278091430664
08-04-1999,24.25,24.25,0,24.25,24.25,13.00278091430664
09-04-1999,24.25,24.25,0,24.25,24.25,13.00278091430664
12-04-1999,21.0,21.0,700,21.0,21.0,11.260138511657715
13-04-1999,21.0,21.0,0,21.0,21.0,11.260138511657715
14-04-1999,23.0,23.0,1400,24.0,24.0,12.86872673034668
15-04-1999,24.0,24.0,0,24.0,24.0,12.86872673034668
16-04-1999,24.5,25.0,200,25.0,24.5,13.136832237243652
19-04-1999,24.5,24.5,0,24.5,24.5,13.136832237243652
20-04-1999,22.0,25.0,200,25.0,22.0,11.796343803405762
21-04-1999,22.0,22.0,500,24.0,24.0,12.86872673034668
22-04-1999,24.0,24.0,100,24.0,24.0,12.86872673034668
23-04-1999,22.0,22.0,7700,23.5,23.5,12.600635528564453
26-04-1999,23.4375,24.0,2100,24.0,24.0,12.86872673034668
27-04-1999,23.0,24.0,5000,26.0,25.0,13.404929161071777
28-04-1999,25.0,26.5,700,26.5,25.0,13.404929161071777
29-04-1999,25.0,25.0,0,25.0,25.0,13.404929161071777
30-04-1999,25.0,25.0,0,25.0,25.0,13.404929161071777
03-05-1999,26.0,26.0,1200,26.0,26.0,13.941125869750977
04-05-1999,26.0,26.0,0,26.0,26.0,13.941125869750977
05-05-1999,26.0,26.0,0,26.0,26.0,13.941125869750977
06-05-1999,26.0,26.0,0,26.0,26.0,13.941125869750977
07-05-1999,26.0,26.0,0,26.0,26.0,13.941125869750977
10-05-1999,26.0,26.0,0,26.0,26.0,13.941125869750977
11-05-1999,26.0,26.0,0,26.0,26.0,13.941125869750977
12-05-1999,22.5,22.5,1400,24.0,24.0,12.86872673034668
13-05-1999,24.0,24.0,0,24.0,24.0,12.86872673034668
14-05-1999,24.0,24.0,0,24.0,24.0,12.86872673034668
17-05-1999,24.0,24.0,0,24.0,24.0,12.86872673034668
18-05-1999,24.0,24.0,0,24.0,24.0,12.86872673034668
19-05-1999,23.875,23.875,800,24.0,24.0,12.86872673034668
20-05-1999,24.0,24.0,0,24.0,24.0,12.86872673034668
21-05-1999,24.0,24.0,400,24.0,24.0,12.86872673034668
24-05-1999,24.0,24.0,0,24.0,24.0,12.86872673034668
25-05-1999,24.0,24.0,0,24.0,24.0,12.86872673034668
26-05-1999,24.0,24.0,0,24.0,24.0,12.86872673034668
27-05-1999,24.0,24.0,0,24.0,24.0,12.86872673034668
28-05-1999,24.0,24.0,0,24.0,24.0,12.86872673034668
01-06-1999,24.0,24.0,0,24.0,24.0,12.86872673034668
02-06-1999,24.0,24.0,0,24.0,24.0,12.86872673034668
03-06-1999,24.0,24.0,0,24.0,24.0,12.86872673034668
04-06-1999,24.0,24.0,0,24.0,24.0,12.86872673034668
07-06-1999,24.0,24.0,400,24.0,24.0,12.86872673034668
08-06-1999,24.0,24.0,0,24.0,24.0,12.86872673034668
09-06-1999,24.0,24.0,0,24.0,24.0,12.86872673034668
10-06-1999,24.0,24.0,2000,25.0,25.0,13.404929161071777
11-06-1999,25.0,25.0,0,25.0,25.0,13.404929161071777
14-06-1999,25.0,25.0,0,25.0,25.0,13.404929161071777
15-06-1999,25.0,25.0,0,25.0,25.0,13.404929161071777
16-06-1999,25.0,25.0,0,25.0,25.0,13.404929161071777
17-06-1999,25.0,25.0,0,25.0,25.0,13.404929161071777
18-06-1999,25.0,25.0,0,25.0,25.0,13.404929161071777
21-06-1999,25.0,25.0,0,25.0,25.0,13.404929161071777
22-06-1999,25.0,25.0,0,25.0,25.0,13.404929161071777
23-06-1999,25.0,25.0,0,25.0,25.0,13.404929161071777
24-06-1999,22.75,22.75,400,24.0,24.0,12.86872673034668
25-06-1999,24.0,24.0,0,24.0,24.0,12.86872673034668
28-06-1999,24.0,24.0,0,24.0,24.0,12.86872673034668
29-06-1999,22.75,24.0,1400,24.0,22.75,12.198490142822266
30-06-1999,22.75,22.75,0,22.75,22.75,12.198490142822266
01-07-1999,22.75,22.75,0,22.75,22.75,12.198490142822266
02-07-1999,22.75,22.75,0,22.75,22.75,12.198490142822266
06-07-1999,22.75,22.75,0,22.75,22.75,12.198490142822266
07-07-1999,22.75,22.75,0,22.75,22.75,12.198490142822266
08-07-1999,22.75,22.75,0,22.75,22.75,12.198490142822266
09-07-1999,22.75,22.75,0,22.75,22.75,12.198490142822266
12-07-1999,22.75,22.75,0,22.75,22.75,12.198490142822266
13-07-1999,22.75,22.75,0,22.75,22.75,12.198490142822266
14-07-1999,22.75,22.75,0,22.75,22.75,12.198490142822266
15-07-1999,23.0,23.0,800,24.25,24.25,13.00278091430664
16-07-1999,24.25,24.25,0,24.25,24.25,13.00278091430664
19-07-1999,24.5,24.5,1100,24.5,24.5,13.136832237243652
20-07-1999,25.0,25.25,600,25.25,25.0,13.404929161071777
21-07-1999,25.0,25.0,0,25.0,25.0,13.404929161071777
22-07-1999,25.0,25.0,300,25.0,25.0,13.404929161071777
23-07-1999,25.0,25.0,0,25.0,25.0,13.404929161071777
26-07-1999,25.0,25.0,0,25.0,25.0,13.404929161071777
27-07-1999,25.0,25.0,0,25.0,25.0,13.404929161071777
28-07-1999,25.0,25.0,0,25.0,25.0,13.404929161071777
29-07-1999,25.0,25.0,0,25.0,25.0,13.404929161071777
30-07-1999,25.0,25.0,0,25.0,25.0,13.404929161071777
02-08-1999,25.0,25.0,0,25.0,25.0,13.404929161071777
03-08-1999,25.0,25.0,0,25.0,25.0,13.404929161071777
04-08-1999,25.0,25.0,0,25.0,25.0,13.404929161071777
05-08-1999,25.0,25.0,0,25.0,25.0,13.404929161071777
06-08-1999,25.0,25.0,0,25.0,25.0,13.404929161071777
09-08-1999,25.0,25.0,0,25.0,25.0,13.404929161071777
10-08-1999,25.0,25.0,0,25.0,25.0,13.404929161071777
11-08-1999,25.0,25.0,0,25.0,25.0,13.404929161071777
12-08-1999,25.0,25.0,0,25.0,25.0,13.404929161071777
13-08-1999,25.0,25.0,0,25.0,25.0,13.404929161071777
16-08-1999,24.0,24.0,2000,24.75,24.75,13.270880699157715
